"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPI","TEPB","32155","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","SOUSA,G.M. & C.FERNANDA",2018,"","9","","C. FERNANDA",2018,2,23,"Brazil","Piauí","Altos","Floresta Nacional (FLONA) de Palmares.",,,"Árvore ou Arbusto; filotaxia: Alterna; carpídio de coloração variando do amarelo/laranja/vermelho/vinho. Ambiente: Floresta Estacional Semidecídual","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","62102","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Castro, A.S.F.",2018,"","3045","","Castro, A.S.F.",2018,3,28,"Brazil","Ceará","Guaraciaba do Norte",,,,"Arbusto.; Mata úmida.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","252007","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.",,,"","FOS01_264264","","Lui, Y.",2018,3,16,"Brazil","Piauí","Altos","Paleobotanical Site of St. Benedict, located in the Homoni village and is 19 km southwest of the headquarters of the municipality of Altos-PI, access made by BR 343 to the county seat, heading south along the dirt road",-5.119722,-42.517778,"Semideciduous seasonal forest","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","252032","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.",,,"","PAL01_22","","Lui, Y.",2018,3,4,"Brazil","Piauí","Altos","Access by BR 343 (Federal Highway) in Km 323",-5.020833,-42.595556,"Semideciduous seasonal forest","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","246948","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.",,,"","993","","Moonlight, P.W.",2018,4,5,"Brazil","Ceará","Crateús","Serra das Almas, around plot 2",-40.915,-40.915,"Dry forest with canopy of >10m. Sparse shrub layer. Sparse herb layer and sparse bromeliad ground cover.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","JBRJ","RB","RB01420052","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","W.L.S. Silva",2018,"","1926","","I.M.S. Dácio",2018,8,3,"Brazil","Maranhão","Marajá do Sena","Conglomerado MA 373; subunidade 1, subparcela 1 e indivíduo 2.",-5.143056,-46.2,,"Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","233583","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","P.W.Moonlight",2017,"","629","","Moonlight, P.W.",2017,3,29,"Brazil","Ceará","Crateús","Serra das Almas, around plot 1.",-5.146667,-40.928333,"Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","233680","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","P.W.Moonlight",2017,"","726","","Moonlight, P.W.",2017,3,,"Brazil","Ceará","Crateús","Serra das Almas, around plot 2.",-5.141389,-40.915,"Dry forest to 10m with moderately dense shrub layer. Very sparse herb layer. Rocky shallow clay-sand soil, ca. 20cm deep over sandstone bedrock.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","235503","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.",,,"","31","","Mizushima, M.",2017,4,3,"Brazil","Ceará","Cratéus","Serra das Almas",,,"Caatinga","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UEFS","HUEFS","235593","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.",,,"","121","","Mizushima, M.",2017,4,15,"Brazil","Piauí","Sete Cidades",,-4.099722,-41.713889,"Caatinga","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56179","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Sampaio, V.S.",2014,"","60","","Batista, W.",2013,11,6,"Brazil","Ceará","Camocim","congl. 08 , sub. 2 , árv. 20.&nf;Estrato intermediário.",-3.059994,-41.040022,"Inventário Florestal Nacional - CE; Árvore.&nf;Dups RB.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","599","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Pontes, A.F.",2007,"","19","","Germano, C.",2007,2,10,"Brazil","Piauí","Cabeceiras","LagoaSanta",-4.565556,-42.299167,"Doação - UFP - Programa de Pesquisa Ecológica de Longa Duração. N°21668","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UnB","UB","108150","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Proença, CEB",,"","1651","","Fagg, CW",2007,7,22,"Brazil","Piauí","Piracuruca","Parque Nacional de Sete Cidades",-4.06125,-41.723528,"Árvore 6-8 m de altura, fruto verde","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UnB","UB","108719","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Proença, CEB; Borges, DN",,"","3273","","Proença, CEB; Fagg, JMF; Fagg, CW; Haidar, RF; Mendonça, RC; Fernandes, JH",2007,7,21,"Brazil","Piauí","Piracuruca","Parque Nacional de Sete Cidades. Próximo ao Arco do Triunfo e Sítio Pequeno",,,"Casca lisa, clara. Ramos e folhas dísticas. Bordos foliares repandos. FOto.; Árvore 2m. Fruto imaturo verde-glauco.; .","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UnB","UB","27015","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Lopes, JC",2016,"","43","","Haidar, RF; Pereira, BAS; Matos, MQ; Vale, GD; Felfili, JM",2006,8,23,"Brazil","Piauí","Piracuruca",,-4.1225,-41.727222,"Árvore 8m x 12,09cm; Floresta Estacional Semidecidual. Solo: Litossolo Quartzarênico.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","35688","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Lima-Verde, L.W.; Lima, J.R.",2005,"","16","","Lima, J.R.",2005,2,25,"Brazil","Ceará","Crateús","Serra das Almas",,,"Arbórea, fanerófita; Floresta estacional decídua","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","50646","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Lima-Verde, L.W.; Nunes E.",2005,"","3268","","Lima-Verde, L.W.",2005,4,17,"Brazil","Piauí","Eliseu Martins",,,,"Árvore.; Mata seca","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","50661","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Lima-Verde, L.W.",,"","2951","","Lima-Verde, L.W.",2004,8,22,"Brazil","Ceará","Tianguá","Santa Rita",,,"Arbóreo.; Mata seca","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","34944","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Costa, R.C.",2004,"","23Probio","","Costa, R.C.",2003,3,8,"Brazil","Ceará","Crateús","Serra das Almas, Boa Nova",,,"Árvore, fanerófita; Carrasco","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","34949","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Costa, R.C.",2004,"","220Probio","","Costa, R.C.",2003,6,18,"Brazil","Ceará","Crateús","Serra das Almas, Sítio.",,,"Árvore, fanerófita; Mata seca","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UFPI","TEPB","16940","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.",,,"","52","","C.G. Lopes",2002,1,26,"Brazil","Piauí","Campo Maior","Alto do Comandante",,,"Árvore com fruto amarelo em substrato arenoso, alta e tronco fino Ambiente: Complexo de Campo Maior <ll>dwc_commonname:</ll> Violete","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","UNICAMP","UEC","125908","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Alencar, ME",2001,"","1153","","Alencar, ME; Konno, T; Souza, GM",2001,1,13,"Brazil","Piauí","Brasileira","Em direção à Descoberta (6ª cidade) - PA",-4.936111,-41.727778,"fruto, NV.: Cunduru-amarelo. Mata fria. Arvoreta ca. 5m, frutos imaturos esverdeados, freq. média. Subst. areno-argiloso.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","9037","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","J.R.lemos",1999,"","64","","J.R.Lemos",1999,2,3,"Brazil","Piauí","São Raimundo Nonato","Zabelê, PARNA Serra da Capivara",,,"Árvore de aprox. 4,0 a 6 m alt.; inflorescência esbranquiçada.","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","35304","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Lima-Verde, L.W.",2014,"","1062","","Lima-Verde, L.W.",1998,7,,"Brazil","Ceará","Crateús",,,,,"Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","MPEG","HERBMG","MG163126","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Oliveira, J.",,"",,"","Bastos, M.N.C.; Cordeiro, M.R.",1995,6,15,"Brazil","Pará",,"São Geraldo do Araguaia",,,,"Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","NY","NY","00836518","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","J. Oliveira",1995,"","144","","J. Oliveira",1994,10,,"Brazil","Maranhão",,"Buriticupu, Reserva Florestal da Companhia Vale do Rio Doce (CVRD)",-3.96671877423256,-45.6584118425962,,"Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142456","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Monteiro, R.S.",1991,"","473","","Monterio, R. S.",1991,9,27,"Brazil","Maranhão","Açailândia",,,,,"Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","142455","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Monteiro, R.S.",1991,"","486","","Monterio, R. S.",1991,11,9,"Brazil","Maranhão","Santa Luzia",,,,,"Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","19230","Ephedranthus pisocarpus","","Annonaceae","Ephedranthus","pisocarpus","","R.E.Fr.","Lima-Verde, L.W.",2000,"","104","","Araújo, F.S.",1990,7,10,"Brazil","Ceará","Novo Oriente","Planalto da Ibiapaba.",,,"Árvore; Carrasco","Ephedranthus pisocarpus R.E.Fr.","",,"GBIF"
