"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15508","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Domingos A. Folli",2015,"","7411","","Folli, D.A.",2015,10,8,"Brazil","Es","CACHOEIRO DE ITAPEMIRIM",,,,"<ll>dwc_commonname:</ll> Pindaíba","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","Reserva Natural Vale","CVRD","14973","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Domingos A. Folli",2014,"","7241","","Folli, D.A.",2014,8,19,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pindaíba","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00897619","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","D.A. Folli",2014,"","7241","","D.A. Folli",2014,8,19,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Mantegueira.",,,"Terrestre; porte arbóreo, 12m, fuste 5m, CAP 68cm, copa 5m; fuste cilíndrico; casca áspera; botão marrom, flor amarelada; exsudação incolor; descamação em ripas","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","Reserva Natural Vale","CVRD","12408","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Paul J. M. Maas",2009,"","9804","","Maas, P.J.M.",2009,5,7,"Brazil","Es","LINHARES","S 19º08'46,5 W 40º03'51,4 alt 37",-19.146315,-40.064278,"Mesma coleta de fruto DAF - 5537 <ll>dwc_commonname:</ll> Pindaíba","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","Reserva Natural Vale","CVRD","12575","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Domingos A. Folli",2009,"","6433","","Folli, D.A.",2009,10,13,"Brazil","Es","LINHARES",,-19.146315,-40.064278,"Mesma coleta de fruto DAF - 5537 <ll>dwc_commonname:</ll> Pindaíba","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00777983","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Folli, D. A",2009,"","6433","","Folli, D. A",2009,10,13,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Mata de Tabuleiro. Estrada Mantigueira.",,,"Porte arboreo. Terrestre. Botão verde claro. Flor verde clarop. Exsudação incolor. Descamação incolor. Fuste cilindrico. Casaca aspera.","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","USP","SPF","221770","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Lopes, JC",2016,"","6433","","Folli, DA",2009,10,13,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,,"Unonopsis renatoi Maas & Westra","",,"GBIF"
"","Reserva Natural Vale","CVRD","10067","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Domingos A. Folli",2008,"","5537","","Folli, D.A.",2007,4,2,"Brazil","Es","LINHARES",,-19.146315,-40.064278,"<ll>dwc_commonname:</ll> Pindaíba","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00777982","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Folli, D. A",,"","5537","","Folli, D. A",2007,4,2,"Brazil","Espírito Santo","Linhares","Reserva Natuaral Vale. Mata de Tabuleiro. Estrada Mantigueira.",,,"Porte arboreo. Terrestre. Fruto imaturo verde, exsudação incolor, descamação em ripas, casca aspera, fuste cilindrico.","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","USP","SPF","221648","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Lopes, JC",2016,"","5537","","Folli, DA",2007,4,2,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,,"Unonopsis renatoi Maas & Westra","",,"GBIF"
"","Reserva Natural Vale","CVRD","940","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Paul J. M. Maas",2008,"","344","","Silva, I.A.",1982,9,9,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pindaíba","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00484631","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Geovane S. Siqueira",2010,"","344","","I.A. Silva",1982,9,9,"Brazil","Espírito Santo","Linhares","Estrada Oiticica km 0,782.",,,"fuste cilindrico, casca aspera, botão verde, flor verde claro, exsudação incolor, terrestre, porte arbóreo, altura total 18, altura do fuste 12, CAP do fuste 63, exsudação seiva, descamação em ripas","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00585704","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra","Geovane S. Siqueira",2010,"","344","","I.A. Silva",1982,9,9,"Brazil","Espírito Santo","Linhares","Estrada Oiticica km 0,782. Mata de tabuleiro.",,,"fuste cilindrico, casca aspera, botão verde, flor verde claro, exsudação incolor, terrestre, porte arbóreo, altura total 18, altura do fuste 12, CAP do fuste 63, exsudação seiva, descamação em ripas","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00042460","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra",,,"","8355","","D. Sucre",1972,2,1,"Brazil","Espírito Santo","Linhares","Reserva de Linhares. DOCEMADE. Reserva de Linhares",,,"Árvore com mais ou menos 18 metros de altura, com fuste com 10 metros de altura. Frutos ainda verdes de cor ferruginea, madeira boa para cabo de ferramenta.","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00630938","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra",,,"","8355","","D. Sucre",1972,2,1,"Brazil","Espírito Santo","Linhares","Reserva de Linhares. DOCEMADE. Reserva de Linhares",,,"Árvore com mais ou menos 18 metros de altura, com fuste com 10 metros de altura. Frutos ainda verdes de cor ferruginea, madeira boa para cabo de ferramenta.","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB00630935","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra",,,"","8355","","D. Sucre",1972,2,1,"Brazil","Espírito Santo","Linhares","Reserva de Linhares. DOCEMADE. Reserva de Linhares",,,"Árvore com mais ou menos 18 metros de altura, com fuste com 10 metros de altura. Frutos ainda verdes de cor ferruginea, madeira boa para cabo de ferramenta.","Unonopsis renatoi Maas & Westra","",,"GBIF"
"","NY","NY","1365135","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra",,,"","8355","","B. D. Sucre",1972,2,1,"Brazil","Espírito Santo",,"Reserva Natural Vale do Rio Doce (Particular). DOCEMADE",-19.138199,-39.961174,,"Unonopsis renatoi Maas & Westra","",,"GBIF"
"","JBRJ","RB","RB01112740","Unonopsis renatoi","","Annonaceae","Unonopsis","renatoi","","Maas & Westra",,,"",,"",,,,,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Flona de Pacotuba- Cachoeiro de Itapemirim-ES- BRASIL. Trilha da centenária.",,,"Porte áboreo, terrestre, botões de cor marrom, flores amareladas, descamação em ripas, forma fuste cilíndrica, superfície da casca áspera. Altura total de 15 m , Altura fuste de 8 m, diâmetro da copa de 6 m.","Unonopsis renatoi Maas & Westra","",,"GBIF"
