"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","192472","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.",,,"","s.n.","","Alves, DM; Souto, LS",2017,10,31,"Brazil","São Paulo","Salto de Pirapora","Sítio Kataoka",-23.641778,-47.641281,"Árvore, ca. 4m, flores amareladas","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","33335","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.",,,"","3","","Alves, D.M.",2017,10,31,"Brazil","São Paulo","Salto de Pirapora","Sítio Kataoka",-23.641667,-47.641111,,"Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","18507","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Souza, I.",2019,"","510","","Souza, I,; Völtz, R.R.; Ramos, C.E.A.",2017,12,3,"Brazil","Paraná","Tibagi","Itaytyba",-24.413816,-50.340138,"Árvore 18 m, látex presente nas folhas, frutos imaturos. __COMMOM_NAME__: Peroba","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01048104","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","A.C.D.Castello",,"","381","","Gaui­, T. D.",2015,10,14,"Brazil","Rio de Janeiro","Rio Claro","Conglomerado 316-1-3-42. UTM do Ponto Central: E 592419m) N (7486642m) Fuso do GPS (23K).",,,"Árvore, com 11m de altura. Base reta. Casca interna marrom e externa creme, fina, lisa; desprendimento da casca: Escamoso. Látex, branco, pouco abundante, viscoso, sem odor. Botôes brancos  Nome Vulgar: Peroba-áspera.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","131844","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Colletta, G.D.",2014,"","38412","","Souza, V.C. ; Santinati, M.A.S.",2014,8,17,"Brazil","São Paulo","Coronel Macedo","Estrada Coronel Macedo - Itaberá, ca. 20 km de Coronel Macedo, Estrada secundária para vilarejo, saindo do Km 249 Rodovia Eduardo Saigh. Área perturbada, com pequenos remanescentes de Floresta Estacional Semidecidual.",,,"Árvore, ca. 3 m alt. Vegetativo. Látex alvo.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","192557","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Kataoka, EY",2014,"","185","","Kataoka, EY",2014,10,12,"Brazil","São Paulo","Salto de Pirapora","Sítio Kataoka",-24.051544,-48.077622,"Árvore de aprox. 6 m, em Mata ciliar, casca lisa, ramos jovens lenticelados e de coloração castanho-avermelhado, flores alvas, com leve perfume. Flores em álcool 70%.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","192570","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Kataoka, EY",2014,"","186","","Kataoka, EY",2014,10,12,"Brazil","São Paulo","Salto de Pirapora","Sítio Kataoka",-24.052006,-48.074692,"Árvore de aprox. 5 m, em Mata ciliar, casca lisa, ramos jovens lenticelados e de coloração castanho-avermelhado, flores alvas, com leve perfume.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128052","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Ivanauskas, N.M.",2013,"","1073","","Polisel, R.T.",2013,3,26,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).",-24.02,-47.31,"Planta de 1,0 m de altura.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130678","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Souza, V.C.",2013,"","35881","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,11,3,"Brazil","Rio de Janeiro","Porto Real","Fragmento 4700 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",,,"Árvore. Ca. 20m alt. Botões verdes. Látex alvo. Porto Real.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UFPR","UPCB","69304","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, A.C.D.",2017,"","406","","Bolson, M.",2010,9,18,"Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha",,,"Floresta Ombrófila Mista. Trilha dos arenitos. Árvore..","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","135736","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.",,,"","96","","Moreira, NC; Moreira, BC",2009,9,8,"Brazil","Minas Gerais","Ribeirão das Neves","Fazenda São José",-19.825,-44.049167,"Arbórea, ca 3,5 m de altura; beira da estrada; flores verdes, aroma doce.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UEFS","HUEFS","165088","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.",,,"","17224","","Sevegnani, L.",2009,12,7,"Brazil","Santa Catarina","Laurentino","de Olivio Campestrini, Serra Fruteira.",-27.234722,-49.7725,"Floresta ombrófila densa.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","USP","SPF","200420","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Freitas, HS",2009,"","388","","Freitas, HS",2008,5,23,"Brazil","São Paulo","São José do Barreiro","Fazenda Atibaia. Acesso pelo km 258 da Rodovia dos Tropeiros (SP 068). Interior da mata.",-22.640833,-44.726944,"Árvore 21 m alt., 94,8 cm de perímetro à altura do peito.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","USP","SPF","200421","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Freitas, HS",2009,"","195","","Freitas, HS",2008,9,19,"Brazil","São Paulo","São José do Barreiro","Fazenda Atibaia. Acesso pelo km 258 da Rodovia dos Tropeiros (SP 068). Interior da mata.",-22.642778,-44.656667,"Árvore 22 m alt., 168 cm de perímetro à altura do peito. Desprovida de folhas. Ramos, folhas e tronco com látex. Frutos imaturos verdes.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","146944","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Marcondes-Ferreira, W",2013,"","9","","Aguirre, GH; et al.",2005,4,21,"Brazil","São Paulo","São Luiz do Paraitinga","Fragmento de Floresta Ombrófila Densa em paisagem rural",,,,"Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00524793","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","A.C.D.Castello",,"","1359","","P. H. A. Melo; E. A. Melo Jr.",2005,5,28,"Brazil","Minas Gerais","Pains","Reg. do Corumbá, próximo ao Morro do Marruá, Mineiração Agrocampo.",-20.348611,-45.636111,"Arbórea, 10 m; crescendo no interior de mata sobre afloramento calcário; frutos imaturos verdes.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UFU","HUFU","45672","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, A.C.D.",2017,"","165","","Damaso, P.P.; Nakajima, J.N. & Hattori, E.K.O.",2005,6,19,"Brazil","Minas Gerais","Monte Alegre de Minas","Fazenda Represa",,,"Árvore, ca. 4 m. Cálice verde claro, corola amarela.; Cerradão.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","146993","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Marcondes-Ferreira, W",2013,"","7","","Aguirre, GH; et al.",2005,10,27,"Brazil","São Paulo","São Luiz do Paraitinga","Fragmento de Floresta Ombrófila Densa em paisagem rural",,,,"Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","146522","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, ACD",2019,"","5449","","Silva, MA; Marciano-Filho, A",2003,6,21,"Brazil","Minas Gerais","Rio Paranaíba","Fazenda Olhos D Água, 9 Km da cidade. Propriedade do Sr. Mário do Lazinho. Salo cascalhento, próximo ao lajedo local onde ocorre rochas tabulares. Cerrado.",,,"Árvore ca. 8,0 m. de altura; frutos imaturos pilosos esverdeados; folhas glabas discolores verdes; pouco látex branco.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNIVILLE","JOI","6097","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Condorcet Aranha",2000,"","103","","Giampaolo",2000,5,5,"Brazil","Santa Catarina","Joinville","Ã?rea da ETA-CASAN, Pirabeiraba, vale do Rio CubatÃ£o.",,,"Museu BotÃ¢nico Municipal - HJ - HerbÃ¡rio Joinville - 354 - Frutos quando novos, densamente pilosos","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","9124","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Aranha, C.",2000,"","103","","Giampaolo",2000,5,5,"Brazil","Santa Catarina","Joinville","Área da ETA-CASAN, Pirabeiraba, vale do Rio Cubatão.",-26.305,-48.845833,"<ll>dwc_commonname:</ll> Piquia. Doação Herbário Joinvillea - JOI 6097","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","IAC","IAC","43161","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","L.C. Bernacci et al.",2000,"","3455","","L.C. Bernacci; G.A.D.C. Franco; G. Durigan; M. Siqueira; E.R. Silveira; G.F. Árbocz & E. Furlan",2000,9,26,"Brazil","São Paulo","Ibiúna","próximo ao distrito de Caucaia do Alto (Cotia - SP), fragmento Takimoto, indivíduo T 0.0",-23.70173,-47.080967,,"Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","201533","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Bernacci, LC",,"","3455","","Bernacci, LC; Franco, GADC; Durigan, G; Siqueira, M; Silveira, ER; Árbocz, GF",2000,9,26,"Brazil","São Paulo","Ibiuna","Brasil, São Paulo;Município de Ibiúna;próximo ao distrito de Caucaia do Alto (Cotia-SP).23.70173N-47.080967 L.",,,"Árvore, fragmanto Takimoto, indivíduo T 0.0; Interior da mata.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","9105","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, A.C.D.",2017,"","60","","Barddal, M.L.",1999,1,1,"Brazil","Paraná","Rio Branco do Sul",,,,"Árvore, frutos maduros __COMMOM_NAME__: Peroba","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","MBM","MBM","266045","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, ACD",2018,"","108","","Linsingen, L von",1999,9,10,"Brazil","Paraná","Jaguariaíva","Parque Estadual do Cerrado, Coletada na margem do rio Santo Antônio",,,"Árvore com aproximadamente 3m de altura.; Entre afloramento de arenito, próximo a cachoeira.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","136989","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Marcondes-Ferreira, W",2013,"","278","","Yamamoto, LF",1998,11,2,"Brazil","São Paulo","Pedreira","Fazenda Bela Vista",,,"flor e fruto, Presença de látex, árvore 18 m.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","136988","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Marcondes-Ferreira, W",2013,"","21","","Yamamoto, LF",1997,8,31,"Brazil","São Paulo","Pedreira","Fazenda Bela Vista",,,"flor, Flores amarela esverdeada, presença de látex, árvore 10 m.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","33035","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Marcondes-Ferreira, W",2013,"","289","","Cavalcanti, DC",1996,3,27,"Brazil","São Paulo","Guaratinguetá","Reserva Florestal da Escola de Especialistas de Aeronáutica - EEAR.",,,"árvore ca. 18m, fruto verde imaturo, piloso e fruto seco (19.12.1995); Mata de Planalto","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","88065","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Marcondes-Ferreira, W",2013,"","760","","Ivanauskas, NM",1996,3,31,"Brazil","São Paulo","Pariquera-Açu","Estação Experimental do IAC.mata atlânti",-24.608333,-47.9,"fruto, Árvore de 10m. Látex branco, leitoso. Frutos.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","IAC","IAC","43573","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","W. Marcondes-Ferreira",2013,"","760","","N.M. Ivanauskas",1996,3,31,"Brazil","São Paulo","Pariquera-Açu","IAC, Estação Experimental",-24.608333,-47.885,"Aspidosperma camporum identificação apud UEC 88065 (SpLink)","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","32430","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Ferreira, W.M.",1997,"","289","","Cavalcanti, D.C.",1996,3,27,"Brazil","São Paulo","Guaratinguetá","Escola de Especialistas da Aeronáutica - EEAR",,,"Árvore ca. 18 m, fruto verde imaturo, piloso e fruto seco (19.12.95)","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","36035","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, A.C.D.",2017,"","760","","Ivanauskas, N.M.",1996,3,31,"Brazil","São Paulo","Pariquera-Açu","Estação Experimental do IAC",-24.608333,-47.885,"Árvore de 10 m. Látex branco, leitoso. Frutos","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","29166","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Ferreira Neto, W.M.",2004,"","760","","Ivanauskas, N.M.",1996,3,31,"Brazil","São Paulo","Pariquera-Açu",,,,,"Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","92916","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Castello, ACD",2018,"","166","","Laurêncio, A; Gomes, APS; Tschá, M; Inácio, E",1995,9,15,"Brazil","Pernambuco","Floresta","Reserva Biológica de Serra Negra. 8036'00"" S, 38034'15""W",,,"árvore co 20-30m de alt., ramos cobertos por Tillandsia usneoides; presença de látex branco nos ramos e folhas; cálice verde com pêlos amarelados; corola com tubo externamente verde; lobos da corola verde-amarelado.; Topo da serra, cla","Aspidosperma camporum Müll.Arg.","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","29836","Aspidosperma camporum","","Apocynaceae","Aspidosperma","camporum","","Müll.Arg.","Ivanauskas, NM",,"","550","","Ivanauskas, NM",1995,12,12,"Brazil","São Paulo","Pariquera-Açu","Estação Experimental do IAC",,,"Árvore 8m; látex branco; leitoso; flores brancas.","Aspidosperma camporum Müll.Arg.","",,"GBIF"
