"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01307116","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.",,,"","5545","","J.E.Q. Faria",2016,3,20,"Brazil","Minas Gerais","Diamantina","Margem da estrada de Diamantina para Milho Verde",-18.376944,-43.548055,,"Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3398","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","Otoni, TJO",2016,"","5414","","Faria, JEQ; Chaves, DA; Otoni, TJO",2016,3,4,"Brazil","Minas Gerais","Gouveia","Estrada paralela aos moinhos de vento, entrando à direita sentido Gouveia/Curvelo. Sítio do Mulato, área de extração da empresa mineradora Tracomal.",-18.523333,-43.913611,,"Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3497","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.",,,"","5545","","Faria, JEQ",2016,3,20,"Brazil","Minas Gerais","Diamantina","Margem da estrada de Diamantina para Milho Verde",-18.376944,-43.548056,,"Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","UNICAMP","UEC","200567","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","Forzza, RC",2018,"","19720","","Martinelli, G; Lima, T; Maurenza, D",2016,11,3,"Brazil","Minas Gerais","Diamantina","Parque Nacional Sempre Vivas. Estrada para Taquaral, localidade de Inhacica.",-17.845833,-43.763333,"Arvoreta, 5m, heliófila; folhas verdes, discolores; frutos castanhos.; Campos rupestres.","Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3313","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","Faria, JEQ; Otoni, TJO",,"","s.n.","","Silva Júnior, MC; Machado, ELM; Otoni, TJO",2014,4,8,"Brazil","Minas Gerais","Diamantina","Mendanha, Cachoeira Santa Polônia",-18.108889,-43.555556,,"Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14965","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","Domingos A. Folli",2014,"","7233","","Folli, D.A.",2014,8,8,"Brazil","Mg","SANTA RITA DO ITUETO",,,,"<ll>dwc_commonname:</ll> Peroba rosa","Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00896918","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","D.A. Folli",2014,"","7233","","D.A. Folli",2014,8,8,"Brazil","Minas Gerais","Santa Rita do Itueto","Córrego Santa Rita.",,,"Terrestre; porte arbóreo, 40m, fuste 20m, CAP 312cm, copa 12m; fruto imaturo verde, maduro marrom; exsudação incolor; descamação ausente; exsudação seiva","Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","UFOP","OUPR","28170","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","Messias, M.C.T.B.",,"","149","","Ramos, M.B.C.",2013,3,18,"Brazil","Minas Gerais","Ouro Branco","Parque Estadual Serra do Ouro Branco, Coletada próximo ao balneário do PESOB",-20.490844,-43.674592,"Arbusto. Mata Ripária","Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","UFU","HUFU","58454","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.","Castello, A.C.D.",2017,"","58","","Rezende, A.R.; Marques, D.; Pêgo, P.T. & Pádua, K.J.M.",2010,9,21,"Brazil","Minas Gerais","Diamantina","Parque Estadual do Biribiri",-18.219167,-43.623333,"Arvoreta, ca. 4 m de altura. Frutos marrons; Campo Rupestre.","Aspidosperma dispermum Müll.Arg.","",,"GBIF"
"","UFES","VIES","31190","Aspidosperma dispermum","","Apocynaceae","Aspidosperma","dispermum","","Müll.Arg.",,,"","11","","Curto, R.A.; Martins, L.T. & Silva, A.E.",2010,10,16,"Brazil","Espírito Santo","Guaçuí","Floresta do Rosal.",,,,"Aspidosperma dispermum Müll.Arg.","",,"GBIF"
