"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","192464","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá",,,"","s.n.","","Schindler, B; Costa, R",2017,10,22,"Brazil","Alagoas","Joaquim Gomes",,-9.045,-35.82,"Solo rochoso, área de extração de madeira; indivíduo arbóreo, DAP 24,9 cm, altura 17m","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","114962","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","Zuntini, A.R.",,"","334","","Morokawa, R.",2011,4,15,"Brazil","Espírito Santo","Linhares",,,,,"Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","Reserva Natural Vale","CVRD","13432","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","Geovane S. Siqueira",2011,"","652","","Siqueira, G.S.",2011,8,31,"Brazil","Es","LINHARES",,-19.169943,-39.908241,"Na borda da mata , prox. A curva do aceiro baldo faé <ll>dwc_commonname:</ll> Tambú pequiá","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","UFES","VIES","24915","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","Ribeiro, M.",2011,"","702","","Ribeiro, M.; Fanticelle, B.S.",2011,12,2,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande.",,,,"Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","UFES","VIES","39914","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá",,,"","3795","","Gomes, J.M.L.",2010,7,15,"Brazil","Espírito Santo","Linhares","Flora de Goytacazes.",,,,"Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","MBML","MBML-HERBARIO","46935","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","A.C.D. Castello & A.L. Scudeler/Out.2016",,"","2158","","A. M. Assis; Kleber ""apicultor""",2009,10,9,"Brazil","Espírito Santo","Aracruz","Gimuhuma",-19.763944,-40.246111,"Árvore 8m, frutos secos. Isolada no pasto","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","Reserva Natural Vale","CVRD","11096","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","Domingos A. Folli",2008,"","5954","","Folli, D.A.",2008,2,19,"Brazil","Es","LINHARES",,,,"Aceiro com Baldo Faé <ll>dwc_commonname:</ll> Tambú pequiá","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","UFES","VIES","33312","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","M. Zanetti",,"","74","","Moreira, L.N.",2007,7,9,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional Pacotuba.",-20.75,-41.283333,,"Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","UFRPE","PEUFR","49754","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá",,,"","692","","C. G. Lopes",2006,,,"Brazil","Pernambuco","Aliança","Mata do engenho Cuieras",-7.639444,-35.248333,"Árvore ind. 302","Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","104200","Aspidosperma illustre","","Apocynaceae","Aspidosperma","illustre","","(Vell.) Kuhlm. & Pirajá","A. Rapini",,"","2708","","P. Fiaschi",2005,2,19,"Brazil","Bahia","ILHÉUS","Rod. Ilhéus/Itacaré (BA-001), na altura do Km 20, estrada a esquerda. Acesso ao retiro. Ramal vicinal ca. 5,5Km a direita,para a Lagoa Encantada.",-14.586111,-39.117222,,"Aspidosperma illustre (Vell.) Kuhlm. & Pirajá","",,"GBIF"
