"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","14416","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Domingos A. Folli",2013,"","7048","","Folli, D.A.",2013,4,11,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Chamarrão","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","128034","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","A. Rapini",,"","1044","","D. Rocha",2010,5,18,"Brazil","Bahia","CAMACAN","RPPN Serra Bonita, área da fitossociologia. Trilha da Pousada",-15.393889,-39.556389,"Látex branco.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","49564","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","C. Hencker; A. M. Assis; A. A. Alves; E. J. de Lirio/2011",,"","29","","C. Hencker; A. M. Assis; A. A. Alves; E. J. de Lirio",2010,10,15,"Brazil","Espírito Santo","Itarana","Reserva Ecológica Manieiro Matutina - interior do fragmento",,,"botões florais imaturos, verde esbranquiçados, látex branco abundante.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12163","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Domingos A. Folli",2009,"","6339","","Folli, D.A.",2009,4,20,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Chamarrão","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Reserva Natural Vale","CVRD","10014","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Domingos A. Folli",2007,"","5489","","Folli, D.A.",2007,3,5,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Chamarrão","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","UEFS","HUEFS","113058","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","R.F.Souza-Silva",2008,"","5865","","Amorim, A.M.",2006,4,22,"Brazil","Minas Gerais","Santa Maria do Salto","Povoado de Talismã, Fazenda Duas Barras, Reserva Alto Cariri. Trilha do sul que sai em Santa Maria do Salto.",-16.403611,-40.054444,"Floresta Ombrófila Densa Montana.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","UNICAMP","UEC","116899","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Morokawa, R",2016,"","111760","","Amorim, AM; Thomas, WW; Lopes, M; Gomes, LCJ; Sant' Ana, S",2006,4,22,"Brazil","Minas Gerais","Santa Maria do Salto","Povoado de Talismã, Fazenda Duas Barras, Reserva Alto Cariri. Trilha do sul que sai em Santa Maria do Salto.",-16.403611,-40.533333,"Árvore ca. 19 m alt. Frutos verdes a amarelos quando maduros. Látex abundante; Floresta Ombrófita Densa Montana","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","USF","Herb","279680","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J. F. Morales",2014,"","5865","","A. M. A. Amorim, W. Thomas, M. Lopes, L.C.J. Gomes, S. Sant'Ana",2006,4,22,"Brazil","Minas Gerais",,"Povoado de Talismá, Fazenda Duas Barras, Reserva Alto Cariri; Trilha do sul que sai em Santa Maria do Salto.",-16.4036,-40.0544,,"Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","NY","NY","02104316","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J. F. Morales Quirós",2014,"","5865","","A. M. Amorim",2006,4,22,"Brazil","Minas Gerais",,"Povoado de Talismã, Fazenda Duas Barras, Reserva Alto Cariri. Trilha do sul que sai em Santa Maria do Salto.",-16.4036,-40.0544,,"Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","111965","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","M. M. Coelho",,"","721","","Lopes, M. M. M.",2006,5,23,"Brazil","Bahia","ALMADINA","Serra do Corcovado. 9,8Km ao SW de Coarací na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco.",-14.705833,-39.603333,"Látex abundante.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","USP","SPF","176381","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Rapini, A",2008,"","721","","Lopes, MMM",2006,5,23,"Brazil","Bahia","Almadina","Serra do Corcovado, 9.8 km ao SW de Coarací, na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco. Floresta ombrófila densa montana.",-14.705833,-39.603333,"Árvore ca. 15 m alt. Folhas membranáceas, discolores. Frutos verdes, tornando-se amarelos. Látex abundante.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","UEFS","HUEFS","111044","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","R.F.Souza-Silva",2008,"","721","","Lopes, M.M.M.",2006,5,23,"Brazil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coarací na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco.",-14.705833,-39.603333,"Floresta Ombrófila Densa Montana.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","UnB","UB","141356","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Morales, JF",2009,"","721","","Lopes, MM",2006,5,23,"Brazil","Bahia","Almadina","Serra do Corcovado. 9,8km ao SW de Coroaci na estrada para Almadina",-14.705833,-39.603333,"Frutos verdes.; Árvore 15m.; Floresta ombrofólia","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","NY","NY","00906304","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J. F. Morales Quirós",2013,"","721","","M. M. M. Lopes",2006,5,23,"Brazil","Bahia",,"Serra do Corcovado. 9.8 km ao SW de Coarací na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco.",-14.7058,-39.6033,,"Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Instituto de Botânica","SP","392291","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Rapini, A",2008,"","721","","Lopes, MMM; Gomes, LCJ; Santos, BR",2006,5,23,"Brazil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coaraci na estrada para Almadina, daí N até a Fazenda São José",-14.705833,-39.603333,,"Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","29130","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J.F. Morales/11-X-2007",,"","15","","F. Z. Saiter",2004,1,6,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-19.971389,-40.530278,"Árvore com 18m alt., PAP92 com flores de tubo amarelo esverdeado, lacínios amarronzados, com látex, A3P4N96.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","20067","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J.F. Morales/11-X-2007",,"","1958","","R.R. Vervloet; et al",2003,3,11,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Árvore de 18m, frutos imaturos de cor verde, látex branco, baixada, dossel 18m.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","20338","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J. F. Morales/11-X-2007",,"","2175","","R.R. Vervloet; et al",2003,4,9,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Árvore de 17m, frutos imaturos de cor verde, látex branco, topo de morro, dossel 19m.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","20666","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J.F. Morales/11-X-2007",,"","6159","","L. Kollmann; et al",2003,4,30,"Brazil","Espírito Santo","Santa Maria de Jetibá","Caramuru",-20.096389,-40.676944,"Árvore 18m, DAP 22cm, Fuste 8m. Com látex, frutos laranjas.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","18424","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J.F. Morales/11-X-2007",,"","5811","","L. Kollmann; et al",2002,12,3,"Brazil","Espírito Santo","Santa Maria de Jetibá","Belém",-20.043333,-40.697222,"Arvoreto 9m. DAP 22cm. Fuste 4m. Flores brancas.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Reserva Natural Vale","CVRD","6797","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Domingos A. Folli",2001,"","3860","","Folli, D.A.",2001,4,2,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Chamarrão","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","MBML","MBML-HERBARIO","15631","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","J.F. Morales/11-X-2007",,"","5049","","L. Kollmann; et al",2001,11,28,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Árvore 15m. DAP 32cm. Fuste 5m. Flores brancas. Látex.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","UFV","VIC","18090","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.",,,"","s.n.","","Luiza, A.",1995,8,15,"Brazil","Bahia",,"FLONA Rio Preto",,,"Árvore com 12 metros de altura, P5 nº 174.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","UNICAMP","UEC","160499","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Morokawa, R",2016,"","736","","Thomaz",1993,5,27,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",,,"Árvore 16 m, caule int. alaranjado, látex branco.","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
"","Reserva Natural Vale","CVRD","4648","Lacmellea pauciflora","","Apocynaceae","Lacmellea","pauciflora","","(Kuhlm.) Markgr.","Domingos A. Folli",1993,"","2037","","Folli, D.A.",1993,10,7,"Brazil","Es","LINHARES","Coleta de fruto GLF.257",,,"<ll>dwc_commonname:</ll> Chamarrão","Lacmellea pauciflora (Kuhlm.) Markgr.","",,"GBIF"
