"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153644","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","C. Pessoa & J. Jardim",,"","1241","","Santos, E.A.",2016,2,22,"Brazil","Bahia","JAGUARIPE","Conglomerado BA_903-1-9-42",-13.113333,-38.895556,"<ll>dwc_commonname:</ll>","Rauvolfia atlantica Emygdio","",,"GBIF"
"","UFPB","JPB","59997","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio",,,"","1452","","Lima, IB; Simões, AO",2014,10,27,"Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú",,,"; DESC: Árvore, 2-3m, látex branco. Corola alva, lobos com detalhes em lilás próximo da fauce. Frutos imaturos verdes.","Rauvolfia atlantica Emygdio","",,"GBIF"
"","UEFS","HUEFS","198768","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio",,,"","1537","","Popovkin, A.V.",2013,9,12,"Brazil","Bahia","Entre Rios","Algodão.",-12.166667,-37.966667,"Atlantic Forest.","Rauvolfia atlantica Emygdio","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","134627","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","A. Rapini",,"","29","","Lacerda, V. D.",2011,2,9,"Brazil","Bahia","ITACARÉ","Campo Cheiroso",-14.380556,-39.039722,"Látex","Rauvolfia atlantica Emygdio","",,"GBIF"
"","UFPR","UPCB","79706","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","Koch, I.",2018,"","8836","","Lombardi, J.A. | Saka, M.N. | Biral, L. | Poli, L.P. | Coan, A.I.",2011,12,11,"Brazil","Bahia","Ilhéus","Estrada de terra BA-668, saindo de Acupe de Baixo na rodovia BA-001 Ilhéus-Una.",-15.075833,-39.0225,"Amostra em sílica. Mata de Restinga, terreno arenoso. Arvoreta ca. 2m, com látex, folhas papiráceas, cálice verde, tubo da corola branco, fauce rosa, estigma verde..","Rauvolfia atlantica Emygdio","",,"GBIF"
"","UEFS","HUEFS","149415","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","A.Rapini",2010,"","2505","","Cardoso, D.",2009,4,7,"Brazil","Bahia","Una","Reserva Biológica de Una. Fragmento de restinga arbórea na beira da rodovia BA-001 sentido Ilhéus-Una.",-15.183333,-39.016389,,"Rauvolfia atlantica Emygdio","",,"GBIF"
"","F","Botany","V0423552F","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","RRC ID Flag",,"","2505","","D. Cardoso",2009,4,7,"Brazil","Bahia",,,,,,"Rauvolfia atlantica Emygdio","",,"GBIF"
"","UEFS","HUEFS","127000","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","R.F.Souza-Silva",2008,"","4994","","Jardim, J.G.",2007,5,3,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica Estadual Nova Esperança; trilha para o Pico do Urubu.",-13.595278,-39.719444,"Floresta ombrófila densa.","Rauvolfia atlantica Emygdio","",,"GBIF"
"","UFRB","HURB","4095","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","A. Rapini",2007,"","801","","Carvalho-Sobrinho, J.G.; et al.",2006,3,18,"Brazil","Bahia","Itacaré","Faz. Caetitú, Campo Cheiroso;",-14.370556,-39.054722,"foto.","Rauvolfia atlantica Emygdio","",,"GBIF"
"","UEFS","HUEFS","106914","Rauvolfia atlantica","","Apocynaceae","Rauvolfia","atlantica","","Emygdio","A.Rapini",2007,"","801","","Carvalho-Sobrinho, J.G.de",2006,3,18,"Brazil","Bahia","Itacaré","Fazenda Caetitú. Campo cheiroso, área florestada.",-14.370556,-39.054722,,"Rauvolfia atlantica Emygdio","",,"GBIF"
