"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01132031","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek","R. Moura",2016,"","126","","Bello, D. A.",2016,5,20,"Brazil","Rio de Janeiro","Miracema","Conglomerado 249-1-4-33. UTM do Ponto Central: E (789403m) N (7638765m). Fuso do GPS (23K)",,,"Árvore, com 10 m de altura. Base reta. Casca interna branca e externa esbranquiçada, fina, áspera. Fruto maduro, com 1-2cm, arredondado, vermelho, carnoso, com polpa.  Nome Vulgar: Pau-branco","Ilex cerasifolia Reissek","",,"GBIF"
"","MBM","MBM","410192","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek","Moura, R",2016,"","126","","Bello, DA",2016,5,20,"Brazil","Rio de Janeiro","Miracema","Conglomerado 249-1-4-33. UTM do Ponto Central: E (789403m) N (7638765m). Fuso do GPS (23K).",,,"Árvore, com 10 m de altura. Base reta. Casca interna branca e externa esbranquiçada, fina, áspera. Fruto maduro com 1-2 cm, arredondado, vermelho, carnoso, com polpa.; Mata com dossel aberto.","Ilex cerasifolia Reissek","",,"GBIF"
"","JBRJ","RB","RB01181438","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek","E. F. Guimarães & Rubens C.",2016,"","693","","C. Baez; Thalis Lima, Patrícia da Rosa, Marta Moraes, Lucas Moraes, Daniel Maurenza, Raquel Negrão, Girso e Rafael",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","Rio Bonito de Macaé de Cima. Pico da Velutina (""Velutina´s Ridge""). Entrada pela Reserva Biológica do Matão. APA Macaé de Cima",-22.438611,-42.504444,"Terrícola, heliófila. Folhas glabras discolores crenadas. Frutos arredondados verdes.","Ilex cerasifolia Reissek","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188443","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek",,,"","1361","","Rocha, MJR",2016,11,1,"Brazil","Minas Gerais","Rio Manso","Morro da Onça",-20.518889,-44.631944,"Floresta Estacional Semidecidual","Ilex cerasifolia Reissek","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","195639","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek",,2019,"","218","","Moreira, NC; Stehmann, JR",2015,1,23,"Brazil","Minas Gerais","Lagoa Santa","Lapinha.",-19.558889,-43.958056,"Vegetação estacional semidecidual, em base de afloramento calcário.","Ilex cerasifolia Reissek","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","35482","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek","Stehmann, JR; Moreira, NC",2019,"","218","","Moreira, NC",2015,1,23,"Brazil","Minas Gerais","Lagoa Santa","Lapinha",-19.558889,-43.958056,"BHCB195639; Vegetação estacional semidecidual, em base de afloramento calcário","Ilex cerasifolia Reissek","",,"GBIF"
"","FZB-BH","BHZB","11459","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek",,,"","5208","","Rezende, S.G.",2015,7,29,"Brazil","Mg","Mariana","Região do distrito de Camargos",,,"com duplicataData correta 23 /10 /2015","Ilex cerasifolia Reissek","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","172031","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek",,2012,"","10","","Miranda, PLS",2012,7,3,"Brazil","Minas Gerais","Belo Horizonte","Estação Ecológica da UFMG, Mata das borboletas - Parcela 23, planta 1389.",-19.88,-43.973333,"Árvore com 8m de altura e 20cm de CAP. Frutos maduros amarelados.","Ilex cerasifolia Reissek","",,"GBIF"
"","UFSJ","HUFSJ","3008","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek","Sobral, M",2011,"","14468","","Sobral, M; Barbosa, AM; Castro, DG; T",2011,11,26,"Brazil","Minas Gerais","Prados","Serra de São José",-21.0735,-44.146167,"Árvore 4 m, em beira de mata; flores brancas.","Ilex cerasifolia Reissek","",,"GBIF"
"","JBRJ","RB","RB00695387","Ilex cerasifolia","","Aquifoliaceae","Ilex","cerasifolia","","Reissek","E.M.Saddi",,"","564","","E.M.Saddi; João Henrique Martins, Roni Chaves & Kleber Silva",2011,11,15,"Brazil","Minas Gerais","Itatiaiuçu","Parcela P7 dos estudos para o EIA do Complexo Serra Azul.",-20.233611,-44.465,"Árvore de aproximadamente 6m de altura. Folhas pilosas na face abaxial. Pétalas alvas.","Ilex cerasifolia Reissek","",,"GBIF"
