"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFOP","OUPR","24642","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Tonaco, A.C.",2011,"","161","","Tonaco, A.C.; Neto, M.F.",2011,2,7,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Lagoa Seca. Dolina 20m de profundidade",-20.431944,-43.488889,"Árvore, 8m. Flores com cálice verde, ápice das pétalas alvo; pétalas alvas, anteras amareladas","Ilex euryaeformis Reissek","",,"GBIF"
"","UFOP","OUPR","24640","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Tonaco, A.C.",2011,"","118","","Tonaco, A.C.; Roberto, B.G. & Aranha-Filho, J.L.M.",2010,10,29,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Lagoa Seca. Dolina 20m de profundidade",-20.431944,-43.488889,"Árvore, 6m. Botões florais verde-claro","Ilex euryaeformis Reissek","",,"GBIF"
"","UFOP","OUPR","24641","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Tonaco, A.C.",2011,"","133","","Tonaco, A.C.; Lanna, J.M.",2010,12,16,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Lagoa Seca. Dolina 20m de profundidade",-20.431944,-43.488889,"Árvore, 6m. Flores com pétalas alvas e máculas castanho claro; Cálice verde na base e alvo no ápice. Botões florais amarelo-esverdeado","Ilex euryaeformis Reissek","",,"GBIF"
"","UNICAMP","UEC","48533","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Tamashiro, JY",,"","s.n.","","Carvalho, DA",1987,10,16,"Brazil","Minas Gerais","Lavras","Antena - Serra da bocaina",,,"flor, Arbusto 1m altura. Flores creme em campo rupestre. Frequente.","Ilex euryaeformis Reissek","",,"GBIF"
"","UNICAMP","UEC","48534","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Tamashiro, JY",,"","s.n.","","Carvalho, DA",1987,10,16,"Brazil","Minas Gerais","Lavras","Antena - Serra da bocaina",,,"flor, Arbusto 1m altura. Flores creme em campo rupestre. Frequente.","Ilex euryaeformis Reissek","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","0555","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","P. Capell S.J.",,"","s.n.","","P.E. Leite S.J.",1945,2,,"Brazil","São Paulo","Campos do Jordão",,,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","UFOP","OUPR","479","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek",,,"","s.n.","","Damazio, L.B.",1904,,,"Brazil","Minas Gerais","Ouro Preto","Alto do Itaculumi",,,"Ex Herb. Escola de Minas n. 1534.","Ilex euryaeformis Reissek","",,"GBIF"
"","MNHN","P","P03274914","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek",,,"",,"","Glaziou, A.",1884,2,14,"Brazil","Minas Gerais",,,,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","MNHN","P","P03274913","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek",,,"",,"","Weddell",1844,1,1,"Brazil","Minas Gerais",,,,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","B","FMNH-B-Types","13211","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek",,,"","1081","","F. Sellow",,,,"Brazil",,,,,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","F","Botany",,"Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek",,,"","1081","","F. Sellow",,,,"Brazil",,,,-10.8339,-52.8731,,"Ilex euryaeformis Reissek","",,"GBIF"
"","K","Herbarium","K001033960","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek",,,"","15454","","Glaziou",,,,"Brazil",,,"Environs de Rio Janeiro et D´Ouro Preto.",,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","JBRJ","RB","RB00047318","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Hesener Monogr. 365",,"","10253","","Schwacke",,,,"Brazil","Minas Gerais","Itacolomi","Itacolomi - Minas Gerais.",,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","JBRJ","RB","RB00047332","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Loesener Manogr. 365",,"","7452","","Schwacke",,,,"Brazil","Minas Gerais","Itacolomi","Itacolomy - Minas Gerais.",,,,"Ilex euryaeformis Reissek","",,"GBIF"
"","JBRJ","RB","RB00047322","Ilex euryaeformis","","Aquifoliaceae","Ilex","euryaeformis","","Reissek","Damazio",,"",,"","Damazio",,,,"Brazil","Minas Gerais","Itacolomi","Alto do Itacolomi - Minas Gerais.",,,,"Ilex euryaeformis Reissek","",,"GBIF"
