"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","136368","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","Guedes, ML",2019,"","31665","","Guedes, ML; Alunos de Botânica Econômica",2019,5,18,"Brazil","Bahia","Ilhéus","Fazenda Aritagúa.",-15.3,-39.066667,"Folhas cartáceas, discolores. Inflorescência axilar, flores alvas. Frutos imaturos verdes.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","JBRJ","RB","RB01395655","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.",,,"","172","","Grupo de Coletores do Núcleo Juçara",2015,3,6,"Brazil","Espírito Santo","Conceição da Barra","Base avançada. Núcleo Juçara, Matriz 172. Floresta Nacional do Rio Preto",-18.438333,-39.821389,"árvore, terrícola, ambiente de planície, de solo arenoso, clareira da floresta, de acesso difícil","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","UFPB","JPB","61375","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.",,,"","4680","","Nusbaumer, L; et al.",2015,10,23,"Brazil","Alagoas","Murici","Serra de Murici, Localité de Murici. Serra de Mumbuca.",-9.289097,-35.942619,"; HABITAT: Forêt ombrophile submontagnarde de pateau en bordure de haut de versant; DESC: arbre, 10 m, 16 cm DBH; fl. blanc à 5 sép. triang. vert, 5 ét. blanches, alternipét., anthères jaune pâle, base du limbe replié en 2 pseudo-gl.,","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","IMA","MAC","58416","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.",,,"","4680","","L.Nusbaumer",2015,10,23,"Brazil","Alagoas","Murici","Serra de Murici, Serra de Mumbuca.",-9.491936,-36.573664,"Árvore ca. 10 m. Flores brancas; sépalas triangulares.; Mata Atlântica.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","UFPB","JPB","61467","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.",,,"","4772","","Nusbaumer, L",2015,11,10,"Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.",-9.252702,-36.422962,"; HABITAT: Forêt ombrophile submontagnarde de pente (arêt d'ordre III); DESC: arbre, 10 m, contrefort jsuqu'à 1 m de hauteur; fl. blanche à 5 pétales soudés, 5 étamines alternipétales, anthères brun-beige, ovaire vert-jaune-orangé en","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","IMA","MAC","58434","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.",,,"","4772","","L.Nusbaumer",2015,11,10,"Brazil","Alagoas","Quebrangulo","Reserva Biológica Federal da Pedra Talhada.",-9.541389,-36.786389,"Árvore ca. 10m. Flores brancas, ovário amarelado.; Mata Atlântica.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","UFPB","JPB","57895","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","Barbosa, MR",2017,"","4065","","Nusbaumer, L; Ammann, M",2014,5,18,"Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.",-9.240234,-36.450398,"; HABITAT: Forêt ombrophile submontagnarde de plaeau, petite arête, forêt partiellement dégradée; DESC: arbre, 12 m, 20 cm DBH; fruit vert, rouge à maturité, 2 stigmate noir sessiles; récolte photographiée in situ; échantillon séché à","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15078","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","Geovane S. Siqueira",2014,"","990","","Siqueira, G.S.",2014,9,15,"Brazil","Es","SOORETAMA",,-19.013278,-40.016778,"área de solo com turfeira hidromorfica <ll>dwc_commonname:</ll> Erva mijona","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","JBRJ","RB","RB00915409","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","G.S. Siqueira",2014,"","990","","G.S. Siqueira",2014,9,15,"Brazil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama. BR 101.",,,"Arbóreo. Terrestre. Altura total: 3m. Botão branco. Flor branca. Seiva incolor. Descamação ausente. Fuste cilíndrico.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","151123","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","L. Daneu",,"","105","","Paulino, R.C.",2014,12,2,"Brazil","Bahia","BELMONTE","Conglomerado BA_1381-1-3-11",-16.199444,-39.060278,"<ll>dwc_commonname:</ll>","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13437","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","Geovane S. Siqueira",2011,"","657","","Siqueira, G.S.",2011,9,5,"Brazil","Es","LINHARES","No final da estrada, próximo a casa do guarda.",-19.117826,-39.88282,"<ll>dwc_commonname:</ll> Erva mijona","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","57727","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","Guedes, M.L.; Akita, A.S.T.; Silva, L.M.",2011,"","19013","","Guedes, M.L.",2011,10,9,"Brazil","Bahia","Ilhéus","Sul da Bahia, Fazenda Plantas & Jardim.",-14.793611,-39.083056,"Arbusto, ca. 2,5 m; folhas cartáceas, discolores; frutos imaturos.; Floresta ombrófila densa.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","UFPE","UFP","82181","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","Amorim, B.S.",2017,"","1174","","Amorim, B.S.; Araújo, D. & Chagas, M.",2011,10,26,"Brazil","Alagoas","Quabrangulo","REBIO Pedra Talhada, Trilha do Riacho. Interior da Mata.",-9.255,-36.431111,"Material tratado com álcool a 90%.; Arvoreta 4m de altura; flores brancas.; Floresta Atlântica.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","28842","Ilex floribunda","","Aquifoliaceae","Ilex","floribunda","","Reissek ex Maxim.","B.S. Amorim",2017,"","1174","","B.S. Amorim",2011,10,26,"Brazil","Al","Quebrangulo","Reserva Biológica da Pedra Talhada,",-9.255,-36.431111,"arvoreta 4 m alt. Flores brancas. Material tratado com álcool 90%.","Ilex floribunda Reissek ex Maxim.","",,"GBIF"
