"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","134696","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Sperotto, P",2018,"","11","","Sperotto, P",2018,2,21,"Brazil","Bahia","Una","BA 001",,,"caule volúvel, sobre árvore jovem de aprox. 4 m. Folhas discolores, face abaxial mais clara; folhas e caule ásperos. Frutos imaturos, verdes.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Reserva Natural Vale","CVRD","15897","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Geovane S. Siqueira",2018,"","1269","","Siqueira, G.S.",2018,3,21,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Guiné","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Reserva Natural Vale","CVRD","15899","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Domingos A. Folli",2018,"","7611","","Folli, D.A.",2018,3,21,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Guiné","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","101693","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Fiaschi, P",2019,"","46","","Oliveira, RB; Silva, MD; Queiroz, MVM",2011,3,,"Brazil","Bahia","Ituberá","Litoral Sul, Igrapiúna, Reserva Ecológica Michelin",,,"Alt. (m): 25. Odor de manga. Fragmento de Pacangê. Ninho de Scaptotrigona xanthotricha. Ladeira antes da ponte.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","UEFS","HUEFS","188624","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin",,,"","2486","","Matos, E.N.de",2011,11,5,"Brazil","Bahia","Jaguaripe","Pinado",-13.237222,-38.978333,"Restinga. Floresta.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","128146","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","G. M. Carvalho",,"","405","","Carvalho, G. M.",2010,9,6,"Brazil","Bahia","PORTO SEGURO","RPPN Estação Veracel",-16.5,-39.25,,"Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","JBRJ","RB","RB00572018","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Pedro Fiaschi",,"","7846","","A.M. Amorim; R. Goldenberg, C.N. Fraga, A.P. Fontana, L. Kollmann & L. Daneu",2009,4,11,"Brazil","Espírito Santo","Cariacica","Estrada do entorno da reserva em acesso a Alegre.",-20.3025,-40.481944,"Arvoreta cerca de 6 metros de altura. Folhas verdes, a face superior escrua e brilhante. Frutos imaturos verdes a levemente arroxeados.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","MBM","MBM","392641","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Fiaschi, P",2011,"","7361","","Amorim, AMA",2008,5,5,"Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas, entorno da reserva, na estrada de acesso a São Paulo Viana",-20.300833,-40.546667,"Árvore ca. 10m alt. Folhas brilhantes na face superior, raque verde, botões verdes, imaturos. Material em sílica-gel.; Floresta Ombrófila Densa Sub-Montana.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","MBML","MBML-HERBARIO","34476","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","P. Fiaschi/Jan.2011",,"","7361","","A. M. Amorim; et al",2008,5,5,"Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas",-20.300833,-40.546667,,"Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","USP","SPF","196536","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Fiaschi, P",2011,"","7361","","Amorim, AMA",2008,5,5,"Brazil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas",-20.308333,-40.546667,,"Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","JBRJ","RB","RB00529292","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","P.Fiaschi",2011,"","7361","","A.M. Amorim; A.P. Fontana, W.M. São-Mateus",2008,5,5,"Brazil","Espírito Santo","Cariacica","Entorno da Reserva, na estrada de acesso a São Paulo Viana. Floresta Ombrófila Densa Sub-Montana. Reserva Biológica de Duas Bocas",-20.300833,-40.546667,"Árvore ca. 10m alt. Folhas brilhantes na face superior, raque verde, botoes verdes, imaturos. Material em sílica-gel.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","UFV","VIC","21413","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin",,,"","2442","","Amado, J.C.L.; et al.",2007,3,13,"Brazil","Bahia","Alcobaça","CAF Grupo Arcelor - Reserva Sombra da Tarde, Floresta Ombrófila Densa de Terras Baixas. Altitude de 40 metros.",-17.390278,-39.439167,"Árvore.","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Reserva Natural Vale","CVRD","10256","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Pedro Fiaschi",2011,"","5575","","Folli, D.A.",2007,5,10,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Guiné","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","59862","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","Fiaschi, P.",,"","5575","","Folli, D.A.",2007,5,10,"Brazil","Espírito Santo","Linhares","Reserva Natural do Vale. Estrada: Aceiro Ceolin.",,,"Arbóreo. Botão e flor cor verde claro,exsudação: seiva e incolor., descamação ausente, forma fuste cilíndrico, superfície da casca áspera, altura total 10m, altura fuste 4m, cap fuste 40cm, diametro copa 2mEcossistema: Mata Ciliar. Fo","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","111276","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","P. Fiaschi",,"","911","","J. L. da Paixao",2006,3,20,"Brazil","Bahia","ALMADINA","Serra do Corcovado, Rod. Almadina/Coaraci, ca. 5Km.",-14.703611,-39.6025,,"Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
"","UFRPE","PEUFR","48801","Dendropanax brasiliensis","","Araliaceae","Dendropanax","brasiliensis","","(Seem.) Frodin","P.Fiaschi",2005,"","1653","","G.E.L.Macedo; J.L.Paixão",2004,12,9,"Brazil","Bahia","Jequié","Fazenda Brejo Novo",-13.944722,-40.109417,"Folhas crassas, levemente discolor, glabras; material estéril","Dendropanax brasiliensis (Seem.) Frodin","",,"GBIF"
