"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH","97352","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","Rivera-D., O.",2017,"","9006","","Castaño-A., N.",2017,1,28,"Colombia","Caquetá",,"parque natural municipal Andaquí, cabecera del río Pescado, sector La Porfunda, bosque bien conservado, dosel de 20m, medianamente abierto, sotobosque ralo, epifitismo alto con presencia de no vasculares, capa de hojarasca 10cm",1.66,-75.9,"Ejemplar botánico","Dendropanax denticulatus Fiaschi","",,"GBIF"
"","IAC","IAC","53999","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","S.L. Jung-Mendaçolli",2012,"","56","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2011,2,24,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Dendropanax denticulatus Fiaschi","",,"GBIF"
"","IAC","IAC","54025","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","A.C.O. Souza et al.",2011,"","82","","A.C.O. Souza; L.C. Bernacci & R. Belinelo",2011,5,18,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",-23.360372,-45.109914,,"Dendropanax denticulatus Fiaschi","",,"GBIF"
"","USP","SPF","198235","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","Ivanauskas, NM",2008,"","579","","Polisel, RT",2008,3,28,"Brazil","São Paulo","Bananal","Estação Ecológica de Bananal",,,"Coordenada: 56º73'80''S e 74º79'35,8''W","Dendropanax denticulatus Fiaschi","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","102142","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","Fiaschi, P.",2010,"","5026","","Ivanauskas, N.M.",2004,1,24,"Brazil","São Paulo","São Luis do Paraitinga",,,,,"Dendropanax denticulatus Fiaschi","",,"GBIF"
"","IAC","IAC","53199","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","P. Fiaschi",2006,"","1252","","P. Fiaschi; M. Groppo Jr.; L.R. Lima & D. Sasaki",2003,1,4,"Brazil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, trilha para cachoeira do poço do Pito, na margem do poço, pouco antes da cachoeira",-23.216667,-45.3,"ISOTYPUS - Candollea 61(2): 460(#?#461;fig. 2). 2006. Coordenadas do material: 23°13#?#S, 45°18#?#W; acompanhantes: Vanderlei e Karin","Dendropanax denticulatus Fiaschi","",,"GBIF"
"","USP","SPF","155755","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","Fiaschi, P",2007,"","1252","","Fiaschi, P; Groppo, M; Lima, LR; Sasaki, D",2003,1,4,"Brazil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia. Trilha para a cachoreira do Poço do Pito, na margem do poço, pouco antes da cachoeira. Mata Atlântica em regeneração. Acompanhantes: Vanderlei e Karin.",,,"Árvore ca. 10 m alt. Tronco liso, com casca fina, DAP ca. 18 cm. Inflorescências com eixo verdeclaro. Flores com pedicelo vináceo-esverdeado. Botões florais com cálice vináceo e corola verde-clara. Flores com pétalas verde-claras, re","Dendropanax denticulatus Fiaschi","",,"GBIF"
"","MBM","MBM","329739","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","Fiaschi, P",2006,"","1252","","Fiaschi, P",2003,1,4,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Sera do Mar, Núcleo Santa Virgínia. Trilha para a Cachoeira do Poço do Pito, na margem do poço pouco antes da cachoeira.",-23.216667,-45.3,"Árvore ca. 10m alt. Tronco liso, com casca fina, DAP ca. 18 cm. Inflorescências com eixo verde claro. Flores com pedicelo vináceo-esverdeado. Botões florais com cálice vináceo e corola verde-clara. Flores com pétalas verde-claras, re","Dendropanax denticulatus Fiaschi","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-281319/1","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi","Fiaschi, P. (2006)",,"",,"","Fiaschi, P. & al.",2003,1,4,"Brazil",,,"São Paulo - Brasil. São Paulo. São Luís do Paraitinga: Parque Estadual da Serra do Mar, Núcleo Santa Virgínia/Estado de São Paulo",-23.21667,-45.3,,"Dendropanax denticulatus Fiaschi","",,"GBIF"
"","F","Botany","V0092624F","Dendropanax denticulatus","","Araliaceae","Dendropanax","denticulatus","","Fiaschi",,,"","1252","","P. Fiaschi et al.",2003,1,4,"Brazil","São Paulo",,"São Luis do Paraitinga, Parque Estadual da Serra do mar, Nucleo Santa Virginia",-23.22,-45.3,,"Dendropanax denticulatus Fiaschi","",,"GBIF"
