"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","36848","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","JAC 366","","Gurtler, J.; Dutra, S.C.",2018,2,2,"Brazil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P3).",-18.785278,-40.441389,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UFES","VIES","39418","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Wandekoken, D.T.",2017,"","119","","Wandekoken, D.T.",2016,1,20,"Brazil","Espírito Santo","Guarapari","Parque Estadual Paulo Cesar Vinha.",-20.598333,-40.423333,"Floresta periodicamente inundada.","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UFES","VIES","41786","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,2015,"","1679","","Alves-Araújo, A.; Souza, W.; Machado, J.; Pena, T.",2014,4,7,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas. Próximo à trilha da Borboleta.",,,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UFES","VIES","25734","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","2881","","Assis, A.M.; Cipriano, R. & Coutinho, H.",2012,1,3,"Brazil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra - Porto Grande - restinga.",-18.592778,-39.763611,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UESC","UESC","16136","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","17","","N.A.Sousa,",2012,10,18,"Brazil","Bahia","Itacaré",,-14.325,-39.028611,"Árvore, cerca de 4-5 m de altura.; Material vegetativo.","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UEFS","HUEFS","182813","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","999","","Matos, E.N.de",2011,12,16,"Brazil","Bahia","Caravelas","Cardoso-Treme.",-17.799722,-39.389444,"Floresta.","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UEFS","HUEFS","188625","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","2487","","Matos, E.N.de",2011,12,14,"Brazil","Bahia","Caravelas","Santiago de Cima",-17.768333,-39.361944,"Restinga. Floresta.","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","UFES","VIES","23265","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Ribeiro, M.",2010,"","95","","Ribeiro, M.; Fanticelle, B.S. & Amaral, M.V.",2010,3,27,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade.",,,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","JBRJ","RB","RB01364444","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","513","","A.O. Giaretta",2009,4,20,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas. Parque Estadual de Itaúnas. Trilha das borboletas",,,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","JBRJ","RB","RB01364407","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","M.Ribeiro",,"","142","","R.F.A. Martins; A.O. Giaretta; M.B.Faria",2008,1,16,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade. Estrada de terra adjacente à uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus-Guriri",,,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","Reserva Natural Vale","CVRD","13948","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi",,,"","4645","","J.R. Stehmann",2007,2,7,"Brazil","Es","LINHARES","Curso de Taxonomia UFMG",-19.209417,-39.962778,"Arvoreta 3m em área aberta (campina úmida). Frutos imaturos verdes. Flores cremes. Folhas discolores. <ll>dwc_commonname:</ll> Imbaubão do nativo","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","Reserva Natural Vale","CVRD","10834","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Roncero-Silles, M.F.; Siqueira, G.",2006,"","42","","Freire, G.Q.",2006,4,6,"Brazil","Es","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",,,"Árvore, 7m alt., fruto maduro roxo escuro e frutos imaturos verdes <ll>dwc_commonname:</ll> Imbaubão do nativo","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","Reserva Natural Vale","CVRD","11474","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Rodrigues, C.D.N.; Lorenzo, L.",2006,"","526","","Ferreira-Pinho, M.A.",2006,4,5,"Brazil","Es","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",,,"Fruto imaturo verde e maduro vinho escuro. <ll>dwc_commonname:</ll> Imbaubão do nativo","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","JBRJ","RB","RB00486227","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Rodrigues, C.D.N.;Lorenzo,L.",2006,"","526","","Pinho-Ferreira,M.A.; Lorenzo,L.;Rodrigues,C.D.N.;Viani,R.A.G.;Souza,V.C.;Scalon,V.R.",2006,4,5,"Brazil","Espírito Santo","Linhares","Estrada Macaíba Pele de Sapo.Mussusunga.",-19.276111,-40.037222,"Fruto imaturo verde e maduro vinho escuro.","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","JBRJ","RB","RB00486224","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Roncero-Silles,M.F.;Siqueira,G.",2006,"","42","","Freire,G.Q.; Rochelle,A.L.C.;Roncero-Siles,M.F.;Scalon,V.R.;Souza,V.C.;Van Melis,J.",2006,4,6,"Brazil","Espírito Santo","Linhares","Estrada Gávea, 5,5km da entrada /borda de Mussununga com Nativo.",-19.36,-40.625556,"Árvore, 7m alt., fruto maduro roxo escuro e frutos imaturos verdes.","Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","104399","Schefflera selloi","","Araliaceae","Schefflera","selloi","","(Marchal) Frodin & Fiaschi","Rodrigues, C.N.D. & Lorenzo, L.",2006,"","526","","Pinho-Ferreira, M.A.M.",2006,4,5,"Brazil","Espírito Santo","Linhares",,,,,"Schefflera selloi (Marchal) Frodin & Fiaschi","",,"GBIF"
