"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","112117","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","Roque, N; Alves, M",2014,"","4090","","Roque, N; Alunos de Sistemática Evolução de Espermatófitas",2014,1,25,"Brazil","Bahia","Mucugê","Chapada Diamantina, Trilha Ponte do Rio Cumbuca para o Córrego das Perdizes.",-12.988889,-41.349167,"até 2 m alt. Folhas levemente discolores, brácteas involucrais verdes, corola rósea.","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","US","Botany","3674537","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.",,,"","4090","","N. Roque & Estudiantes Sistematica",2014,1,25,"Brazil","Bahia",,"Brasil, Bahia, Mucuge Diamantina, Trilha Ponte do Rio Cumbuca para o Corrego das Perdizes.",-12.9889,-41.3492,,"Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","JBRJ","RB","RB00853651","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","M. Alves; N. Roque",,"","4090","","N. Roque",2014,1,25,"Brazil","Bahia","Mucugê","Chapada Diamantina, trilha Ponte do Rio Cumbuca para o córrego das Perdizes.",-12.988889,-41.349167,"Arbusto até 2m alt, folhas levemente discolores, brácteas involucrais verdes, corola rósea","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","USP","SPF","216764","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","Alves, M",2014,"","4090","","Roque, N",2014,1,25,"Brazil","Bahia","Mucugê","Chapada Diamantina, Trilha Ponte do Rio Cumbuca para o Córrego das Perdizes.",-12.988889,-41.349167,,"Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","JBRJ","RB","RB00853651","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","M. Alves; N. Roque",2014,"","4090","","N. Roque",2014,1,25,"Brazil","Bahia","Mucugê","Chapada Diamantina, trilha Ponte do Rio Cumbuca para o córrego das Perdizes.",-12.98889,-41.34917,"arbusto, até 2m altura, folhas levemente discolores, brácteas involucrais verdes, corola rósea","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","107583","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","Guedes, ML",2013,"","20289","","Guedes, ML; Alunos do PARFOR",2013,1,19,"Brazil","Bahia","Morro do Chapéu","Morrão, próximo da Torre.",-11.55,-41.15,"Folhas coriáceas, margem sereada. Inflorescência terminal, capítulos sésseis com flores brancas.","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","102669","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","Ogasawara, HA",2012,"","183","","Ogasawara, HA; Alves, MBB",2012,1,11,"Brazil","Bahia","Mucugê","Chapada Diamantina, trilha p/ Cachoeira da Sibéria",,,"c. 1,80m alt. Folhas discolores; brácteas involucrais verdes; corola rósea; estiletes alvos.","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","102708","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","Quaresma, AS",2012,"","65","","Alves, M; Ogasawara, HA",2012,1,11,"Brazil","Bahia","Mucugê","Chapada Diamantina, Trilha para a Cachoeira da Sibéria",-12.978889,-41.351389,"ca. 1,8m de alt. Folhas discolores. Brácteas involucrais verdes. Corolas róseas. Ramos do estilete alvos.","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","Cenargen","CEN","89615","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","A. S. Quaresma",,"","65","","M. Alves - ALCB",2012,1,8,"Brazil","Ba","MUCUGE","Chapada Diamantina, trilha para a cachoeira da Sibéria.",-12.978888,-41.351388,"Folhas discolores. Brácteas involucrais verdes. Corola s róseas. Ramos do estilete alvos. Doação Universidade Federal da Bahia - ALCB . Herbário Alexandre Leal Costa. Nº102708.","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","UEFS","HUEFS","175572","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","G.H.Silva",2014,"","10009","","Melo, E.",2011,6,18,"Brazil","Bahia","Morro do Chapéu","Estrada para Bonito, 32 Km até entrada para Alto da MR, à esquerda mais 4 Km.",-11.833056,-41.185556,,"Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","UEFS","HUEFS","114402","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","M.G.Staudt",2016,"","98","","Gonçalves, J.M.",2006,6,17,"Brazil","Bahia","Morro do Chapéu","Terço superior da estrada do Morrão.",-11.585833,-41.202778,,"Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","UEFS","HUEFS","95564","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","E.C.Oliveira",2006,"","93","","Oliveira, E.C.",2005,1,20,"Brazil","Bahia","Mucugê","Capão do Correio.",-13.083333,-41.366667,"Cerrado.","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","31859","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","D. J. N. Hind",,"","22994","","R. M. Harley",2004,6,2,"Brazil","Bahia","MORRO DO CHAPÉU","4Km ao SW da cidade, Rod. para Utinga.",-11.583333,-41.183333,,"Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","67577","Acritopappus prunifolius","","Asteraceae","Acritopappus","prunifolius","","R.M.King & H.Rob.","Guedes, ML",2005,"","1151","","Stradmann, MTS; Castilho, P",2004,12,12,"Brazil","Bahia","Mucugê","Chapada Diamantina, Fazenda Caraíbas",-13.160556,-41.423611,"de 1,5m. Folhas coriáceas, concolores. Flores alvas.; arbustiva-arbórea","Acritopappus prunifolius R.M.King & H.Rob.","",,"GBIF"
