"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","201508","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir",,,"","27","","Purgato, NCS; Carli, BF; Guillen, ACM; Silva, BGR; Vergilio, R; Carvalho, ABF",2017,4,30,"Brazil","Minas Gerais","Jaboticatubas",,-19.356972,-43.64,,"Lychnophora rupestris Semir","",,"GBIF"
"","USP","SPF","216034","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B",2014,"","879","","Loeuille, B",2014,3,8,"Brazil","Minas Gerais","Nova União","Serra do Cipó, Distrito de Alta Mira, trilha da Lagoa Dourada.",-19.511908,-43.574322,"Arvoreta até 1,5 m. Flores roxas.; Campo rupestre.","Lychnophora rupestris Semir","",,"GBIF"
"","UNICAMP","UEC","197987","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Monge, M",,"","1376","","Monge, M; Semir, J; Lopes, NP; Ernst, M; Pavarini, DP",2013,2,18,"Brazil","Minas Gerais","Santana do Riacho","P.N. Serra do Cipó. MG-10. Começo da subida para o juquinha, logo após a entrada da trilha dos escravos, antes do mirante para o Morro da Pedreira.",-19.333333,-43.621389,,"Lychnophora rupestris Semir","",,"GBIF"
"","UnB","UB","206955","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Chaves, DA",2014,"","7","","Chaves, DA; Silva, SR",2013,5,18,"Brazil","Minas Gerais",,"Cadeia do Espinhaço: São João da Chapada, 2 Km sentido Guinda",-18.030867,-43.788767,"Complexo Rupestre","Lychnophora rupestris Semir","",,"GBIF"
"","UFU","HUFU","71626","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Chaves, D.A.",2014,"","7","","Chaves, D.A.; Silva, S.R.",2013,5,18,"Brazil","Minas Gerais",,"Cadeia do Espinhaço, São João da Chapada 2 Km sentido Guinda.",-18.030833,-43.788889,"Complexo Rupestre.","Lychnophora rupestris Semir","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","5561","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Chaves, DA",2014,"","7","","Chaves, DA; Silva, SR",2013,5,18,"Brazil","Minas Gerais",,"Cadeia do Espinhaço: São João da Chapada, 2 Km sentido Guinda",-18.030867,-43.788767,,"Lychnophora rupestris Semir","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","206955","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Chaves, DA",2014,"","7","","Chaves, DA; Silva, SR",2013,5,18,"Brazil","Minas Gerais",,"Cadeia do Espinhaço: São João da Chapada, 2 Km sentido Guinda",-18.030867,-43.788767,,"Lychnophora rupestris Semir","",,"GBIF"
"","USP","SPF","214718","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B",2013,"","3907","","Ceccantini, GCT",2013,8,12,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada da Serra Morena/Usina, 20 m de distância do Ceccantini 3906.",,,"Altura = 211 cm, CB = 27 cm, DB = 8,4 cm. Flores velhas, frutos. Coleta de madeira na base. Local a 20 m do Ceccantini 3906.","Lychnophora rupestris Semir","",,"GBIF"
"","JBRJ","RB","RB00826228","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Benoit Loeuille (por foto)",2013,"","6469","","M. Verdi; N. Pougy, D. Maurenza, E. Martins, E. Dalcin",2013,10,14,"Brazil","Minas Gerais","Santana do Riacho","Pedra do Elefante/ APA Morro da Pedreira. Coletado na trilha para a Pedra do Elefante, a partir do riacho da Pousada Barriga da Lua até o início da encosta onde se localiza a pedra.",-19.290555,-43.553333,"Folhas verdes discolores e com ápice avermelhado; flor lilás; frequente; encontrado em campo graminoso seco, às vezes pedregoso; próximo a rodovia MG-010; onde observou-se a presença de turismo (concentração de pousadas na região)","Lychnophora rupestris Semir","",,"GBIF"
"","USP","SPF","216780","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B",2013,"","6469","","Verdi, M",2013,10,14,"Brazil","Minas Gerais","Santana do Riacho","Morro da Pedreira, Pedra do Elefante. Coletado na trilha para a Pedra do Elefante, a partir do riacho da Pousada. Barriga da Lua até o início da encosta onde se localiza a pedra.",-19.290556,-43.553333,,"Lychnophora rupestris Semir","",,"GBIF"
"","UNICAMP","UEC","195187","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Monge, M",,"","2236","","Monge, M; Shimizu, GH; Brito, VLG; Carmo, JAM",2013,11,18,"Brazil","Minas Gerais","Cardeal Mota","Serra do Cipó, Parna Serra do Cipó. Sede do parque, caminho para cachoeiras, planta presnsada em Álcool.",-19.374167,-43.835806,"Arbusto, 1,5 m de altura, flores lilases.; Cerrado.","Lychnophora rupestris Semir","",,"GBIF"
"","UNICAMP","UEC","200285","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Monge, M",,"","2236","","Monge, M; Shimizu, GH; Brito, VLG; Carmo, JAM",2013,11,18,"Brazil","Minas Gerais","Cardeal Mota","Serra do Cipó, Parna Serra do Cipó. Sede do parque, caminho para cachoeiras, planta presnsada em Álcool.",-19.374167,-43.835806,"Arbusto, 1,5 m de altura, flores lilazes.; Cerrado.","Lychnophora rupestris Semir","",,"GBIF"
"","UFU","HUFU","63971","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Nakajima, J.N.",2012,"","s.n.","","Christiane",2012,5,11,"Brazil","Minas Gerais",,"Serra do cipó, estrada de terra sentido Capão dos Palmitos",,,"Arbusto, ca. 1 m alt. Flores lilases.; Campo rupestre.","Lychnophora rupestris Semir","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","181257","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir",,,"","94","","Oliveira, SS; Schlindwein, C",2012,7,21,"Brazil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó, Trilha do Capão",-19.349167,-43.616806,"Transição entre Cerrado e Campo Rupestre","Lychnophora rupestris Semir","",,"GBIF"
"","USP","SPF","216104","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B",2015,"","3816","","Ceccantini, GCT",2012,12,11,"Brazil","Minas Gerais",,"Serra do Cipó, Estrada para Serra Morena, à esquerda.",-19.489556,-43.60225,"Altura inteira do indivíduo 1,03 m. Coleta de tronco na base. Flores de cores lilás.; Cerrado","Lychnophora rupestris Semir","",,"GBIF"
"","UNICAMP","UEC","192825","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir",,,"","6287","","Pirani, JR; et al.",2011,2,18,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, APA Morro da Pedreira, Rodovia Belo Horizonte - Conceição do Mato Dentro (MG-010), Mãe d'Água, ramal levemente ao condomínio, ca. 1 Km da portaria da entrada",-19.301389,-43.597778,"Arvoretas candelabriformes, 1m alt, heliófilas, formando população. Folhas verde-escuras laxas. Poucos capítulos com flores lilás-forte; Cerrado de altitude, com pequenas manchas de campo rupestre e mata ciliar. Agregada em solo pedr","Lychnophora rupestris Semir","",,"GBIF"
"","USP","SPF","209809","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B",2014,"","2093","","Zappi, DC",2009,3,12,"Brazil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Acesso pela Faz. Inhame. Trilha da Serra Morena, a Norte da Faz. Inhame.",-18.925455,-43.795606,"Arbusto muito ramificado, inflorescências velhas.; Cerrado rupestre.","Lychnophora rupestris Semir","",,"GBIF"
"","JBRJ","RB","RB00598656","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","J. Semir",,"","2093","","D. C. Zappi; W. Milliken, D. Sasaki & S. L. Edwards",2009,3,12,"Brazil","Minas Gerais","Santana de Pirapama","Serra do Cipó, acesso pela Fazenda. Inhame. Trilha da Serra Morena, a Norte da Faz. Inhame.",-18.925,-43.793333,"Arbusto muito ramificado, inflorescências velhas.","Lychnophora rupestris Semir","",,"GBIF"
"","US","Botany","3697924","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir",,,"","2093","","D. C. Zappi, W. Milliken, D. Sasaki & S. Edwards",2009,3,12,"Brazil","Minas Gerais",,"Brasil, Minas Gerais, Santana do Pirapama, Serra do Cipo, acesso pela Faz. Inhame., Trilha da Serra Morena, a Norte da Faz. Inhame.",-18.925,-43.7933,,"Lychnophora rupestris Semir","",,"GBIF"
"","JBRJ","RB","RB00568910","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","J. Semir",,"","871","","M.M. Saavedra; R.C. Forzza, L. Menini Neto & J.C. Silva",2009,5,24,"Brazil","Minas Gerais","Santana do Riacho","Fazenda Cipó. Rodovia MG-010. Campo rupestre com afloramentos.",-19.280556,-43.580556,"Arbusto, ca. 1,5m alt., ramos cinéreos, folhas verdes, face abaxial com indumento alvo, corola lilás, ramos do estilete lilases e anteras roxas","Lychnophora rupestris Semir","",,"GBIF"
"","K","Herbarium","K000997563","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B.",,"","490","","Loeuille, B.; Keeley, S.C.; Pirani, J.R.; Cordeiro, I.",2009,7,11,"Brazil",,"Santana do Riacho","Serra do Cipó, APA Morro da Pedreira, Estrada da Usina Dr. Pacífico Mascarenhas (ramal da Rodovia MG 010), trecho entre a ponte sobre o Rio Capivara e a ponte sobre o Ribeirão Indequicé.",-19.23,-43.58,,"Lychnophora rupestris Semir","",,"GBIF"
"","USP","SPF","209786","Lychnophora rupestris","","Asteraceae","Lychnophora","rupestris","","Semir","Loeuille, B",2011,"","2373","","Zappi, DC",2009,11,13,"Brazil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Acesso pela Faz. Inhame. Estrada velha para a mina de manganês, subida da Serra.",-18.925928,-43.792024,"Arvoretas 1,5 m alt., com copa do mesmo diâmetro, folhas com ápice mucronado, corolas lilás-rosado claro.; Cerrado rupestre.","Lychnophora rupestris Semir","",,"GBIF"
