"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","18240","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Seki M. S.",2019,"",,"","Seki M. S.",2019,3,5,"Brazil","Sc","Papanduva","Faixa de domínio da rodovia BR-116",-26.388449,-50.141512,"Árvore com 9 m de altura e 118 cm de CAP; ocorrência isolada junto à rodovia BR-116. __COMMOM_NAME__: vassoura-ferrugem","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","JBRJ","RB","RB01414179","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker",,,"","4151","","H. Medeiros; A.S. Lima, J.L. Nascimento & P.G. Oliveira",2019,6,16,"Brazil","Rio de Janeiro","Petrópolis","Distrito de Bonfim. Parque Nacional da Serra dos Órgãos. Programa de Monitoramento da Biodiversidade. Trilha Uricanal. Unidade amostral 02, PÁ ""Leste"".",-22.476944,-43.11,"Árvore 14 m, estéril. Placa: # 521.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","64668","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Kassner-Filho, A.",2019,"","5302","","Kassner-Filho, A.; Santos, D; Uller, H.F.;Schneiders, A.",2019,8,12,"Brazil","Santa Catarina","Canoinhas",,-26.190555,-50.491111,"Flora alaranjada Habitat: Borda de framento Florestal;Estágio de regeneração médio/árvores espaçadas;Floresta Ombrófila Mista Habito: Liana","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","64822","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Kassner-Filho, A.",2019,"","5408","","Kassner-Filho, A.; Santos, D.; Uller, H.F.; Schneiders, A.",2019,8,29,"Brazil","Santa Catarina","Bela Vista do Toldo","Serra do Lucindo.",-26.459722,-50.489167,"fruto imaturo Habitat: Borda de fragmento florestal; floresta estacional decidual; estagio sucessional avançado Habito: arbórea","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","18618","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Seki, M. S.",2019,"","19102","","Seki, M. S.",2019,8,8,"Brazil","Paraná","Bituruna","Floresta adjacente ao reservatório de Foz do Areia.",-26.005319,-51.642373,"Exemplar com 14 m de altura e CAP de 68 m; parcela P5-L3-26 __COMMOM_NAME__: Vassoura","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197081","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker",,,"","6592","","Rezende, SG; Justo, AG",2018,2,20,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.080833,-43.686944,"Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UFOP","OUPR","31430","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Nakajima, J.N.",2019,"","488","","Pedrosa, L.G.",2018,6,23,"Brazil","Minas Gerais","Ouro Preto","Areião",,,"Arvoreta, ca. 3m. Flores alvas. Beira de córrego, campo rupestre.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UFU","HUFU","78410","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Nakajima, J.N.",2019,"","488","","Pedrosa, L.G.",2018,6,23,"Brazil","Minas Gerais","Ouro Preto","Areião, Beira de Córrego.",,,"Arvoreta, ca.3m. Flores alvas.; Campo Ruprestre.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60055","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Kassner-Filho, A.",2018,"","3211","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,7,24,"Brazil","Santa Catarina","Antônio Carlos",,-27.54,-48.78,"botão Habitat: borda do fragmento florestal Habito: árvore","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","26044","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","J. Cordeiro",2018,"","2742","","E.L. Siqueira",2018,7,20,"Brazil","Pr","Mamborê","Estação Ecológica Municipal Affonso",-24.500694,-52.569278,"arvoreta heliófita, ca. 5 m. Sementes verde-claras.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60490","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Kassner-Filho, A.",2018,"","3270","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,8,14,"Brazil","Santa Catarina","Imaruí",,-28.169444,-48.870278,,"Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","67249","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Loeuille, B.",,"","4","","Wolff, J.; Lusa, M.G.",2018,8,27,"Brazil","Santa Catarina","Florianópolis","Pista de asa delta. Morro da Lagoa.",-27.594167,-48.4775,"Arbórea","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60570","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Kassner-Filho, A.",2018,"","3473","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,9,29,"Brazil","Santa Catarina","Vitor Meireles","Jacú-Paca.",-26.821667,-49.77,,"Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","26445","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","M.G. Caxambu",2019,"","8491","","M.G. Caxambu",2018,9,13,"Brazil","Pr","Reserva do Iguaçu","Estação Ecológica Municipal Francisco",-25.92175,-51.857111,"árvore ca. 15 m, heliófita. Folhas discolores (verde em cima e ferrugíneas por baixo). Capítulos ferrugíneos.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UNICAMP","UEC","203289","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Monge, M",2018,"","468","","Silva, BG; Duarte, LSC; Lima, GM",2018,9,13,"Brazil","São Paulo","Jundiaí","Serra do Japi - Trilha do Atalho",-23.401992,-47.572128,"Hábito: Arbóreo. Altura: 3m. Látex: Ausente. Cor: Sementes com papilhos brancos penuginosos. Odor: Ausente. Outros: Folhas grossas.; Local: Borda da trilha, sombreado com copa no dossel. Solo: Arenoso, em meio à serrapilheira.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","26678","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","M.G. Caxambu",2018,"","8623","","M.G. Caxambu",2018,11,8,"Brazil","Pr","Mamborê","Estação Ecológica Municipal David",-24.279528,-52.451694,"árvore ca. 8 m, heliófita. Folhas discolores alvas por baixo. Capítulos brancos.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","53306","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Kassner-Filho, A.",2017,"","196","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",2017,4,3,"Brazil","Santa Catarina","Irineópolis","Rio Vermelho.",-26.373056,-50.765833,"flor branca Habitat: borda da U.A. Habito: árvore","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UFPE","UFP","85272","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Volet, D.P.",2017,"","2041","","Wangler, M.S.; Arruda, B.A.",2017,7,25,"Brazil","Rio de Janeiro","Petropólis","Reserva Biológica de Araras, Cume da Pedra do Oratório.",-22.441667,-43.241111,"Heliófila, folhas discolores na face ventral verde e dorsal, cinéreo, inflorescência de receptáculo com brácteas verdes, capítulos com flores róseas e alvas. Hábito/Forma de vida: arbustiva.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","58286","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Gebien, W.",2018,"","61","","Gebien, W.",2017,8,27,"Brazil","Santa Catarina","Blumenau","rua Antonio Zendrom. Topo do morro próximo à roça de mandioca.",-26.957222,-49.087222,,"Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","54931","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Farias, D.M.",2017,"","3","","Avi, L.F.; Funez, L.A.",2017,9,13,"Brazil","Santa Catarina","Blumenau","Proximo ao Cemitério da Igreja Luterana.",,,"Habitat: Borda de fragmento Habito: Arbóreo","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UFU","HUFU","78624","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Romagnolo, M.B.",2017,"","3710","","Romagnolo, M.B.; et al.",2017,9,13,"Brazil","Paraná","Tibagi","Parque Estadual de Guartelá",,,"Arbustiva, ca. 4m. de altura; Frutos maturos de coloração marrom.; Campo.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UFU","HUFU","78627","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Nakajima, J.",2019,"","3725","","Romagnolo, M.B.; et al.",2017,9,15,"Brazil",,,,-25.2375,-49.999444,"Arbórea, ca. 3m. de altur; Frutos maturos coloração marrom.","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197080","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker",,,"","6591","","Rezende, SG; Justo, AG",2017,12,15,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.077778,-43.688889,"Arbóreo; Floresta Estacional em Estágio Avançado de Regeneração - Capão de canga","Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","Instituto de Botânica","SP","490527","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Aragaki, S; Petri, L",2016,"","326","","Petri, L; Pou, HV",2016,5,27,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga",,,,"Piptocarpha axillaris (Less.) Baker","",,"GBIF"
"","UDESC","LUSC","8835","Piptocarpha axillaris","","Asteraceae","Piptocarpha","axillaris","","(Less.) Baker","Maidel, R.",,"",,"","Smekatz, C.",2016,7,19,"Brazil","Santa Catarina","Grão Pará",,,,,"Piptocarpha axillaris (Less.) Baker","",,"GBIF"
