"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","15987","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","J.I.M.de Melo",2018,"","3164","","Costa, G.; Correia, F.; Nonato, A. & Ribeiro, T.",2017,10,10,"Brazil","Bahia","Santa Terezinha","Povoado de Rio Seco;",-12.648611,-39.551944,,"Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","244360","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","3164","","Costa, G.",2017,10,10,"Brazil","Bahia","Santa Terezinha","Povoado de Rio Seco, área aberta seguindo para a Floresta Semidecidual.",-12.648611,-39.551944,,"Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121232","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Gomes, FS",2013,"","1451","","Gomes, FS",2013,3,27,"Brazil","Bahia","Mascote",,-15.800556,-39.506667,"Folhas cartáceas, discolores, ásperas. Material estéril. Parcela 04.","Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133228","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Gomes, FS",2013,"","1703","","Gomes, FS",2013,3,25,"Brazil","Bahia","Belmonte",,-15.900833,-39.227778,"Folhas cartáceas, discolores. Frutos jovens. 187.3, parcela 04.","Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121423","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Gomes, FS",2013,"","1641","","Gomes, FS",2013,5,13,"Brazil","Bahia","Mascote",,-15.793056,-39.369444,"Folhas simples, cartáceas, discolores. 118.1, parcela 02.","Cordia anabaptista Cham.","",,"GBIF"
"","UFES","VIES","40027","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","4108","","Gomes, J.M.L.",2012,3,7,"Brazil","Minas Gerais","Belo Horizonte","Barragem Norte Anchieta.",,,,"Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","140553","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Sem Informação",,"","228","","Lopes, L.C.M.",2012,3,14,"Brazil","Bahia","UNA",,,,,"Cordia anabaptista Cham.","",,"GBIF"
"","Reserva Natural Vale","CVRD","10518","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Domingos A. Folli",2007,"","5738","","Folli, D.A.",2007,10,10,"Brazil","Es","VILA VELHA",,,,"Convento da Penha <ll>dwc_commonname:</ll> Cordia da penha","Cordia anabaptista Cham.","",,"GBIF"
"","UFG","UFG","45959","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Proença, C.; Villarreal, D.",2010,"","237","","Cezare, C.H.G.; Machado, N.A.",2007,10,22,"Brazil","Goiás","Luziânia",,-17,-48,,"Cordia anabaptista Cham.","",,"GBIF"
"","Reserva Natural Vale","CVRD","10538","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Domingos A. Folli",2007,"","5756","","Folli, D.A.",2007,11,5,"Brazil","Es","VILA VELHA",,,,"Lado da área do Exército, nos fundos estantes de tiros. <ll>dwc_commonname:</ll> Cordia da penha","Cordia anabaptista Cham.","",,"GBIF"
"","UESC","UESC","11334","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","4980","","L.A.Mattos Silva",2005,11,2,"Brazil","Bahia","Porto Seguro",,,,"Arbusto, cerca de 2 m de altura.","Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","103202","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","528","","Stapf, M.N.S.",2005,11,2,"Brazil","Espírito Santo","Vila Velha","Convento da Penha, lado esquerdo da escada.",,,,"Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","111911","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","M.N.S.Stapf",2007,"","4980","","Mattos-Silva, L.A.",2005,11,2,"Brazil","Bahia","Porto Seguro","Propriedade da Veracel. PT 75-área do projeto Sapucaia, capoeira baixa(estágio inicial de sucessão vegetacional)",-16.55,-39.116667,,"Cordia anabaptista Cham.","",,"GBIF"
"","JBRJ","RB","RB00494560","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","528","","M. N. S. Stapf; D. Stapf",2005,11,2,"Brazil","Espírito Santo","Vila Velha","Convento da Penha, lado esquerdo da escada.",,,"Arbusto de 3,5 m alt. Botões florais brancos, cálice verde. Corolas brancas, estames brancos. DNA","Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","90094","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","M.N.S.Stapf",2007,"","342","","Stapf, M.N.S.",2004,10,22,"Brazil","Bahia","Ilhéus","Estrada Pontal - Bueranema Km 22.",-14.909444,-39.140278,"Mata.","Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","45538","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Stapf, M.N.S.",2004,"","465","","Gomes, V.",2003,9,10,"Brazil","Ceará","Guaramiranga","Sítio Lagoa",-4.206028,-38.971167,"Floresta Ombrófila Montana","Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","45548","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Stapf, M.N.S.",2004,"","495","","Gomes, V.",2003,9,12,"Brazil","Ceará","Guaramiranga","Sítio Lagoa",-4.206028,-38.971167,"Floresta Ombrófila Montana","Cordia anabaptista Cham.","",,"GBIF"
"","US","Botany","3429722","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","4844","","M. A.  Silva, J. M. Felfili, E. Cardoso, M. Fonseca & et al.",2001,3,5,"Brazil","Goiás",,"Município Guarani de Goiás. Fazenda Forquilha, proprietário Sr. Vigilato Francisco dos Santos.",-13.8061,-46.5283,,"Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","69037","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","A. M. Amorim",,"","1978","","A. M. Amorim",2000,5,9,"Brazil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada Km 46 BA-001 Ilheus/Una.Ramal que leva a Faz. Jaqueiral, Conj. Esperança a 10Km",-15.15,-39.083333,,"Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","030594","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Stapf, MNS",2007,"","4114","","Guedes, ML; et al.",1997,1,14,"Brazil","Bahia","Eunápolis","Alecrim.",,,"Com cerca de 2m de altura. Folhas discolores, coriáceas. Flores alvas.","Cordia anabaptista Cham.","",,"GBIF"
"","UFV","VIC","40695","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","455","","Filho, O.A.",1997,2,24,"Brazil","Minas Gerais","Jaíba","Mocambinho, Área A.",,,"Árvore de 15 m de altura, flores brancas.","Cordia anabaptista Cham.","",,"GBIF"
"","UFV","VIC","40696","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","472","","Filho, O.A.",1997,3,13,"Brazil","Minas Gerais","Jaíba","Mocambinho, Área A.",,,"Árvore de 18 m, flores brancas.","Cordia anabaptista Cham.","",,"GBIF"
"","MBM","MBM","244620","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","7859","","Ratter, JA",1997,10,31,"Brazil","Tocantins",,"Rodovia para Tocantins, Reserva Xerente",,,,"Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","69998","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","A. M. Amorim",,"","11159","","W. W. Thomas",1996,1,25,"Brazil","Bahia","PORTO SEGURO","Parque Nacional Monte Pascoal, ao longo do caminho p/ topo Monte Pascoal.",-15.264722,-40.574722,,"Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","57672","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","J. A. Kallunki",,"","9576","","W. W. Thomas",1996,2,28,"Brazil","Maranhão","caxias","Ao longo BR-316, entre Caxias/Timon.39Km ao SE Caxias e 37Km ao NW de Teresina.",-5,-43.1,,"Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","82518","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","M. N. S. Stapf",,"","12007","","W. W. Thomas",1996,2,6,"Brazil","Bahia","PORTO SEGURO","Parque Nacional Monte Pascoal, ao longo da Rod. No entroncamento p/ centro de visitas e na Rod. aE p/ Park.",-16.867222,-37.415,,"Cordia anabaptista Cham.","",,"GBIF"
"","NY","NY","1184181","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","M. N. Sánchez de Stapf",2007,"","1169","","R. de Mello-Silva",1996,6,19,"Brazil","Bahia",,"Km 21 da rodovia Itamaraju - Prado.",-17.161389,-39.399167,,"Cordia anabaptista Cham.","",,"GBIF"
"","USP","SPF","112826","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Stapf, MNS",2007,"","1169","","Mello-Silva, R",1996,6,19,"Brazil","Bahia","Prado",,-17.161389,-39.399167,,"Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","88409","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","M.N.S.Stapf",2007,"","1169","","Mello-Silva, R.",1996,7,19,"Brazil","Bahia","Prado","Km 21 da rodovia Itamaraju-Prado.",-17.161389,-39.399167,"Mata higrófila sul-baiana.","Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","032215","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Jardim, JG",1996,"","3104","","Mattos Silva, LA; Amorim, AMA; Leme, EC; Hahoum, P",1995,4,7,"Brazil","Bahia","Una","Serra do Javí. Ramal com entrada no km 9 da Rodovia São José do Paraíso/Una.",,,"6m x10cm. Flores esbranquiçadas a róseas.; Mata nebulosa a 2-3 km da entrada. Solo argiloso.","Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","31970","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","3104","","Mattos-Silva, L.A.",1995,4,7,"Brazil","Bahia","Una","Serra do Javí. Ramal com entradano km 9 da Rod. São José do Paraíso/Una. Solo argiloso.",,,"Mata nebulosa a 2-3km entrada.","Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","61158","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","A. M. Amorim",,"","4544","","A. M. de Carvalho",1994,4,26,"Brazil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada Km 46 BA-001 Ilheus/Una. Caminho paralelo ao Rio Maruim.",-15.15,-39.083333,,"Cordia anabaptista Cham.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","026641","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Stapf, MNS",2007,"","s.n.","","Guedes, ML; et al.",1994,8,24,"Brazil","Bahia","Eunápolis",,,,"De ca. 3m de altura. Folhas coriáceas, discolores. Frutos imaturos.","Cordia anabaptista Cham.","",,"GBIF"
"","IPA","IPA","56661","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.",,,"","56661","","Thomas, W.; Carvalho, A. de; Amorim, A.; Mattos, L.; Sant'Ana, S.; Carvalho, A. de; Amorim, A.; Mattos, L.; Sant'Ana, S.",1993,1,24,"Brazil","Maranhão","Caxias","along BR-316 between Caxias and Timon, 39km SE of Caxias and ca. 37km NW of Teresina.",-5,-43.1,"Shrub 1,5m, corollas white; fruit green.; Cerradão forest and associated rosdside vegetation.","Cordia anabaptista Cham.","",,"GBIF"
"","MBM","MBM","194770","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Kallunki, J",,"","9576","","Thomas, WW",1993,1,24,"Brazil","Maranhão","Caxias","Rod. BR-116",,,,"Cordia anabaptista Cham.","",,"GBIF"
"","NY","NY","400996","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","J. A. Kallunki",1995,"","9576","","W. W. Thomas",1993,1,24,"Brazil","Maranhão",,"Along BR 316 between Caxias and Timon, 39 km SE of Caxias and ca. 37 km NW of Teresina",-5,-43.1,,"Cordia anabaptista Cham.","",,"GBIF"
"","USP","SPF","81519","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","Stapf, MNS",2007,"","2763","","Pirani, JR",1993,2,8,"Brazil","Bahia","Guaratinga",,-16.3,-39.716667,,"Cordia anabaptista Cham.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","58289","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","J. S. Mello",,"","112","","J. G. Jardim",1993,4,15,"Brazil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada KM 46 BA-001 Ilheus/Una. Picada da Bandeira.",-15.15,-39.083333,,"Cordia anabaptista Cham.","",,"GBIF"
"","UEFS","HUEFS","84071","Cordia anabaptista","","Ehretiaceae","Cordia","anabaptista","","Cham.","M.N.S.Stapf",2005,"","482","","Souza, V.de",1993,4,6,"Brazil","Espírito Santo","Vila Velha","Convento da Penha - Lado direito da escadaria do Convento.",,,"Mata de tabueiro.","Cordia anabaptista Cham.","",,"GBIF"
