"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","NY","NY","1416220","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","D. C. Daly",,"",,"","K. D. Barreto",2016,10,,"Brazil","São Paulo",,,-24.0038653949569,-48.3405261225185,,"Protium widgrenii Engl.","",,"GBIF"
"","UNICAMP","UEC","188931","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.",,,"","302","","Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD",2015,2,12,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho",-24.061944,-47.985833,"Árvore, 8 m de altura e 8 cm de DAP; Floresta Ombrófila Densa","Protium widgrenii Engl.","",,"GBIF"
"","MBML","MBML-HERBARIO","54037","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.",,,"","193","","P.J. Coelho; A.D. Ferreira",2015,2,15,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol",,,"Árvore de 10m. Frutos verdes e arroxeados","Protium widgrenii Engl.","",,"GBIF"
"","Instituto de Botânica","SP","490433","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Aragaki, S; Petri, L",2016,"","77","","Mourad, BM; Petri, L",2015,10,27,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga",,,,"Protium widgrenii Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","129847","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Daly, D.",2018,"","38398","","Souza, V.C.",2014,5,24,"Brazil","São Paulo","Itararé","Cerca de 12 km de Itararé em direção a Itapeva, ca. 500 m após o pedágio. Cerrado.",,,"Árvore, ca. 4 m alt. Vegetativo.","Protium widgrenii Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128636","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Daly, D.",2018,"","904","","Delfini, C.",2013,3,30,"Brazil","São Paulo","Tapiraí","Região da UHE Fumaça, trilha do Chagas. Floresta Ombrófila Densa, à margem esquerda do rio Juquiá.",-24.01321,-47.29359,"Indivíduo jovem, ca. 50cm alt.","Protium widgrenii Engl.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123697","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Daly, D.",2018,"","1085","","Colletta, G.D. ; Souza, V.C.",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), Trilha da Serraria.",,,"Árvore, 2m","Protium widgrenii Engl.","",,"GBIF"
"","Instituto de Botânica","SP","454627","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Aragaki, S",,"","188","","Kondrat, H",2013,9,26,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga, Instituto de Botânica, área sudeste, próxima à trilha interna paralela à Av. do Cursino, parcela 4.",-23.642103,-46.614497,,"Protium widgrenii Engl.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13684","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Daly, D.C. & M.V. Stefano",2011,"","210","","Stefano, M.V. et al.",2011,3,2,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> ??","Protium widgrenii Engl.","",,"GBIF"
"","USP","SPF","213323","Protium widgrenii","","Burseraceae","Protium","widgrenii","","Engl.","Fine, P",2011,"","167","","Fonseca, LHM",2011,3,9,"Brazil","São Paulo","São Paulo","Cidade Universitária Armando de Salles Oliveira, Universidade de São Paulo. Reserva do campus.",,,"Arvoreta ca. 4 m alt. Estéril.","Protium widgrenii Engl.","",,"GBIF"
