"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","18665","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Souza, I.",2019,"","616","","Souza, I.",2019,10,3,"Brazil","Rio de Janeiro","Seropédica","RPPN Gotas Azuis",-22.675949,-43.684722,"Árvore 15 m, botões de cálice verde e corola alva, ritidoma reticulado, pardacento, com lenticeslas vermelhas, casca viva vermelho-claro trançada, com aroma característico.","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","JBRJ","RB","RB01182133","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","D.R.Gonzaga",2016,"","748","","D.R.Gonzaga",2016,9,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro.",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","UEFS","HUEFS","226239","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.",,,"","1506","","Meneguzzo, T.E.C.",2016,11,21,"Brazil","Rio de Janeiro","Rio de Janeiro","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Canteiro 33 B.",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","46837","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Oliveira, AA de",2015,"","2018","","Oliveira, A.A. de",2015,3,26,"Brazil","Santa Catarina","Corupá","Rio Mandioca.",-26.370556,-49.320278,"Regeneração IFFSC 992 /O/147 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva;","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","3417","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","H. Lorenzi",2004,"","4901","","H. Lorenzi",2004,7,28,"Brazil","Rj","Rio de Janeiro","Coletada no Jardim Botânico do Rio de Janeiro.",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","JBRJ","RB","RB00064983","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","M.G. Bovini",,"","247","","M.D. Campos",2001,8,21,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico, canteiro 16C, indivíduo 3413.",,,"Árvore, folhas cartáceas, discolores verdes, frutos imaturos.","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","JBRJ","RB","RB00451537","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","M.J.F.Barros & M.P.M.Lima",,"","4171","","C.Farney; J.C.Gomes",2000,9,11,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba. estrada para a Torre, mata de encosta.",,,"Árvore; 6 m; folhas verdes discolores; flores em botões com cálice verde e corola verde clara.","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Universidade Regional Integrada do Alto Uruguai e das Missões","HPBR","6662","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.",,,"",,"","GUGEL, J. L.",2000,10,1,"Brazil","Rs","Erechim","PARQ. MUNIC LONGINES MALINOWSKI",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Instituto de Botânica","SP","342681","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.",,,"","547","","Assis, MA; Moraes, PLR",1995,6,13,"Brazil","São Paulo","Ubatuba","Picinguaba. Trilha da guarita",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Instituto de Botânica","SP","342683","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Cordeiro, I",2000,"","456","","Assis, MA; et al.",1994,10,28,"Brazil","São Paulo","Ubatuba","Picinguaba",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","JBRJ","RB","RB00786867","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","D.R.GONZAGA & E.J.LIRIO",2016,"",,"","R. Gomes; Ronaldo Gomes",1991,11,20,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Seção XXXIII, canteiro B.",,,"Árvore com mais ou menos 6 metros de altura, folhas verdes, material estéril. Número de plotagem 6","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Instituto de Botânica","SP","342678","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Furlan, A",1990,"","1207","","Furlan, A; et al.",1990,8,24,"Brazil","São Paulo","Ubatuba","Picinguaba. Trilha do rio Picinguaba",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Instituto de Botânica","SP","342677","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Cordeiro, I",2000,"","699","","Ribeiro, JELS; et al.",1989,10,7,"Brazil","São Paulo","Ubatuba","Picinguaba. Trilha ao lado do rio Picinguaba",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Instituto de Botânica","SP","342679","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Cordeiro, I",2000,"","986","","Furlan, A; et al.",1989,11,13,"Brazil","São Paulo","Ubatuba","Picinguaba. Trilha do rio Picinguaba",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","JBRJ","RB","RB00444411","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.",,,"","952","","GAF ; I. R. Carvalho, R. C. Costa & A. T. Ramalho",1986,3,18,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do RJ., arboreto (Seção XXXIII, Cant. B, Piq. 6).",,,"Árvore, flor branca. Placa 4.525","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","JBRJ","RB","RB01209324","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","D.R. Gonzaga",2016,"","359","","A.L. Peixoto; O.L Peixoto; D. Sucre",1985,9,20,"Brazil","Rio de Janeiro","Rio de Janeiro","Jacarepagua, Vargem Grande em direção ao Camorim.",,,,"Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","UCS","HUCS","8826","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","; Reitz, R.",1988,"","9507","","Klein, R.M.;",1977,5,20,"Brazil","Santa Catarina","Paulo Lopes","Costa do Morro",,,"árvore - 20 m de altura; em mata","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","IAP","PACA-AGP","71742","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","R. Reitz",1988,"","9507","","R. M. Klein",1977,5,20,"Brazil","Sc","Paulo Lopes","Costa do Morro",,,"Herb. FLOR 20200 - arvore 20m altura fruto verde Habitat: na mata","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","32668","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.",,,"","9507","","Klein, R.M.",1977,5,,"Brazil","Santa Catarina","Paulo Lopes","Costa do Morro",,,"Em mata. Árvore, 20m de altura. Fruto verde","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","UFRGS","ICN","098105","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Reitz, R",1988,"","9507","","Klein, RM",1977,5,20,"Brazil","Sc","Paulo Lopes","Costa do Morro",,,"Árvore 20m altura; fruto verde.; Mata.","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","IAP","PACA-AGP","71745","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","R. Reitz",1988,"","8151","","R. M. Klein",1969,2,12,"Brazil","Sc","Florianópolis","Saco Grande",,,"Herb. FLOR 20199 - arvore 25 m altura Habitat: na mata Hábito: árvore","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","UFRGS","ICN","098119","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","Reitz, R",1988,"","8151","","Klein, RM",1969,2,12,"Brazil","Sc","Florianópolis","Saco Grande",,,"Árvore 25m altura; flor roxo-escura.; Mata.","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
"","UCS","HUCS","8776","Cinnamodendron axillare","","Canellaceae","Cinnamodendron","axillare","","Endl. ex Walp.","; Reitz, R.",1988,"","8315","","Klein; Bresolin, A.",1969,5,20,"Brazil","Santa Catarina","Florianópolis","Saco Grande",,,"árvore - 20 m de altura","Cinnamodendron axillare Endl. ex Walp.","",,"GBIF"
