"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01397385","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","M.G.Bovini",,"","4339","","M.G.Bovini; C.D.Ferreira, B.C.Kurtz et J.Caruso",2017,9,5,"Brazil","Rio de Janeiro","Nova Friburgo","Cachoeira de Macacu, Reserva Ecológica do Paraíso, Centro de Primatologia do Rio de Janeiro",,,"Arbusto ca. 2m, ciófilo em margem de rio. Folhas cartáceas, levemente discolores. Flores pequenas amarelo-palidas.","Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","UFES","VIES","36758","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral",,,"","JAC 276","","Gurtler, J.; Dutra, S.C.",2017,12,5,"Brazil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P1).",-18.785,-40.443056,,"Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","JBRJ","RB","RB01348691","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","D.N.S. Machado",2017,"","1104","","D.N.S. Machado; G.A. de Queiroz; L.R. Caires; J. Melo",2016,12,21,"Brazil","Rio de Janeiro","Niterói","São Francisco, Parque Natural Municipal de Niterói (PARNIT), Morro Santo Inácio",-22.92,-43.082778,,"Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","16673","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","E. Barboza",2015,"","6105","","M.G. Caxambu",2015,3,28,"Brazil","Sp","Eldorado","Fazenda Itaipava/ Catre",-24.562306,-48.106861,"arvoreta ca. 2,2 m, semi-ciófila. Frutos imaturos amarronzados.","Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","UTFPR","DVPR","3605","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","Biral, L.",,"","6105","","Caxambu, M.G.; et al.; et al.",2015,3,28,"Brazil","São Paulo","Eldorado","Fazenda Itaipava/ Catre",-24.33443,-48.06247,,"Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","MBM","MBM","409164","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","Biral, L",2019,"","6105","","Caxambu, MG",2015,3,28,"Brazil","São Paulo","Eldorado","Fazenda Itaipava/Catre",-24.562306,-48.106861,"Arvoreta ca. 2,2 m, semi-ciófila. Frutos imaturos amarronzados.; &nf;Relevo: ondulado. Vegetação: Floresta Ombrófila Densa Submontana.","Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","JBRJ","RB","RB01208818","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","D.N.S. Machado",,"","697","","D.N.S. Machado; G.A. de Queiroz",2015,7,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Itaboraí e Tanguá, Serra do Barbosão, acima da Fazenda do Engenho d´Água, acesso pela RJ 116, km 7",-22.818333,-43.001944,,"Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150446","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral","C. Pessoa",,"","264","","Rocha, F.O.",2014,11,12,"Brazil","Bahia","UNA","Conglomerado BA_1336-2-9-40",-15.299722,-39.239722,"<ll>dwc_commonname:</ll>","Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","JBRJ","RB","RB00831583","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral",,,"","41","","C. Marques",2013,5,26,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos; Sub sede - trilha do Poço da Preguiça.",,,"Árvore ca 4 m alt.; CAP 10 cm, folha lisa cartácea, discolor, fruto maduro marrom","Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
"","IF","SPSF","47379","Monteverdia ardisiifolia","","Celastraceae","Monteverdia","ardisiifolia","","(Reissek) Biral",,,"","1193","","G.D.Colletta & A.G.Aguirre & J.Teixeira",2013,6,14,"Brazil","Sp","Ilhabela","Trilha de Castelhanos",,,"COLETA: Árvore, 5m, frutos avermelhados com arilo branco. Posto na Sílica.; GEOGRAFIA: Antes do Pico, Floresta Ombrófila Densa.;","Monteverdia ardisiifolia (Reissek) Biral","",,"GBIF"
