"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","28770","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral",,,"","4482","","Assis, A.M.; Cribari, R.S. & Santos, J.P.",2018,5,19,"Brazil","Espírito Santo","Cariacica","APA do Mochuara. Estrada entre Roda D#?#Água e Sertão Velho.",-20.308889,-40.487778,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","JBRJ","RB","RB01411456","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","U.G. Fernandes",2018,"","713","","U.G. Fernandes; L.D. Sanglade",2018,8,8,"Brazil","São Paulo","Caraguatatuba",,,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","Universidad Distrital Francisco José de Caldas (UDFJC)","UDBC","UDBC035608","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","""Sastoque, E.""",2016,"","3582","","""Carvajal, L.""",2016,1,2,"Colombia","Meta",,"Sector de Caño Cristales",3.85,-74.366667,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","Universidad Distrital Francisco José de Caldas (UDFJC)","UDBC","UDBC035496","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","""Sastoque, E.""",2016,"","3540","","""Carvajal, L.""",2016,2,5,"Colombia","Meta",,"Sector de Caño Cristales",,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH","89666","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","Cárdenas, D.",2016,"","46873","","Cárdenas, D.",2016,9,1,"Colombia","Meta",,"río Guayabero, raudal Bajo, vegetación a orilla del río",2.33,-73.9,"Ejemplar botánico","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","141957","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","Santos, P.M.L.A.",2016,"","2342","","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida",2015,11,29,"Brazil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.",,,"Arvoreta ca. 1,5m de alt. Frutos imaturos verdes.","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","Instituto Amazónico de Investigaciones Científicas (SINCHI)","COAH","86231","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","Cárdenas, D.",2014,"","1811","","Montoya-J., M.",2014,1,30,"Colombia","Putumayo",,"vda. Gran Jardín de la Sierra, ladera del cerro Azul, cerca de qda. La Esmeralda, interíor de bosque primario",0.7,-77.12,"Ejemplar botánico","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","JBRJ","RB","RB00889749","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","RAJÃO, P.H.M. ; ARAUJO, R.C.",,"","007","","ARAUJO, R.C.; RAJÃO, P.H.M.",2013,3,29,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.",,,"Floresta Ombrófila Densa Submontana","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","NY","NY","03188768","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral",,,"","7","","R. C. Araujo",2013,3,29,"Brazil","Rio de Janeiro",,"Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.",,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","MBM","MBM","410031","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","Biral, L",2019,"","280","","Hottz, D",2013,12,9,"Brazil","Rio de Janeiro","Bom Jardim","Pedra de Santa Tereza, Divisa com Duas Barras próximo ao Sítio Panorama. Conglomerado 172-2-10-50-R. UTM do Ponto Central: E (759960m) N (7549532m). Fuso do GPS (23K).",-22.14015,-42.480456,"Arvoreta bifurcada. Fruto vermelho, em desenvolvimento.; Floresta Ombrófila Densa Montana, transição com Altomontana, em afloramento rochoso.","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","UFES","VIES","30740","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral",,,"","46","","Lage, C.; Castro, K.C.",2012,4,,"Brazil","Espírito Santo","Guaçuí","Floresta do Rosal.",,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","UEFS","HUEFS","188651","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral",,,"","2369","","Matos, E.N.de",2011,10,5,"Brazil","Bahia","Nilo Peçanha","Pratigi",-13.704167,-39.017222,"Restinga. Floresta.","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","UFES","VIES","10633","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","Assis, A.M.",2010,"","70","","Botelho, R.M.; Assis, A.M. & Cribari, R.S.",2010,6,18,"Brazil","Espírito Santo","Serra","Mestre Álvaro.",,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","7804","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","J.M.A Braga",,"","659","","J.M. Freire; R.R. Oliveira; B.L. Rosendo",2010,6,10,"Brazil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 10.10",-66.473611,-75.026194,"Árvore com 7 m de altura, com 19 cm de CAP.","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","UFES","VIES","31289","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral",,,"","104","","Curto, R.A.; Martins, L.T. & Silva, A.E.",2010,10,16,"Brazil","Espírito Santo","Guaçuí","Floresta do Rosal.",,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","UFES","VIES","22639","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","Gomes, J.M.L.",2010,"","3834","","Gomes, J.M.L.",2010,12,11,"Brazil","Espírito Santo","Linhares","Flona de Goytacazes.",,,,"Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
"","UFRB","HURB","3606","Monteverdia cestrifolia","","Celastraceae","Monteverdia","cestrifolia","","(Reissek) Biral","G.A.D.C. Franco",2010,"","1134","","Souza, M.F.; et al.",2009,9,4,"Brazil","São Paulo","Iporanga","Parque Estadual Turístico do Alto da Ribeira; Núcleo Bulha d'água, Trilha do Bueno",-24.336667,-48.511389,"SAD69, Zona 22J.","Monteverdia cestrifolia (Reissek) Biral","",,"GBIF"
