"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","124972","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","Guedes, ML",2016,"","24644","","Guedes, ML; Casaes, M",2016,3,27,"Brazil","Bahia","Varzedo","Recôncavo Sul, Fazenda do Sr. Getúlio, Rio Cai Camarão.",-13.602222,-39.750833,"Folhas cartáceas, discolores. Fruto cápsula, madura.","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","UFRB","HURB","20650","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","M.L.Guedes",2016,"","24644","","Guedes, M.L.; Casaes, M.P.",2016,3,27,"Brazil","Bahia","Varzedo","Reconcavo Sul; Fazenda do Sr. Getulio, Rio Cai Camarão",,,,"Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","JBRJ","RB","RB01131802","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","D. C. Kutschenko",2016,"","991","","Luis Gustavo C. Rigon",2015,10,30,"Brazil","Rio de Janeiro","Vassouras","Conglomerado 81-4-10-3-RN. UTM: E (648123m) N (7511118m). Fuso do GPS (23K)",,,"Arbusto, com 3,0m de altura.","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150356","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","C. Pessoa",,"","656","","Oliveira, N.E.",2014,11,25,"Brazil","Bahia","ITAPEBÍ","Conglomerado BA_1367-3-3-13",-15.840278,-39.599722,"<ll>dwc_commonname:</ll>","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150987","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","R. Asprino",,"","534","","Oliveira, N.E.",2014,11,6,"Brazil","Bahia","Barro Preto","Conglomerado BA_1278-4-5-25",-14.760278,-39.420556,"<ll>dwc_commonname:</ll>","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","61649","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","Biral, L.",2014,"","279","","Saka, M.N.",2013,12,10,"Brazil","Rio de Janeiro","Saquarema","Restinga de Ipitangas",-22.929278,-42.440639,"Arbusto ca.30cm altura. Folhas coriáceas, verdes discolores, flores creme. Prensado em álcool.","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","135208","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","L. Biral",,"","655","","L. Daneu",2012,4,16,"Brazil","Bahia","jussara","Estrada Jussarí/Palmira. Sera do Teimoso. Trilha da rede elétrica.",,,,"Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","JBRJ","RB","RB00753750","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","L. Biral",,"","34","","T. Araújo; L. Daneu; P. Fiaschi",2010,12,6,"Brazil","Bahia","Ipiaú","Ipiau-Itajibá, entrada a esquerda ca. de 1.5km de Ipiau, Fazenda Bom Sucesso, área limitrofe c/ a mineradora Mirabela.",-14.131944,-39.754167,"Sub-arbusto com 0.5 metro inflorescência alaranjada.","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","56409","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","Biral, L.",2016,"","3202","","Gomes, J.M.L.",2009,2,15,"Brazil","Espírito Santo","RPPN Cafundó","Cachoeira de Itapemirim",-20.848889,-41.1125,"Planta com4 m de alt. <ll>dwc_commonname:</ll> Cambuatá de espinho","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","23772","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","L. Biral",,"","541","","J. L. Hage",2007,2,6,"Brazil","Bahia","ILHÉUS","Área do CEPEC. Quadra D.",,,,"Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","IMA","MAC","31619","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","M.L.Guedes; R.Valadão",2007,"","757","","R.Valadão; M.L.Guedes",2007,7,14,"Brazil","Bahia","Ituberá","Litoral Sul, Fragmento do Pacangê porção sul.",,,"Árvore. Estéril.; Floresta Ombrófila Densa.","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","78948","Monteverdia macrophylla","","Celastraceae","Monteverdia","macrophylla","","(Mart.) Biral","Guedes, ML; Valadão, RM",2007,"","757","","Valadão, RM; Guedes, ML",2007,7,14,"Brazil","Bahia","Ituberá/Grapiúna","Fragmento do Pacangê, porção sul.",,,"Floresta Ombrófila Densa: Arbórea.","Monteverdia macrophylla (Mart.) Biral","",,"GBIF"
