"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRPE","PEUFR","54238","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral","E.B.A. Soares",,"",,"","E.B.A. Soares",2019,1,9,"Brazil","Pernambuco","Lagoa do Carro","Povoado Campo Alegre; PE-90",,,"Árvore de grande porte; com folhas coriáceas simples e alternadas; presença de botões florais em forma de cachinhos, não só brotando nos lugares ordinários como nas expansões dos ramos como estrelinhas amareladas; também apresenta","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","UFRPE","PEUFR","54239","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral","E.B.A. Soares",,"",,"","E.B.A. Soares",2019,1,9,"Brazil","Pernambuco","Lagoa do Carro","Povoado Campo Alegre; PE-90",,,"Árvore; com folhas espiraladas na cor verde escuro; presença de botões florais em forma de cachinhos, não só brotando nos lugares ordinários como nas expansões dos ramos como estrelinhas amareladas; também apresentava frutos capsu","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","IPA","IPA","92952","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral","Cano, O.",2019,"","s.n.","","Dantas, J.I.M.",2019,1,7,"Brazil","Alagoas","Santana do Ipanema","Comunidade Lagoa do Junco.",,,"Espécie de utilidade medicinal na comunidade de Lagoa do Junco, em estudo para desenvolvimento de pesquisa de Mestrado em Botânica da UFRPE, sob a orientação do Professor Dr. Ulisses Paulino de Albuquerque.; Arbusto de folhas simples","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","IPA","IPA","93072","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral","Melo, J.M.M. de",2019,"","10","","Melo, J.M.M. de",2019,4,3,"Brazil","Pernambuco","Parnamirim","Fazenda Alexandria, próximo a barragem de Alexandria.",-8.128056,-39.636667,"Porte arbóreo-arbustivo; flores alvas; frutos marrons.; Caatinga. Área de mata ciliar arbórea as margens do Rio Brígida.","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","134599","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral","Guedes, ML",2019,"","31562","","Guedes, ML; Oliveira, MA de J; Alunos da Disciplina Paisagismo IBIO",2019,5,11,"Brazil","Bahia","Maracás","Fazenda Lagedo do Gavião.",-13.716667,-40.6,"Folhas coriáceas, margens espinescentes. Inflorescência axilares, esverdeadas.","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","UEFS","HUEFS","252321","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral",,,"","560","","Souza, D.P.",2019,5,29,"Brazil","Pernambuco","Ibimirim","Aldeia Quiridalho",-8.579444,-37.625278,"Savana Estépica, Neossolo Quartzarênico Órtico","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","UESB","HUESB","14271","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral",,,"","3","","Ferreira, M.C.F.; Cerqueira, A.E.S.; Santana, L.S.; Cerqueira, A.E.S.; Santana, L.S.",2019,8,28,"Brazil","Bahia","Jequié","Rua Nelson Cerqueira, Joaquim Romão, Vegetação espontânea em canto de rua e entre pedras do calçamento. Solo seco.",-13.857323,-40.091598,"Arbusto. Folhas coriáceas. Flores amarela, pequena. Frutos arrendondado, amarelo. MR 2 PT 09.","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","UESB","HUESB","14269","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral",,,"","1","","Ferreira, M.C.F.; Cerqueira, A.E.S.; Santana, L.S.; Cerqueira, A.E.S.; Santana, L.S.",2019,8,28,"Brazil","Bahia","Jequié","Cachoeirinha",-13.893212,-40.045722,"Arbusto. Folhas Coriácea. Flores amarela, pequena. Frutos arrendondado, amarelo. MR 1 PT 08.; Caatinga.","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","UEFS","HUEFS","245954","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral",,,"","4429","","Cardoso, D.",2018,2,20,"Brazil","Bahia","Barra","Ibiraba, Comunidade Paulista, plot #2 Projeto Nordeste.",-10.785278,-42.775556,"Caatinga arbustiva sobre dunas de areia branca.","Monteverdia rigida (Mart.) Biral","",,"GBIF"
"","UEFS","HUEFS","246999","Monteverdia rigida","","Celastraceae","Monteverdia","rigida","","(Mart.) Biral",,,"","1062","","Moonlight, P.W.",2018,4,21,"Brazil","Rio Grande do Norte","Mossoró","Parque Nacional Furna Feia. Karst pavement area near principle cave.",-37.559444,-37.559444,"Karst limestone pavement, flat, with cracks to 1m deep. Vegetation open, with sparse trees and shrubs, occasional herbs.","Monteverdia rigida (Mart.) Biral","",,"GBIF"
