"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01386621","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","M. Gomes",2018,"","1650","","C. Baez; E.P.Fernandez, T.Lima, R.C.Gomes",2018,4,20,"Brazil","Rio de Janeiro","Resende","Bosque do Visconde. Trilha da Família. Parque Estadual da Pedra Selada",-22.3375,-44.537778,"Árvore matriz nº 100; CAP 82+74 cm; Frutos verdes com máculas alvas contendo uma única semente.","Couepia venosa Prance","",,"GBIF"
"","UEFS","HUEFS","237406","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance",,,"","1650","","Baez, C.",2018,4,20,"Brazil","Rio de Janeiro","Resende","Parque Estadual da Pedra Selada. Bosque do Visconde. Trilha da Família.",-22.3375,-44.537778,"Floresta Ombrófila Densa em avançado estágio de regeneração.","Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","167012","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Stefani, EJF",2011,"","221","","Stefani, EJF; Belinello, R; Galvão, JC",2011,6,29,"Brazil","São Paulo","Paraíbuna","Parque Estadual da Serra do Mar.",-23.604444,-45.538889,"Árvore com 14 metros.; Mata Atlântica.","Couepia venosa Prance","",,"GBIF"
"","UFES","VIES","21977","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Zorzanelli, J.P.F.",2012,"","456","","Zorzanelli, J.P.F.; Silva, A.E.",2011,12,,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","161040","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Stefani, EJF",2010,"","48","","Stefani, EJF; Belinello, R; Galvão, JC",2010,5,28,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar.",-23.62,-45.504444,"Árvore com 11 metros.; Mata Atlântica.","Couepia venosa Prance","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","60348","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Kamimura, V.A.",,"","8","","Kaminura, V.A.",2009,2,12,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, localizada ao longo da Trilha do Corisco, no Sertão da Casa da Farinha.",-23.335556,-44.834444,"Indivíduo nº C 848","Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","160906","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Cavalin, PO",2010,"","18","","Cavalin, PO",2009,11,12,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Sub-bosque.",-23.396667,-45.092861,"Indivíduo juvenil, 1-2 m de altura.; Floresta Ombrófila Densa.","Couepia venosa Prance","",,"GBIF"
"","IF","SPSF","44191","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance",,,"","854","","R.A.F.Lima & A.G.Aguirre",2008,10,23,"Brazil","Sp","Ibiúna","Parque Estadual de Jurupará, Base Fumaça",,,"COLETA: Floresta Ombrófila Densa Montana.; GEOGRAFIA: Trilha do Tamanduá; mata secundária;","Couepia venosa Prance","",,"GBIF"
"","IAC","IAC","53827","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","R.A.F. Lima & A.G. Aguirre (2)",2008,"","854","","R.A.F. Lima & A.G. Aguirre (2)",2008,10,23,"Brazil","São Paulo","Ibiúna","P. E. Jurupará Base Fumaça, trilha do Tamanduá",-23.6564,-47.2225,,"Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","166678","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Tamashiro, JY",2009,"","96","","Padgurschi, MCG; Tamashiro, JY; Belinello, R",2008,,,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.",-23.325,-45.068333,"K0104 Árvore, ca. 8 m, sem flores ou frutos. Abundância: 19 ind.ha-1.","Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","166711","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Tamashiro, JY",2009,"","1027","","Padgurschi, MCG; Tamashiro, JY; Belinello, R",2008,,,"Brazil","São Paulo","São Luiz do Paraitinga","PESM. Núcleo Santa Virgínia - Parcela K.",-23.325556,-45.068056,"K1154 Árvore, ca. 11 m, sem flores ou frutos. Abundância: 19 ind ha(-1).; Floresta Ombrófila Densa Montana.","Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","148882","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Aranha, BA",2008,"","468","","Aranha, BA",2007,1,16,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, parcela J.",-23.617747,-45.144908,"Indivíduo regenerante no sobosque.","Couepia venosa Prance","",,"GBIF"
"","JBRJ","RB","RB00526005","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","A. G. Christo",2008,"","586","","A. G. Christo; A. T. Oliveira, F. A. Baroni",2007,4,3,"Brazil","Rio de Janeiro","Silva Jardim","Distrito de Peclas, Fazenda Santa Helena.",-22.532222,-42.346111,"árvore, ca. 4 m de altura, folhas concolores, coletada no interior da mata.","Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","150241","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","Bertoncello, R",2008,"","510","","Bertoncello, R; Pansonato, M",2007,6,8,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Morro do Cuscuzeiro.",-52.263889,-74.398417,,"Couepia venosa Prance","",,"GBIF"
"","IAC","IAC","49174","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","E. Ramos et al.",2007,"","379","","E. Ramos; H.R. Gonçalves; J.A.M.A. Gomes; F.J. Benedetti & S. Santos",2007,8,6,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela F",-23.380941,-45.07879,"Subparcela 31 indivíduo F0422","Couepia venosa Prance","",,"GBIF"
"","IAC","IAC","50297","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","J.A.M.A. Gomes; L.C. Bernacci & R.B. Torres et al.",2007,"","462","","J.A.M.A. Gomes; O.A. Santos; S. Santos & F.J. Benedetti",2007,11,13,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-23.367009,-45.083511,"subparcela 99 , indivíduo P-0029.","Couepia venosa Prance","",,"GBIF"
"","UNICAMP","UEC","147700","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance",,,"","87","","Campos, MCR; Assis, MA; Guilherme, FAG; Mania, L",2006,3,27,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba/ PESM; Trilha da Casa da Farinha; parcela E, subparcela 9.",,,"Indivíduo E0109, altura 7m.","Couepia venosa Prance","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","114782","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance",,,"","134","","Campos, M.C.R.",2006,3,28,"Brazil","São Paulo","Ubatuba",,,,,"Couepia venosa Prance","",,"GBIF"
"","JBRJ","RB","RB00841135","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance",,,"","587","","M.C.R. Campos; M.A. Assis; A. Guaraldo; R. Belinello",2006,5,9,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba/ PESM; Trilha da Casa da Farinha; parcela E, subparcela 60.",,,"Indivíduo E0779, altura 8 m","Couepia venosa Prance","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","114787","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance",,,"","587","","Campos, M.C.R.",2006,5,9,"Brazil","São Paulo","Ubatuba",,,,,"Couepia venosa Prance","",,"GBIF"
"","MBML","MBML-HERBARIO","27076","Couepia venosa","","Chrysobalanaceae","Couepia","venosa","","Prance","F.Z. Saiter/26-IV-2013",,"","2434","","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen",2006,6,7,"Brazil","Espírito Santo","Águia Branca","Rochedo, propr.: Ailton Corteletti",-18.952778,-40.801667,"Árvore 10m, fuste 4m, Dap 25cm, frutos verdes. Interior de mata.","Couepia venosa Prance","",,"GBIF"
