"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","127218","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","Guedes, ML",2017,"","25465","","Guedes, ML; Alunos de Sistemática Evolução de Espermatófitas",2017,2,4,"Brazil","Bahia","Rio de Contas","Chapada Diamantina, Cachoeira do Fraga.",-13.983333,-42.35,"Folhas cartáceas, discolores. Fruto drupa .","Licania nitida Hook.f.","",,"GBIF"
"","UEFS","HUEFS","214531","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.",,,"","3309","","Carvalho-Sobrinho, J.G.de",2012,1,,"Brazil","Bahia","Lençóis","Fazenda São Paulo.",,,,"Licania nitida Hook.f.","",,"GBIF"
"","UnB","UB","175514","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","Marinho, ASL",2012,"","614","","Santos, MF; Borges, LM; Simon, MF; Watanabe, MTC",2010,12,15,"Brazil","Goiás","Alto Paraíso de Goiás","Estrada GO-239, lado esquerdo (sentido da GO-118). Próximo a ponte que cruza um córrego.",,,"Árvore, 6m. Ramo maduro cinza-vináceo, ramo imaturo avermelhado com pilosidade alva. Folhas discolores, face adaxial verde-ecura, face abaxial alva-esverdeada. Ráquis da inflorescência levemente avermelhada. Fruto imaturo verde-amarelado.; Na beira d","Licania nitida Hook.f.","",,"GBIF"
"","USP","SPF","201468","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","Lima, AS",2012,"","614","","Santos, MF",2010,12,15,"Brazil","Goiás","Alto Paraíso de Goiás",,,,,"Licania nitida Hook.f.","",,"GBIF"
"","UEFS","HUEFS","143131","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.",,,"","136","","Popovkin, A.V.",2008,1,4,"Brazil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.",-12.883333,-37.95,,"Licania nitida Hook.f.","",,"GBIF"
"","UEFS","HUEFS","143183","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.",,,"","192","","Popovkin, A.V.",2008,2,16,"Brazil","Bahia","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.",-12.883333,-37.95,,"Licania nitida Hook.f.","",,"GBIF"
"","UnB","UB","10658","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","Anunciação, EA",,"","1220","","Soares-Silva, LH; Carvalho, JA",2002,1,12,"Brazil","Goiás","Alto Paraíso de Goiás","Camping Portal da Chapada, próximo ao rio",-14.164667,-47.5995,"Frutos imaturos verde-amarelados; face abaxial das folhas acinzentada.; Árvore 3,5m; Mata de galeria.","Licania nitida Hook.f.","",,"GBIF"
"","UnB","UB","10576","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","Soares-Silva, LH",,"","1174","","Soares-Silva, LH; Farias, R; Sant'Anna, ME",2001,12,13,"Brazil","Goiás","Alto Paraíso de Goiás","Alto Paraíso de Goiás",-14.174444,-47.610278,"25E - Caule rugoso com lenticelas; suber vermelho; córtex creme.; Árvore 0,3m; Mata de galeria.","Licania nitida Hook.f.","",,"GBIF"
"","UNISANTA","HUSC","2349","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","Martins, S.E.",2000,"","631","","Martins, S.E.; Sampaio, P.S.P.",2000,2,3,"Brazil","São Paulo","Bertioga","Praia de Itaguaré",,,"Árvore, 10m de alt., frutos verdes imaturos; Floresta de restinga seca alta","Licania nitida Hook.f.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","82554","Licania nitida","","Chrysobalanaceae","Licania","nitida","","Hook.f.","G. T. Prance",,"","3","","D. Carvalho",1999,1,15,"Brazil","Bahia","RIO DE CONTAS","Faz. Brumadinho. 14Km da sede do município.",-13.532778,-41.9,"<ll>dwc_commonname:</ll>","Licania nitida Hook.f.","",,"GBIF"
