"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","21128","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire","L.C.Marinho",2019,"","2848","","Costa, G.; Fonseca, W.O. & Fonseva, G.V.",2017,10,26,"Brazil","Bahia","Boa Nova","Lajedo da Fazenda Alvorada; 2º ponto",,,"DNA. Flor fixada.","Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","UFRB","HURB","21224","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire","L.C.Marinho",2019,"","2944","","Costa, G.; Fonseca, W.O. & Fonseva, G.V.",2017,10,27,"Brazil","Bahia","Boa Nova","Trilha da Porangaba; Ponto 1",,,,"Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","34767","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire","Oliveira, EVS",2015,"","668","","Oliveira, EVS; Santos, JFL",2015,2,24,"Brazil","Sergipe","Poço Verde","Assentamento Santa Maria da Lage, Área de reserva legal",-10.7083,-38.1833,"Coletado em solo argiloso, seco. Arbusto, ca. de 2 m., no centro da mata, local de maior umidade. Frutos maduros in sicco escuros.; Caatinga arbórea densa.","Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","UEFS","HUEFS","215271","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire",,,"","982","","Marinho, L.C.",2015,3,29,"Brazil","Bahia","Feira de Santana","Distrito de Maria Quitéria, Serra de São José. Alto da Serra em afloramento rochoso.",-12.416667,-38.983333,"Semelhante à campo rupestre.","Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","UFRB","HURB","12257","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire",,,"","982","","Marinho, L.C.; Fiaschi, P.",2015,3,29,"Brazil","Bahia","Feira de Santana","Distrito de Maria Quitéria; Serra de São José.",-12.416667,-38.983333,"Látex amarelo a branco. Fotos. Sem álcool. Material em sílica.","Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","JBRJ","RB","RB01185055","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire",,,"","982","","L.C. Marinho; P. Fiaschi",2015,3,29,"Brazil","Bahia","Feira de Santana","Distrito de Maria Quitéria, Serra de São José, Alto da Serra em afloramento rochoso.",-12.416667,-38.983333,,"Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","38122","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire",,,"","171","","Andrade, RS; Santos, E",2015,3,31,"Brazil","Sergipe","São Cristóvão","Rodovia João Bebe Água",-11.858586,-37.953039,"Árvore. 2 m. Fruto verde. Semente alaranjada.; Mata Atlântica","Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","138774","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire","L. C. Marinho",,"","982","","L. C. Marinho",2015,3,29,"Brazil","Bahia","FEIRA DE SANTANA","Distrito de Maria Quitéria, Serra de São José. Alto da Serra.",-12.416667,-38.983333,,"Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","UFRB","HURB","11134","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire",,,"","4291","","Aona, L.Y.S.; Costa, G.; Oliveira, W.F. & Pinho, R.",2015,9,8,"Brazil","Bahia","Tanquinho","Trilha da Serra da Pedra Bonita;",-11.983333,-39.104444,,"Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
"","UEFS","HUEFS","223748","Clusia dardanoi","","Clusiaceae","Clusia","dardanoi","","G.Mariz & Maguire",,,"","4291","","Aona, L.Y.S.",2015,9,8,"Brazil","Bahia","Tanquinho","Trilha da Serra da Pedra Bonita",-11.983333,-39.104444,"Caatinga arbórea, com rochas.","Clusia dardanoi G.Mariz & Maguire","",,"GBIF"
