"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","238807","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","R.T.M.Ribeiro",2018,"","215","","Mizushima, M.",2017,12,8,"Brazil","Piauí","São Raimundo Nonato","Parque Nacional Serra da Capivara",-8.416667,-42.333333,"Caatinga","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","UEFS","HUEFS","204125","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","R.T.M.Ribeiro",2018,"","57003","","Harley, R.M.",2014,2,17,"Brazil","Bahia","Umburanas","ca. 2 km da cidade na estrada para Delfino. Na beira da estrada.",-10.7,-41.295556,"Caatinga arbórea.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","116843","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace",,,"","22648","","Guedes, ML; Borges, RL; Stadnik, A; Sacramento, CC",2014,10,16,"Brazil","Bahia","Licínio de Almeida","Caminho para Cascarrento.",-14.586944,-42.540278,"Folhas na porção terminal dos ramos, membranáceas, vilosas. Inflorescência espiciforme, flores vilosas, frutos jovens vilosos.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","UFRB","HURB","19488","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","M.L.Guedes",2014,"","22648","","Guedes, M.L.; Borges, R.L.; Stadnik, A. & Sacramento, C.C.",2014,10,16,"Brazil","Bahia","Licinio de Almeida","Caminho para Cascarrento;",-14.586944,-42.540278,"ALCB 116843.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","40490","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","Guedes, ML",2014,"","22462","","Guedes, ML; Borges, RL; Stadinik, A; Sacramento, CC",2014,10,14,"Brazil","Bahia","Licinio de Almeida","Caminho para o Saco da Onça",-14.44334,-42.3313,"Arvore de ca. 7m altura. Folhas membranáceas, discolores, vilosas, cinéreas. Frutos: sâmaras.; Caatinga/Cerrado.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","UEFS","HUEFS","213468","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace",,,"","17877","","Martinelli, G.",2013,2,18,"Brazil","Piauí","Caracol","Parque Nacional da Serra das Confusões, trilha entre o Lajedo do Canto Verde e a Lagoa do Jacu.",-8.900556,-43.449167,"Caatinga em chapada.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","JBRJ","RB","RB00806875","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","Nilda Marquete",2014,"","17877","","G.Martinelli; N.Pougy, E.Fernandez, L.Santos, D.Judice, D.Maurenza, T.Lima, M.Moraes",2013,2,18,"Brazil","Piauí","Caracol","Parque Nacional da Serra das Confusões. trilha entre o Lajedo do Canto Verde e a Lagoa do Jacu.",-8.900556,-43.449167,"Arvoreta, 7m, heliófila; folhas verdes concolores; frutos imaturos com alas verde-amareladas.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","UEFS","HUEFS","195340","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","R.T.M.Ribeiro",2018,"","270","","Marinho, L.C.",2012,1,15,"Brazil","Bahia","Tanhaçu","Floresta Nacional de Contendas do Sincorá.",,,,"Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","UFRB","HURB","19485","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","N.Roque",2011,"","3259","","Roque, N.; Santana, F.A.; Alves, M. & Hurbath, F.",2011,9,15,"Brazil","Bahia","Licinio de Almeida","Serra Geral; Serra do Salto, caminho Riacho Fundo sentido Corais, fazenda Curral do Estevão",-14.586111,-42.5325,"ALCB 105714.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","40496","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","Roque, N",2011,"","3259","","Roque, N; Santana, FA; Alves, M; Hurbart, F",2011,9,15,"Brazil","Bahia","Licinio de Almeida","Serra Geral: Serra do Salto, Caminho Riacho Fundo, sentido Corais. Faz. Curral do Estevão.",-14.351,-42.3157,"Árvore: ca. 6m alt. Folhas concolores. Pedunculo esverdeado, cálice verde - vináceo, estames cremes. Fruto imaturo vináceo.; Mata ciliar.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","95072","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","Carvalho-Sobrinho, JG de",2011,"","6553","","Melo, E; Silva, BM; Guedes, ML; Gomes, FS",2009,9,24,"Brazil","Bahia","Remanso","Baixo Médio São Francisco, BR-324, estrada para Piauí, ca. 9 Km de Remanso",-9.561111,-42.145556,"ca. 10 m alt. Folhas membranáceas. Flores amarelas. Frutos verde-rosados.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","93291","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace","Guedes, ML; Gomes, FS",2010,"","363","","Gomes, FS; Guedes, ML; Melo, E; et al.",2009,12,11,"Brazil","Bahia","Licínio de Almeida","Serra Geral, Lagoa da Vereda",-14.569722,-42.466389,"de ca 6 m de altura. Folhas cartáceas, discolores. Frutos sâmaras imaturas verdes.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
"","UEFS","HUEFS","161438","Terminalia eichleriana","","Combretaceae","Terminalia","eichleriana","","Alwan & Stace",,,"","363","","Gomes, F.S",2009,12,11,"Brazil","Bahia","Lícinio de Almeida","Serra Geral Lícinio de Almeida, lagoa da Vereda.",-14.569722,-42.466389,"Ecótono Caatinga/Cerrado.","Terminalia eichleriana Alwan & Stace","",,"GBIF"
