"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Fundação Universidade Federal de Mato Grosso do Sul","CGMS","73634","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","F.M. Alves",,"","53","","M.R. Oliveira; F.M. Alves, J.P.S.P. Bento",2018,10,31,"Brazil","Mato Grosso do Sul","Bonito","Fazenda Marambaia, floresta estacional semidecidual. Parque Nacional da Serra da Bodoquena",,,,"Terminalia mameluco Pickel","",,"GBIF"
"","Fundação Universidade Federal de Mato Grosso do Sul","CGMS","73635","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","G.A.D. Junior",,"","137","","L.P. Oliveira; C. Estodutto, E.O. Souza, G.A. Damasceno Junior",2018,11,8,"Brazil","Mato Grosso do Sul","Bonito","Fazenda Muralha. Parque Nacional da Serra da Bodoquena",,,,"Terminalia mameluco Pickel","",,"GBIF"
"","Fundação Universidade Federal de Mato Grosso do Sul","CGMS","73636","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","F. M. Alves",,"","62","","L.P. Oliveira; C. Estodutto, E.O. Souza, F.M. Alves",2018,11,2,"Brazil","Mato Grosso do Sul","Jardim","Fazenda Santa Fé. Parque Nacional da Serra da Bodoquena",,,,"Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB01115654","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","MARQUETE, N.F.S.",,"","412","","L.O. Azevedo; L.F.A. de Paula; R.C. Forzza",2016,3,11,"Brazil","Espírito Santo","Pancas","Pedra da Colina.",-19.231111,-40.876667,"Frutos imaturos verdes.","Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB01153305","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","N. Marquete",,"","8285","","Haroldo C. de Lima; M.T. Nascimento, M.A. Faitanin, I.S. Broggio e W.H. Macedo",2016,7,12,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Imburi, Fazenda Imburi. Fragmento de mata de tabuleiro.",-21.328333,-41.099722,"Árvore pequena, ca. 9 m alt. Tronco com casca fina e descamante, verde-pardo-acinzentada, DAP ca. 14 cm. Inflorescências eréctas, flores perfumadas, amarelo-esverdeadas. Frequente. Material banco DNA e fotos HCL.","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","63097","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Ribeiro, R.T.M.",2019,"","75","","Silva, I.A.",2016,9,14,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale",,,"Arbóreo; terrestre; com 23 m; e 14 m fuste; flor verde claro; botão verde; seiva incolor.; Mata de tabuleiro.","Terminalia mameluco Pickel","",,"GBIF"
"","UFRB","HURB","14567","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel",,,"","102","","Victor Jr., V.",2013,1,9,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB01397517","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel",,,"","51","","Grupo de Coletores do Núcleo Juçara",2013,10,28,"Brazil","Espírito Santo","Conceição da Barra","Trilha da ponte de Cabo de aço. Núcleo Juçara, Matriz 051 - inicio da trilha. Floresta Nacional do Rio Preto",-18.354167,-39.846111,"árvore terrícola, codominante de dossel, de solo arenoso, amiente de plsnície, interior do fragmento, de acesso regular","Terminalia mameluco Pickel","",,"GBIF"
"","UFV","VIC","40552","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Marquete, N.",2013,"","276","","Simão, M.V.R.C.",2012,8,3,"Brazil","Minas Gerais","Viçosa","Mata do Paraiso, Estação de Pesquisa, treinamento e Educação Ambiental .",,,"Árvore, 14 m, apenas flores nos ramos, com puquissimas folhas em estádio inicial de desenvolvimento, flores agupadas no ápice de uma inflorescência, ovário infero achatado, 9 estames, odor adoçicado, corola amarelo esverdeada,botão flo","Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB00797163","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","M.V.R.C. Simão",2013,"","276","","M.V.R.C. Simão",2012,8,30,"Brazil","Minas Gerais","Viçosa","Estação de Pesquisa, Treinamento e Educação Ambiental Mata do Paraíso. Floresta Estacional Semidecidual.",,,"Árvore 14 m. Apenas flores nos ramos, com pouquissimas folhas em estádio inicial de desenvolvimento. Flores agrupadas no ápice de uma inflorescencia. Ovário infero achatado. 9 estames. Odor adocicado. Corola amarelo-0esverdeada. Botão floral","Terminalia mameluco Pickel","",,"GBIF"
"","UFV","VIC","40430","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Marquete, N.",2013,"","439","","Simão, M.V.R.C.",2012,12,16,"Brazil","Minas Gerais","Viçosa","Mata do Paraiso, Estação de Pesquisa, treinamento e Educação Ambiental .",,,,"Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB00797162","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","M.V.R.C. Simão",2012,"","439","","M.V.R.C. Simão",2012,12,16,"Brazil","Minas Gerais","Viçosa","Estação de Pesquisa, Treinamento e Educação Ambiental Mata do Paraiso. Floresta Estacional Semidecisual.",,,"Árvore 14 m. Frutos imaturos verde.","Terminalia mameluco Pickel","",,"GBIF"
"","UFES","VIES","22496","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Gomes, J.M.L.",2011,"","3721","","Gomes, J.M.L.",2011,4,23,"Brazil","Espírito Santo","Linhares","Flona de Goytacazes.",,,,"Terminalia mameluco Pickel","",,"GBIF"
"","Reserva Natural Vale","CVRD","13273","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Geovane S. Siqueira",2016,"","930","","Flores, T.B.",2010,10,24,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pelada","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","63074","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Ribeiro, R.T.M.",2017,"","2364","","Assis, A.M.",2009,3,28,"Brazil","Espírito Santo","Nova Venécia","APA Pedra do Elefante, Fazenda Santa Rita, trilha dos motoqueiros",-18.782361,-40.458333,"10 m, frutos verdes marrons.","Terminalia mameluco Pickel","",,"GBIF"
"","MBML","MBML-HERBARIO","36226","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","J. Gurtler/2018",,"","5203","","R. C. Forzza; et al",2008,7,18,"Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante",-18.776944,-40.443889,,"Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","42176","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Castro, A.S.F.",2009,"","1947","","Castro, A.S.F.",2007,6,8,"Brazil","Ceará","Viçosa do Ceará","Gen. Tibúrcio; encosta serra da Ibiapaba",,,"Árvore; Mata seca","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","139445","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel",,2018,"","253","","Felix, DF",2007,9,11,"Brazil","Minas Gerais","Belo Horizonte","Campus da UFMG",-19.868436,-43.966247,"Arbórea de 20 metros. Flores com corola creme, filetes e anteras amarelos","Terminalia mameluco Pickel","",,"GBIF"
"","Reserva Natural Vale","CVRD","11419","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Geovane S. Siqueira",2016,"","135","","Freire, G.Q.",2006,4,11,"Brazil","Es","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",,,"Árvore; borda de Mata; 8m alt. <ll>dwc_commonname:</ll> Pelada","Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB00424953","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","RIBEIRO,R.T.M.",,"","135","","G. Q. Freira; A. L. C. Rochelle, M. F. Rocero - Siles, V. R. Souza & J. van Mellis",2006,4,11,"Brazil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce/Estrada Jequitibá Rosa, ca. 500 m do ínicio. Reserva da Companhia Vale do Rio Doce",-19.219167,-40.535555,"Árvore; borda de Mata; 8 m de altura.","Terminalia mameluco Pickel","",,"GBIF"
"","Reserva Natural Vale","CVRD","10761","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Geovane S. Siqueira",2016,"","921","","Lucas, E.",2006,11,30,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pelada","Terminalia mameluco Pickel","",,"GBIF"
"","K","Herbarium","K000905209","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Soares Neto, R.L.",,"","921","","et al; Lucas, E.J.",2006,12,1,"Brazil",,"Linhares",,-19.15,-39.93,"New Dets to ESA","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","51421","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Soares Neto, R.L.",2012,"","921","","Lucas, E.J.",2006,12,1,"Brazil","Espirito Santo","Linhares","Reserva da Companhia Vale do Rio Doce, Estrada da Gávea, km 16.3, parcela B.",-19.152222,-39.937778,"Árvore, 20m, tronco descamante.; Mata de tabuleiro","Terminalia mameluco Pickel","",,"GBIF"
"","MBML","MBML-HERBARIO","45069","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","R.L. Soares Neto/III-2012",,"","921","","E.J. Lucas; F.F. Mazine, N.A. Brummitt, O.R.Campos, T.B. Flores, L.V.S. Jennings, G.S. Siqueira, C.P. Caliari, V.C. Souza & D. Sampaio",2006,12,1,"Brazil","Espírito Santo","Linhares","Reserva da Compania Vale do Rio Doce, estrada Gávea km 16,3, parcela B",-19.152222,-39.918778,"Árvore de 20m alt., tronco descamante, frutos imaturos verde. Mata de Tabuleiro","Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB00533960","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","RIBEIRO,R.T.M.",,"","921","","E. J. Lucas ; F. F. Mazine, G. S. Siqueira & N. A. Brummitt",2006,12,1,"Brazil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce, estrada Gávea, km 16,3, parcela B.",,,"Árvore de 20 m de altura; tronco descamante, frutos imaturos verde.","Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB00789289","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","R.L. Soares Neto",,"","921","","E.J. Lucas; et.al",2006,12,1,"Brazil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce, estrada Gávea, Km 16.3, parcela B. Mata de Tabuleiro.",-19.152222,-39.937778,"Árvore de 20 m de altura; tronco descamante, frutos imaturos verde.","Terminalia mameluco Pickel","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","53921","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Soares Neto,R.L.",2012,"","921","","Lucas, E.J. et al.",2006,12,1,"Brazil","Espírito Santo","Linhares",,-19.151333,-39.883333,,"Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","92539","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel",,2013,"","2660","","Mota, RC da",2005,1,5,"Brazil","Minas Gerais","Catas Altas","Serra do Caraça.",,,"Árvore; frutos imaturos verdes.; Planta coletada em mata semidecídua","Terminalia mameluco Pickel","",,"GBIF"
"","JBRJ","RB","RB00776253","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","N. Marquete",,"","2660","","R. C. Mota",2005,1,5,"Brazil","Minas Gerais","Catas Altas","Serra do Caraça.",,,"Árvore; frutos imaturos verdes;","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","38467","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Castro, A.S.F.",2009,"","1621","","Castro, A.S.F.",2005,9,10,"Brazil","Ceará","Granja","Palmeira; sopé da serra da Ubatuba",,,"Árvore; Mata ciliar/Mata seca","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","32290","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Castro, A.S.F.",2009,"","s.n.","","Fernandes, A.",2003,1,17,"Brazil","Ceará","Alcântaras","Carmolândia",,,"Árvore, flor creme; Mata estacional","Terminalia mameluco Pickel","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","32544","Terminalia mameluco","","Combretaceae","Terminalia","mameluco","","Pickel","Castro, A.S.F.",2009,"","s.n.","","Fernandes, A.",2003,5,27,"Brazil","Ceará","Alcântaras","Sa. Meruoca, Algodões",,,"Árvore, +/-10m, flor creme; Mata subúmida","Terminalia mameluco Pickel","",,"GBIF"
