"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","248958","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler",,,"","1333","","Moonlight, P.W.",2019,2,15,"Brazil","Minas Gerais","Juvenília","Nordeste plot JUV-01, Fazenda Valle Verde, ca. 8km off BR130 at Monte Rei.",-14.425,-44.157222,"Arboreal Caatinga. Open at ground level and with closed canopy ca. 12-18m. Most trees with single, straight stems. No herbs, only seedlings of trees. Some lianas.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Cenargen","CEN","110120","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","R. T. M. Ribeiro",2018,"","3014","","Carlos Romero Martins",2018,7,16,"Brazil","Df","BRASILIA","Parque Nacional de Brasília - Borda da estrada de acesso a sede do Parque.",-15.733888,-47.919166,"Doação Flora do Brasil - Distrito Federal.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Cenargen","CEN","105923","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","B. M. T. Walter",,"","7050","","Anderson Cássio Sevilha",2017,6,26,"Brazil","Mg","RIO PARDO DE MINAS","Areião. Sítio 26. Ponto 3.",-15.876388,-42.235277,"Projeto Bem Diverso.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UFU","HUFU","74896","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler",,,"","01","","Justino, G.S.; Dias, A.G. & Nakajima, J.N.",2017,9,13,"Brazil","Minas Gerais","Uberlândia","Parque Estadual do Pau Furado",,,"Árvore, ca. de 4 m. Corola amarela, cálice verde, estames amarelos, possui odor.; Mata estacional semidecídua.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Cenargen","CEN","96758","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","R. T. M. Ribeiro",,"","635","","Francisco Ferreira de Miranda Santos",2016,10,26,"Brazil","Go","LUZIANIA","Luziânia. (long. 197289,3811 e lat. 8196476,3152). Ponto 571",,,"Fruto maduro seco, indeiscente bege. Doação Flora do DF e do Goiás. Patrocinadores: VSB - Vale do São Bartolomeu Trasmissora de Energia. Parte Integrante do Programa Ambiental Linha de Transmissão 500 kV (C1 e C2).","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UFG","UFG","60513","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","F.M. Santos",2016,"","635","","Santos, F.M.",2016,10,26,"Brazil","Goiás","Luziânia",,,,,"Terminalia phaeocarpa Eichler","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","132387","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Paula-Souza, J.",2013,"","11694","","Paula-Souza, J.",2013,2,19,"Brazil","Mato Grosso","Alto Araguaia","Arredores do rio Ariranha. Área degradada. Transição Cerradão/Floresta de galeria",,,"Árvore, ca. 7m alt. Frutos imaturos verdes","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UFU","HUFU","64122","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler",,,"","s.n.","","Rocha, R.R.",2012,3,25,"Brazil","Minas Gerais","Rio Paranaíba","Fazanda Catolés",,,"Árvore grande e alta, frutos pequenos e verdes. Árvore de grande porte, sementes aladas.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UnB","UB","210646","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Zanatta, MRV",2012,"","BP18","","Projeto Biodiversidade BP; Faria, JEQ; Zanatta, MRV; Castro, BM; Concha, C",2012,10,8,"Brazil","Goiás","Edéia","Fazenda Tupi (MCFPAB)",-17.771389,-50.068611,"Árvore; Mata ciliar. Solo argiloso vermelho","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Cenargen","CEN","72558","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","R. T. M. Ribeiro",,"","5882","","Bruno Machado Teles Walter",2009,11,4,"Brazil","To","PALMEIROPOLIS","Linha de transmissão São Salvador - Canabrava. Entre as torres 77 e 79. Fazenda do Sr. Joaquim (Fazenda Esplanada).",-13.148611,-48.22,"Frutos muito marcados por fungos. Folhas predadas.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","JBRJ","RB","RB00580536","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","N.Marquete",,"","59","","H.Serafim",2008,4,29,"Brazil","São Paulo","São José do Barreiro","Fazenda Atibaia.Acesso pelo Km 258 da Rodovia dos Tropeiros (SP068).",-22.642778,-44.656667,"Árvore,17m.alt.,75cm de PAP.FAce abaxial brilhante.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","USP","SPF","200374","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Marquete, NFS",2009,"","59","","Freitas, HS",2008,4,29,"Brazil","São Paulo","São José do Barreiro",,-22.642778,-44.656667,,"Terminalia phaeocarpa Eichler","",,"GBIF"
"","UNITINS","HUTO","2166","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Haidar, R.F.",2008,"","992","","Haidar, R.F.",2008,10,16,"Brazil","Tocantins",,"Sub-bacia do Tocantins. Parcela 5",-13.038333,-48.483056,"Árvore com cerca de 13 m de altura. Frutos alados verdes; Floresta estacional decidual","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","234099","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Meneguzzo, T.E.C.",2008,"","37","","Mike Hopkins",2008,11,4,"Brazil","Goiás",,"Bioma cErrado, fitofisionomia Mata Seca com afloramentos de calcáreo. Hospedeiro de Encyclia linearifolioides.",-15.406667,-47.97,,"Terminalia phaeocarpa Eichler","",,"GBIF"
"","UnB","UB","111866","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Meneguzzo, TEC",,"","37","","Meneguzzo, TEC; Santos, LC",2008,11,4,"Brazil","Goiás","Planaltina","Planaltina, Bioma Cerrado, fitofisionomia Mata Seca com afloramentos de calcáreo. Hospedeiro de Encyclia linearifolioides (Kraenzl.) Lindl.",-15.406667,-47.969722,"Árvore ca. 8m de altura, diâmetro a altura do peito 20cm. Frutos verdes.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Cenargen","CEN","96541","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","R. T. M. Ribeiro",,"","241","","Bernardo Rocha Teixeira",2008,11,5,"Brazil","Df","BRASILIA","Fazenda Sucupira. Mata do Riacho Fundo.",-15.905833,-48.012222,"Árvore recém caída.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","1488","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Meneguzzo, TEC",2008,"","37","","Meneguzzo, TEC; Santos, LC",2008,12,4,"Brazil","Goiás","Planaltina",,-15.406667,-47.969722,,"Terminalia phaeocarpa Eichler","",,"GBIF"
"","Cenargen","CEN","71686","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","R. T. M. Ribeiro",,"","11940","","Glocimar Pereira-Silva",2007,7,11,"Brazil","To","PALMEIROPOLIS","Estrada de acesso à fazenda do Sr. José Elias. Margem direita do 1º córrego.",-13.167222,-48.217777,"Área de influência indireta.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UFU","HUFU","48660","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler",,,"","814","","Rosa, P.O.; Gusson, A.E. & Araújo, G.M.",2007,8,27,"Brazil","Minas Gerais","Uberlândia","Capim Branco I",,,"Árvore, ca. 15 m. Cálice e estames amarelos.; Mata ciliar.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UnB","UB","19842","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Campos, MBS",,"","9","","Campos, MBS; Proença, CEB; Tanno-Silva, PI; Andrade, LAA",2006,2,1,"Brazil","Distrito Federal","Brasília","Parque Olhos d'Água",-15.733333,-47.883333,"Árvore. Fruto Verde.; Mata mesofítica.","Terminalia phaeocarpa Eichler","",,"GBIF"
"","UnB","UB","107416","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","Fonseca, ML",,"","1240","","Oliveira, FCA; Fonseca, ML",2006,6,7,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. RA-XVI (Lago Sul). Bosque artificial em frente ao restaurante da Recor",-15.947222,-47.877778,"Casca gretada cor cinza; folhas discolores, cartáceas; frutos imaturos cor verde com manchas marrons.; Árvore 6,5m x 20cm; .","Terminalia phaeocarpa Eichler","",,"GBIF"
"","IF","SPSF","37310","Terminalia phaeocarpa","","Combretaceae","Terminalia","phaeocarpa","","Eichler","G.Durigan",2006,"","101","","R.T. Polisel & G.Durigan & G.A.D.C. Franco & E.Furlan & S.C.P.M.Souza & E.E.Macedo",2006,9,26,"Brazil","Sp","Pedregulho","P.E.F.B.J. Núcleo Neca Pedro",,,"COLETA: XLS: SPSFNovo; árvor, 12m, flores esverdeadas e frutos imaturos; GEOGRAFIA: cerrado SS&nf;UTM: X=247274 Y=7760394 ZONA=23K;","Terminalia phaeocarpa Eichler","",,"GBIF"
