"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","248391","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.",,,"","1638","","Moonlight, P.W.",2019,3,24,"Brazil","Ceará","Crato","Nordeste plot Araripe-01. Floresta Nacional do Araripe. Trilha do Belmonte, 500m from the start of the trail.",-7.275556,-39.454167,"Cerradao vegetation. Semi-closed canopy at ca. 10-14m, composed of both deciduous and evergreen species. Relatively dense shrub layer. Relatively few lianas. Little herb layer.","Connarus detersus Planch.","",,"GBIF"
"","UEFS","HUEFS","252025","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.",,,"","PAL02_674674","","Lui, Y.",2018,3,8,"Brazil","Piauí","Altos","Access by BR 343 (Federal Highway) in Km 323",-5.020833,-42.595556,"Semideciduous seasonal forest","Connarus detersus Planch.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","59681","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","Lima-Verde, L.W.",2014,"","217B","","Mascena, V.M.",2014,7,14,"Brazil","Ceará","Barbalha","FLONA do Araripe, proximidades da Casa de Guarda da Santa Rita, ICMBio.",-7.383867,-39.354436,"Manejo da abelha uruçu no chão.; Árvore; flor avermelhada.; Floresta úmida.","Connarus detersus Planch.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","59680","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","Lima-Verde, L.W.",2014,"","209B","","Mascena, V.M.",2014,8,10,"Brazil","Ceará","Barbalha","FLONA do Araripe, proximidades da Casa de Guarda da Santa Rita, ICMBio.",-7.383867,-39.354436,"Manejo da abelha uruçu no chão.; Árvore; flor amarelo-avermelhada.; Floresta úmida.","Connarus detersus Planch.","",,"GBIF"
"","UFRPE","PEUFR","51742","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","O. Cano",2013,"","112","","L.Z.O. Campos; Ribamar e Damasio",2013,3,31,"Brazil","Ceará","Barbalha","Floresta Nacional do Araripe",-7.347417,-39.394444,"Árvore de 8 metros de altura com frutos deiscentes vermelhos","Connarus detersus Planch.","",,"GBIF"
"","NY","NY","02540919","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","J. Kuziel",,"","1289","","B. M. Torke",2011,11,24,"Brazil","Pará",,"along E side of road to Punta Piedra, about 3.4 km from where the road departs to the NW from the Santarém–Alter do Chão road (PA-457), ca. 21.5 km E and somewhat S of Santarém",-2.5047,-54.8844,,"Connarus detersus Planch.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","46951","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","Forero, E.",2010,"","2229","","Castro, A.S.F.",2010,1,3,"Brazil","Ceará","Crato","Encosta da chapada do Araripe, próximo à Pinhão",,,"Arvoreta.; Mata subúmida","Connarus detersus Planch.","",,"GBIF"
"","JBRJ","RB","RB01363815","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","J. Rossini",2011,"","210","","M.Ribeiro; L.F.T. Menezes; I.S. Broggio; T.L. Rocha; A.O. Giaretta; J. Rossini; A.C.C. Hatum",2010,7,14,"Brazil","Espírito Santo","Linhares","Povoação. Usos: 19.6089°S ; 39.7999° W",,,,"Connarus detersus Planch.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12491","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","Domingos A. Folli",2009,"","481","","Siqueira, G.S.",2009,9,1,"Brazil","Es","LINHARES",,-19.078926,-39.902669,"<ll>dwc_commonname:</ll> Conarácia","Connarus detersus Planch.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12492","Connarus detersus","","Connaraceae","Connarus","detersus","","Planch.","Domingos A. Folli",2009,"","6402","","Folli, D.A.",2009,9,1,"Brazil","Es","LINHARES",,-19.078926,-39.902669,"<ll>dwc_commonname:</ll> Conarácia","Connarus detersus Planch.","",,"GBIF"
