"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01385313","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","C. Baez",2018,"","1527","","C. Baez; E. Fernandez, T. Lima, R. Gomes",2018,3,21,"Brazil","Rio de Janeiro","Saquarema","Antiga Reserva Ecológica de Jacarepiá (""Vilatur). Parque Estadual da Costa do Sol",-22.926111,-42.456111,"Arbusto, semi-heliófilo, 1 m. Folhas verdes discolores. Pulvinos dos folíolos castanhos. Frutos imaturos verdes contendo uma única semente.","Connarus nodosus Baker","",,"GBIF"
"","JBRJ","RB","RB01332888","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","D.N.S. Machado",2017,"","1153","","D.N.S. Machado; et al",2017,1,16,"Brazil","Rio de Janeiro","Niterói","São Francisco, Parque Natural Municipal de Niterói (PARNIT), Morro Santo Inácio",-22.922222,-43.085,,"Connarus nodosus Baker","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","141117","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","Tozzi, A.M.G.A.",2017,"","47","","Silva, T.D.; Assis, L.S.; Gardon, F.R.; Lozano-Baez, S.E.; Mazzeo, R.R.; Zanini, A.N.; Souza, V.C.; Rodrigues, R.R.; Colletta, G. D.; Koch, I.",2017,4,20,"Brazil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador; Base de Fuzileiros Navais; Trilha das Pelonas; Floresta Ombrófila Densa",-22.7827,-43.1834,"Árvore; 2 metros de altura; frutos imaturos verdes","Connarus nodosus Baker","",,"GBIF"
"","JBRJ","RB","RB01314503","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","D.N.S. Machado",2017,"","1077","","D.N.S. Machado; G.A. de Queiroz",2016,12,3,"Brazil","Rio de Janeiro","Niterói","Cafubá, Parque Natural Municipal de Niterói, Trilha do Morro da Viração, início da trilha",-22.919722,-43.076389,,"Connarus nodosus Baker","",,"GBIF"
"","JBRJ","RB","RB00935359","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","J.M.A. Braga",,"","396","","A.D.Mattedi; J.M.A.Braga",2013,8,28,"Brazil","Rio de Janeiro","São João da Barra","RPPN Fazenda Caruara. RPPN Fazenda Caruara",-21.798611,-41.047222,"Botões verdes a 1m do chão","Connarus nodosus Baker","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","108753","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","Rodarte, ATA",2012,"","19538","","Guedes, ML",2012,4,6,"Brazil","Rio de Janeiro","Rio de Janeiro","APA Restinga entre Itaipuaçu e Marica",-22.970833,-42.909444,"ca. 1,50 m alt. Folhas com folíolos coriáceos, discolores. Frutos imaturos verdes, 'de vez' de cor laranja.","Connarus nodosus Baker","",,"GBIF"
"","JBRJ","RB","RB00681904","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","M.F. Castilhori; I.E. Santo",,"","524","","M.F. Castilhori; I.E. Santo; M. Lira; J. Reis; J. Fontella",2011,2,1,"Brazil","Rio de Janeiro","Macaé","Cabiunas, lado esquerdo da linha do trem.",-22.2925,-41.711667,"Área antropisada. Arbustos, heliófilo, rfamificado, ca.2 m alt; repleto de frutos, de verde a marelo único.","Connarus nodosus Baker","",,"GBIF"
"","JBRJ","RB","RB00606214","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","Elsie F. Guimarães e T. S. Mendes",,"","16663","","G. Martinelli; M. Moraes & E. Fernandez",2010,1,29,"Brazil","Mato Grosso do Sul","Corumbá","Povoado do Amolar. Pista de pouso as margens do Rio Paraguai. Floresta estacional semidecídua.",-18.031667,-57.49,"Árvore, 15m; folhas discolores; frutos imaturos de cor verde-avermelhado; frequente; frutos quando maduros de cor vermelho-escuro","Connarus nodosus Baker","",,"GBIF"
"","Reserva Natural Vale","CVRD","13101","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","Cassio A. P. Toledo",2018,"","6663","","Folli, D.A.",2010,8,10,"Brazil","Es","LINHARES",,-19.420826,-40.067273,"<ll>dwc_commonname:</ll> Breuzinho","Connarus nodosus Baker","",,"GBIF"
"","UFES","VIES","13652","Connarus nodosus","","Connaraceae","Connarus","nodosus","","Baker","C.A.P. Toledo",2018,"","948","","Flores, T.B.; Siqueira, G.",2010,10,26,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",,,,"Connarus nodosus Baker","",,"GBIF"
