"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01379881","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","A.S.Bezerra",,"","s.n.","","A.S.Bezerra; L.S.Neto; J.E.L.Lessa (Equipe Resgate Embarcado - RE2 -39)",2017,4,11,"Brazil","Mato Grosso","Itaúba",,,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBM","MBM","412924","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Bezerra, AS",2017,"","s.n.","","Bezerra, AS",2017,4,11,"Brazil","Mato Grosso","Itaúba","Resgate de Flora da UHE Colíder",-10.9575,-55.642222,"Arbórea ca. 7 m. Folhas verdes discolores. Frutos imaturos verdes.; Floresta do Planalto dos Parecís, região de ecótono entre Floresta Amazônica e Cerrado.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","UNEMAT","HERBAM","21371","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Silva, TRC",2015,"","2885Equipe 08 -","","Silva, T.R.C.",2015,2,25,"Brazil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Lote B de supress",,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","30805","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.",,,"","4","","Costa, I.B.C.",2014,2,26,"Brazil","Mato Grosso","Cuiabá","Baixada Cuiabana, comunidade rural dos couros",-15.5,-55.583333,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","UFES","VIES","29992","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.",,,"","26","","Jesus, L.M.; Coelho, R. & Folli, D.A.",2014,6,27,"Brazil","Espírito Santo","Linhares","Reserva Biológica de Comboios.",,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14963","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Geovane S. Siqueira",2014,"","7231","","Folli, D.A.",2014,6,26,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Pindaíba pião","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","JBRJ","RB","RB00880704","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","G.S. Siqueira",2014,"","7231","","D.A. Folli",2014,6,26,"Brazil","Espírito Santo","Linhares","Regência. Estrada Lagoa Prada.",,,"Terrestre; porte arbóreo, 6m, fuste 4m, CAP 23cm, copa 1m; fruto imaturo verde; exsudação incolor","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","134428","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Pansonato, M.P.",2014,"","255","",,2013,1,25,,,,,,,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16925. Altura: 6m","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","UFES","VIES","33921","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Moreau, J.S.",2014,"","46","","Moreau, J.S.",2013,2,21,"Brazil","Espírito Santo","Aracruz",,,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","UFES","VIES","41437","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Giaretta, A.",2013,"","772","","Ribeiro, M.; Silva, W.B.",2012,1,31,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.",,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","JBRJ","RB","RB01338600","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M.F. Santos",2012,"","838","","M.F. Santos; C.P. Caliari; M.O. Bunger",2012,3,5,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar - Núcleo Picinguaba. Trilha próxima ao alojamento de pesquisadores. Na borda da trilha; sub-bosque",-23.35,-44.85,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","USP","SPF","223077","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Santos, MF",2012,"","838","","Santos, MF",2012,3,5,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba.",-23.35,-44.85,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","41943","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","B. Wallnöfer/30-09-2011",,"","25","","A. M. Vago; A. M. Vago; R. Santos & R. S. Cribari",2010,1,7,"Brazil","Espírito Santo","Serra","Mestre Álvaro - vertente sudeste. Próximo a FURNAS. Acesso pelo Bairro Jardim Tropical.",-20.181194,-40.305806,"Arbusto de 2,5m. Frutos verdes. Interior de mata","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","41941","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","B. Wallnöfer/30-09-2011",,"","36","","R. Santos; A. M. Assis; R. M. Botelho & R. S. Cribari",2010,10,8,"Brazil","Espírito Santo","Serra","Mestre Álvaro - vertente sudeste. Próximo a FURNAS. Acesso pelo Bairro Jardim Tropical.",-20.186167,-40.306611,"Arbusto 4 m; Frutos jovens verdes.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","29305","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M. F. Santos/XI-2011",,"","3217","","V. Demuner; T. Cruz, M. Belizário e Elias Bausen.",2007,3,15,"Brazil","Espírito Santo","Santa Leopoldina","Colina Verde (Morro do Agudo), propr.: Dona Maria.",-20.093889,-40.432222,"Arvoreta 5m, frutos verdes. Interior de mata.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","USP","SPF","189648","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Santos, MF",2009,"","3217","","Demuner, V",2007,3,15,"Brazil","Espírito Santo","Santa Leopoldina",,-20.093889,-40.432222,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","30265","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M. F. Santos/XI-2011",,"","4067","","V. Demuner; R. R. Vervloet, M. Belisario e Elias Bausen.",2007,5,29,"Brazil","Espírito Santo","Santa Leopoldina","Colina Verde (Morro do Agudo), propr.: Israel Elias Ramos (trilha da casa).",-20.107778,-40.442222,"Arbusto 3m frutos verdes. Interior de mata.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","USP","SPF","189647","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Santos, MF",2009,"","4067","","Demuner, V",2007,5,29,"Brazil","Espírito Santo","Santa Leopoldina",,-20.107778,-40.442222,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","80180","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Guedes, ML",2007,"","13715","","Guedes, ML; Valadão, RM; Carvalho, G; Gomes, FS",2007,8,29,"Brazil","Bahia","Cocos","Oeste, Caminho para o rio Itaguari.",-13.4,-44.533333,"de ca 5 m de altura. Folhas membranáceas, quando jovens, ferrugíneas. Botões esverdeados, vilosos.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","28836","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M. F. Santos/XI-2011",,"","1032","","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen",2006,5,18,"Brazil","Espírito Santo","Santa Leopoldina","Morro Agudo, Prop.: Dona Maria",-20.093889,-40.431667,"Arvoreta 5m de alt. Frutos verdes. Mata em fundo de vale.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","USP","SPF","189649","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Santos, MF",2009,"","1032","","Magnago, LFS",2006,5,18,"Brazil","Espírito Santo","Santa Leopoldina",,-20.093889,-40.431667,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","27281","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M. F. Santos/XI-2011",,"","2543","","V. Demuner; M.A.B. Lopes, T. Cruz, Elias Bausen",2006,6,30,"Brazil","Espírito Santo","Santa Leopoldina","Colina Verde (lado esquerdo da casa), Prop.: Israel Elias Ramos",-20.103333,-40.448333,"Arvoreta 5m, frutos verdes. Interior de mata.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","USP","SPF","189650","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Santos, MF",2009,"","2543","","Demuner, V",2006,6,30,"Brazil","Espírito Santo","Santa Leopoldina",,-20.103167,-40.448333,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","IF","SPSF","37379","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","G.Durigan",2006,"","181","","R.T. Polisel & G.Durigan & G.A.D.C. Franco & E.Furlan & S.C.P.M.Souza & E.E.Macedo",2006,9,28,"Brazil","Sp","Pedregulho","Trilha dos Macacos",,,"COLETA: XLS: SPSFNovo; árvore, 7m, flores verdes; GEOGRAFIA: floresta de encosta&nf;UTM: X=243444 Y=7758598 ZONA=23K;","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","MBML","MBML-HERBARIO","27276","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M. F. Santos/XI-2011",,"","2868","","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2006,9,14,"Brazil","Espírito Santo","Santa Leopoldina","Morro Agudo, Prop.: Dona Maria",-20.093889,-40.431667,"Arbusto 3m, frutos maduros vináceos. Fundo de vale.","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Fundação Universidade Federal de Mato Grosso do Sul","CGMS","58676","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","A. Pott",,"","14170","","A. Pott; V.J. Pott",2006,9,8,"Brazil","Mato Grosso do Sul","Corumbá","Sede da ex-Fazenda Esperança, Parque Estadual do Rio Negro.",,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","77614","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","M. F. Santos",,"","2091","","L. C. Giordano",2005,12,7,"Brazil","Rio de Janeiro","PARATY","Apa-cairuçu, Rio dos Meros.",-23.166667,-44.5,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Reserva Natural Vale","CVRD","9374","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Matheus F. Santos",2011,"","154","","Siqueira, G.S.",2004,1,12,"Brazil","Es","LINHARES","RFL-001/80 bloco D Trat. 1",,,"<ll>dwc_commonname:</ll> Pindaíba pião","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Reserva Natural Vale","CVRD","9373","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Matheus F. Santos",2011,"","5000","","Folli, D.A.",2004,12,6,"Brazil","Es","LINHARES","RFL-001/80 E-1",,,"<ll>dwc_commonname:</ll> Pindaíba pião","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","USP","SPF","221280","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Santos, MF",2011,"","5000","","Folli, DA",2004,12,6,"Brazil","Espírito Santo","Linhares",,,,,"Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","20120","Diospyros brasiliensis","","Ebenaceae","Diospyros","brasiliensis","","Mart. ex Miq.","Oliveira, MS",2003,"","2885","","Salles, AEH; et al.",2003,12,17,"Brazil","Goiás","Pirenópolis","Beira de estrada entrada para o Parque dos Pireneus",,,"Arvoreta 4m; Frutos verdes;; Beira de estrada; Relevo Inclinado","Diospyros brasiliensis Mart. ex Miq.","",,"GBIF"
