"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","94086","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","B. Walln""ofer",2018,"","18509","","Gustavo Martinelli",2015,5,26,"Brazil","Mt","ROSARIO OESTE","SESC Serra Azul, antiga Fazenda Santo Antônio, matas da trilha para a Cachoeira da Serra Azul.",-14.495555,-55.705555,"Heliófila; folhas verdes, marcadamente discolores. Doação Jardim Botânico do Rio de Janeiro - RB 625284.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","Cenargen","CEN","96246","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","B. M. T. Walter",,"","382","","Aelton Biasi Giroldo",2014,11,22,"Brazil","Mg","GRAO MOGOL","Assentamento Americana.",,,"Botão floral verde.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","UnB","UB","202672","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.",,,"","4290","","Proença, CEB; Silva Júnior, MC; Turma de Botânica de Campo",2013,1,16,"Brazil","Goiás","Paraúna","RPPN (Reserva Particular do Patrimônio Natural) Serra das Galés (Parque Estadual de Paraúna). Ponto 1",-16.10875,-50.634722,"Árvore 4m. Fruto verde; Cerrado","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","UEG","HUEG","10170","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Proença, C.E.B.",,"","4290","","Proença, C.E.B.",2013,1,16,"Brazil","Goiás","Paraúna","RPPN, Serra das Galés (P.E.Serra de Paraúna). Ponto 1.",-16.108889,-50.634722,"Árvore 4m, fruto verde.; Cerrado.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","47210","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Loiola, M.I.B.; Rebouças, N.C.",2018,"","2304","","Castro, A.S.F.",2010,3,6,"Brazil","Piauí","Campo Maior","Base da serra do Bugari",,,"Arvoreta.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","JBRJ","RB","RB00609113","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Elsie F. Guimarães & Luiz Paulo M. de Moraes",,"","16728","","G. Martinelli; M.A. Moraes & A. Quinet",2010,11,30,"Brazil","Mato Grosso do Sul","Corumbá","Serra do Amolar, RPPN Penha, ruinas do Hotel da Penha. Floresta estacional semidecídua em transição para Cerrado campestre.",-17.994722,-57.486944,"Arvoreta, 5,3m; folhas verdes, marcadamente discolores; frutos imaturos de cor verde","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","UNITINS","HUTO","2146","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Haidar, R.F.",2008,"","1073","","Haidar, R.F.",2008,11,8,"Brazil","Tocantins",,"Sub-bacia do rio Palma",-12.262778,-46.641111,"Árvore com cerca de 5 m de altura e 25 cm de DAP. Casca do tronco corticeira e cinza. Frutos verdes; Cerrado sobre areia","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","Cenargen","CEN","97111","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","B. Walln""ofer",2018,"","4937","","Anderson Cássio Sevilha",2008,12,10,"Brazil","Mg","RIO PARDO DE MINAS","Assentamento Vereda Funda. Tabuleiro.",-15.913611,-42.480556,,"Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","UFMT","UFMT","12750","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.",,,"","898","","Segalla, R.",2007,2,23,"Brazil","Mato Grosso","Porto Estrela","Estação Ecológica Serra das Araras.",,,"Coordenada geografica: 21L 0477 047 8269 693.; Arbustivo/ arbóreo, frutos verdes e rígidos quando imaturos.; Mata ciliar do córrego Camarinha; Solo podzólicos vermelhos-amarelados (predomínio de solo eutrófico).","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","Cenargen","CEN","72729","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","B. Walln""ofer",2018,"","4617","","Anderson Cássio Sevilha",2007,11,3,"Brazil","Mg","RIO PARDO DE MINAS","Areião.",-15.494166,-42.469166,"Alto de chapada. Local de extrativismo de Caryocar brasiliense e Hancornia speciosa. Botão floral.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","UNIVASF","HVASF","2579","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Marcondes Oliveira",2006,"","1382","","Marcondes Oliveira",2003,5,6,"Brazil","Alagoas","Ibateguara","Flora dos Fragmentos - TAQUARA",-8.955641,-35.899683,"Árvore 6,0m de alt. Frutos imaturos verdes com 4 sementes. Raro.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","UFPE","UFP","38460","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.",,,"","1382","","Oliveira, M.; Grillo, A.A.",2003,5,6,"Brazil","Alagoas","Ibaguatera",,,,"Flora dos fragmentos: Taquara.; Árvore +/- 6,0m alt. Frutos imaturos verdes com 4 sementes. Raro.","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","32732","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Loiola, M.I.B.; Rebouças, N.C.",2018,"","s.n.","","Costa, I.R.",2001,1,10,"Brazil","Ceará","Barbalha","FLONA do Araripe",,,"Árvore.; Cerrado","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","32715","Diospyros coccolobifolia","","Ebenaceae","Diospyros","coccolobifolia","","Mart. ex Miq.","Loiola, M.I.B.; Rebouças, N.C.",2018,"","s.n.","","Costa, I.R.",2001,2,20,"Brazil","Ceará","Barbalha","FLONA do Araripe",,,"Árvore.; Cerrado","Diospyros coccolobifolia Mart. ex Miq.","",,"GBIF"
