"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00970323","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","D.Monteiro",,"","PSACFHBM2015020","","FAVERI, C.",2015,2,3,"Brazil","Pará","Vitória do Xingu",,-3.137778,-51.79,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","JBRJ","RB","RB00936771","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","D.Monteiro",,"","PSACF_EX04305","","SILVA, D.A. E",2014,11,6,"Brazil","Pará","Vitória do Xingu",,-3.181667,-51.784167,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","HERBMG","MG163179","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","Rosário, C.S.",,"",,"","Aragão, I.; Bastos, M.N.C.",1995,7,5,"Brazil","Pará",,"São Geraldo do Araguaia",-6.216667,-48.466667,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","XMG","XMG005557","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith",,,"",,"","Salomão, R.; Rosa, N.A.; Rosário, C.",1988,5,24,"Brazil","Pará",,"Rio Sororó",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","XMG","XMG005708","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith",,,"",,"","Salomão, R.; Rosa, N.A.; Rosário, C.",1988,6,22,"Brazil","Pará",,"Rio Sororó",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","158726","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith",,,"","5479","","Mike Hopkins",1984,10,25,"Brazil","Amapá",,"Área do Felipe 6",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","HERBMG","MG134510","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","Silva, N.T. da",,"",,"","Silva, N.T. da",1984,10,25,"Brazil","Amapá",,"Mazagão",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","HERBMG","MG150398","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","Silva, N.T. da",,"",,"","Silva, N.T. da",1984,10,25,"Brazil","Amapá",,"Mazagão",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","XMG","XMG005283","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith",,,"",,"","Silva, N.T.",1984,10,25,"Brazil","Pará",,"Jari",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","HERBMG","MG055218","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","Cavalcante, P.B.",,"",,"","Bahia, T.R.A.",1976,10,8,"Brazil","Amazonas",,"Manacapuru",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","HERBMG","MG049973","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","Cavalcante, P.B.",,"",,"","Prance, G.T.; Pennington",1974,9,10,"Brazil","Amazonas",,"Amazonas",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"",,"Botany","U  0018844","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith",,,"",,"","Irwin HS; Egler WA; Pires JM",1960,8,3,"French Guiana",,,,,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","JBRJ","RB","RB00076909","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith","P.Cavalcante",,"",,"","A.Ducke",1933,1,30,"Brazil","Pará","Pará","Serra de Santarém.",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
"","MPEG","XMG","XMG005746","Diospyros santaremnensis","","Ebenaceae","Diospyros","santaremnensis","","Sandwith",,,"",,"","Silva, N.T.",,,,"Brazil","Pará",,"Bacia do Jari",,,,"Diospyros santaremnensis Sandwith","",,"GBIF"
