"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","197603","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,,"","260","","Ferreira, VL; Araujo, FF; Marques, GM; Moreira, VA",2019,3,28,"Brazil","Minas Gerais","Itabira","Serra dos Alves, Ipoema. Trilha Morro do redondo. Borda da estrada",-19.555,-43.489167,"Campo Rupestre","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","JBRJ","RB","RB01317823","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","J.E.Q. Faria",,"","5666","","J.E.Q. Faria; T.J.O. Otoni",2016,4,15,"Brazil","Minas Gerais","Gouveia","Estrada entrando paralela aos moinhos de vento do Camilinho, sítio do Mulato, área de extração da Tracomal",-18.519722,-45.883611,,"Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3617","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","Faria, JEQ",2016,"","5666","","Faria, JEQ; Otoni, TJO",2016,4,15,"Brazil","Minas Gerais","Gouveia","Estrada entrando paralala aos moinhos de vento do Camilinho, síto do Mulato, área de extração da Tracomal",-18.519722,-43.883611,,"Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","UNISANTA","HUSC","11532","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","Sampaio, P.S.P.; Benedito, A.",2017,"","1619","","P.S.P. Sampaio; Kita, L.",2016,12,8,"Brazil","Minas Gerais","São Thomé das Letras","Estrada da pedra da Bruxa.",,,"Arbusto com 1,70m e flores brancas.; campo rupestre.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","JBRJ","RB","RB01021534","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","Cabral, A., via foto",,"","1703","","M.S.Wängler; M.F.Bocayuva-Cunha; T.Gomes-Veloso & C.A.Vieira",2015,9,30,"Brazil","Minas Gerais","Rio Preto","Vila do Funil. trilha para Buraco da Égua.",-21.989167,-43.891389,"Floresta Ombrófila Densa. Flores brancas, ramos jovens magenta e o odor lembra aniz","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","65636","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","A. Cabral",2014,"","72","","A. Cabral; L. Menini Neto; S.G. Furtado; C. Nardy",2014,8,1,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual de Ibitipoca, Próximo à Gruta das Bromélias",,,"Arbusto, ca. 2,5 m alt., em campo rupestre. Ca. 1450 m.s.m. Frutos passados castanhos.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","65655","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","A. Cabral",2014,"","91","","A. Cabral; L. Menini Neto; S.G. Furtado; C. Nardy",2014,8,6,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual de Ibitipoca, Próximo à Janela do Céu.",,,"Arbusto, ca. 2 m atl. Em campo rupestre. Pecíolo avermelhado, pedicelo e botões florais passando do verde ao vermelho. Frutos castanhos. Ca. 1550 m.s.m.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","65648","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","A. Cabral",2014,"","84","","A. Cabral; L. Menini Neto; S.G. Furtado; C. Nardy",2014,8,4,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual de Ibitipoca, Próximo à Cachoeira dos Macacos.",,,"Arbusto, ca. 1,5 m atl., em borda de floresta. Pecíolo e pedicelo avermelhados, cálice passando do verde ao vináceo. Corola alvo-esverdeada. Frutos imaturos verdes e frutos maduros castanhos.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","65658","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","A. Cabral",2014,"","94","","A. Cabral; L. Menini Neto; S.G. Furtado; C. Nardy",2014,11,1,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual de Ibitipoca, Próximo à Cachoeira dos Macacos.",,,"Arbusto, ca. 2 m alt. Pecíolo avermelhado, pedicelo e botões florais passando do verde ao vermelho. Flores alvas-esverdeadas. Frutos castanhos. Ca. 1250 m.s.m. Em campo rupestre.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","186115","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,2015,"","498","","Gontijo, FD",2014,11,5,"Brazil","Minas Gerais","Itambé do Mato Dentro",,-19.397325,-43.276778,"Arbustivo/Subarbustivo; Floração; Flores róseas. Sobre quartzito.; Campo rupestre sobre formação quartzítica","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","FZB-BH","BHZB","9994","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,,"","393","","Fernandes, F.M. et al",2013,1,30,"Brazil","Mg","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais, Ermo",,,"com duplicata.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","165631","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,2014,"","2430","","Souza, FS; Tomich, S; Miranda, E; Machado, TM",2013,1,29,"Brazil","Minas Gerais","Congonhas","Mina de Fábrica, Litotipo: Formação ferrífera.",-20.446944,-43.893333,"Arbusto em Campo Rupestre Ferruginoso Arbustivo, flores secas. Projeto Lacunas do Conhecimento.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","168217","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,2014,"","383","","Miranda, E; Tomich, S; Machado, TM; Souza, FS",2013,1,9,"Brazil","Minas Gerais","Nova Lima","Mina Capitão do Mato, Litotipo: Itabirito dolomítico e filito dolomítico e argiloso, indiferenciados.",-20.098889,-43.966667,"Herbácea em Campo Rupestre Ferruginoso Aberto. Projeto Lacunas do Conhecimento.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","165961","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,2014,"","1981","","Souza, FS; Tomich, S; Miranda, E; Machado, TM",2013,2,19,"Brazil","Minas Gerais","Barão de Cocais","Morro do Baú, Litotipo: Itabirito e itabirito dolomítico, com lentes de dolomito",-20.023889,-43.579722,"Arbusto no Campo Rupestre Ferruginoso arbustivo com flores rosa e fruto seco. Projeto Lacunas do Conhecimento.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","166205","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,2014,"","2160","","Souza, FS; Tomich, S; Miranda, E; Machado, TM",2013,3,5,"Brazil","Minas Gerais","Ouro Preto","Antônio Pereira, Litotipo: Laterita, bauxita e detrito ferruginoso não cimentado.",-20.299722,-43.488056,"Arbusto em Campo Rupestre Ferruginoso Arbustivo, frutos secos. Projeto Lacunas do Conhecimento.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","167902","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,2014,"","73","","Miranda, E; Tomich, S; Machado, TM; Souza, FS",2013,4,2,"Brazil","Minas Gerais","Nova Lima","Mina Capitão do Mato, Litotipo: Cobertura detrito-laterítica: solo laterítico residual, material areno-arginoso, concreções ferruginosas e fragmentos de quartzo.",-20.105278,-43.891111,"Arbusto em Campo Cerrado Ferruginoso, frutos secos. Projeto Lacunas do Conhecimento.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","FZB-BH","BHZB","8605","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","L.S.Kinoshita & G.O.Romão",2012,"","435","","Andrade, I.R. et al.",2012,5,17,"Brazil","Mg","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais,",-19.025,-43.704722,"Ponto 88 (636319 7895899 1223m), Doação de duplicata para Herbário UEC.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","UNICAMP","UEC","171275","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd",,,"","435","","Andrade, IR; et al.",2012,5,17,"Brazil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais.",,,"Arbustivo. Levantamento florístico da RPPN Brumas do Espinhaço Ponto 88 (636319 7895899), com duplicata. Flores verdes.; Cerrado, campo rupestre.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","120719","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","Souza, V.C.",2015,"","291","","Delfini, C.",2012,5,9,"Brazil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, rodovia MG 10, km 131, bifurcação para o Morro do Pilar.",-19.2236,-43.49884,"Arbusto, ca. 1m alt., frutos negros.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","62892","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","J.H.C. Ribeiro",2012,"","235","","J.H.C. Ribeiro; F.A. Carvalho; N.E. Oliveira-Neto; L.R.T. Madeira",2012,6,3,"Brazil","Minas Gerais","Rio Preto","Serra Negra, Próximo a gruta do Funil. Coordenadas UTM: Zona 23k, 614730.185E, 7565550.485N (Datum: WGS 84). Altitude: 963 m.s.m.",-22.010833,-43.888333,"Arvoreta, 2m, sobre solo quartzitico. Frutos secos. Indivíduo 159 fitossociologia.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","60590","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","L.L. Justino",2012,"","15","","G.A.Souza; D.R. Gonzaga; L.L. Justino; M.R.M. Silva",2012,9,29,"Brazil","Minas Gerais","Rio Preto","Trilha para Água Amarela, -22.01291S, -43.86288W.",-22.02475,-44.441333,"Arbusto com aproximadamente 3 m. Flores róseas, frutos negros com cápsula deiscente.","Agarista glaberrima (Sleumer) Judd","",,"GBIF"
"","JBRJ","RB","RB01375345","Agarista glaberrima","","Ericaceae","Agarista","glaberrima","","(Sleumer) Judd","A.Cabral",,"","6250","","J.R. Pirani; G.Heiden; C.M.Siniscalchi & M.F.Devecchi",2011,2,17,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. APA Morro da Pedreira. Rodovia Belo Horizonte - Conceição do Mato Dentro (MG010), km 129 atual, Alto Palácio",-19.25,-43.533333,,"Agarista glaberrima (Sleumer) Judd","",,"GBIF"
