"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","40142","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","Wandekoken, D.T.",2017,"","189","","Wandekoken, D.T.",2017,2,16,"Brazil","Espírito Santo","Guarapari","Parque Estadual Paulo Cesar Vinha. Aberto de Clusia.",-20.596667,-40.424167,,"Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","JBRJ","RB","RB01370842","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.",,,"","1714","","L.J.T. Cardoso; O. Samor; D. Belmont & A. Santiago",2017,3,9,"Brazil","Rio de Janeiro","Macaé","Restinga da Praia do Lagomar, entre a Rod. Amaral Peixoto (RJ-106) e a Av. Atlântica e a Rua Ercília da Silva Santos e a Av. W seis . Coordenadas próximas ao ponto de coleta (WGS84). Fragmento de restinga em bom estado de conservação.",-22.320833,-41.719444,"Folhas coriáceas, revolutas; frutos secos. Frequente.","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","UFES","VIES","24076","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","Gomes, J.M.L.",2017,"","15","","Guarnier, J.C.; Mota, R.H. & Dutra, V.F.",2017,5,15,"Brazil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha. Trilha do Mirante, entrada à 750 metros da Trilha Principal.",,,,"Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","39301","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","Machado, WJ",2016,"","1305","","Machado, WJ; Moura, KM",2016,9,5,"Brazil","Sergipe","Itabaiana","Parque Nacional Serra de Itabaiana",-10.45138,-37.2021,"Árvore 6m, botões florais verdes, flores tubulares brancas na base e verdes no ápice, estames castanhos, frutos deiscentes verdes (imaturos) e castanhos (maduros).; Areias brancas","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","JBRJ","RB","RB01413171","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","M.R. Fantinati",2016,"","145","","M. Fantinati",2016,9,17,"Brazil","Bahia","Morro do Chapéu","Vila do Ventura.",-11.685,-41.027778,,"Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","126370","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","Guedes, ML",2017,"","25082","","Guedes, ML; Barbosa, MCF; Sales, EF; Teixeira, Lde J",2016,10,20,"Brazil","Bahia","Lauro de Freitas","UNIDUNAS, parcela nº3.",-12.92,-38.318333,"Folhas coriáceas, discolores, revolutas.Frutos passados, cápsula.","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","JBRJ","RB","RB01399768","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","I.G. Costa",2015,"","733","","I.G. Costa",2015,8,22,"Brazil","Espírito Santo","Presidente Kennedy","Localdiade de Neves. Restinga Santuário das  Neves;.",-21.235833,-40.985,"Lâmina papirácea esverdeada. pedicelo esverdeado; cáliece e corola esbranquiçados;","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113629","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","Guedes, ML",2014,"","21996","","Guedes, ML; Souza, IF",2014,4,13,"Brazil","Bahia","Camamu","Litoral Sul, Ponto 01",-13.902222,-38.944167,"Folhas coriáceas, discolores, margem revoluta. Frutos maduros, cápsulas.","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","MBM","MBM","398311","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","Saavedra, MM",2014,"","67","","Scarponi, TM",2014,8,4,"Brazil","Rio de Janeiro","Quissamã","Conglomerado 256-2-2-4. Proj.: Inventário Florestal Nacional",-22.140003,-41.400006,"Árvore de 3,6 metro de altura, casca internamente creme, externamente cinza escuro, grossa, reticulada. Base reta. Flores amarelas, pendentes, cheirosas. Fruto imaturo, com 0,5 centímetros, redonso (cápsula), externamente cinza escur","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
"","JBRJ","RB","RB00905013","Agarista revoluta","","Ericaceae","Agarista","revoluta","","(Spreng.) J.D. Hook. ex Nied.","M. M. Saavedra",,"","s/n","","Mendonça-Junior, J. O.; Mendonça, C. R.",2014,8,4,"Brazil","Rio de Janeiro","Quissamã","Conglomerado 254-3-10-6-R. UTM E(247858m) N(7547156m). Fuso do GPS (24K).",,,"Arbusto com 1,5 m. de altura, base reta. Flor branca.","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","",,"GBIF"
