"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","41262","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.",,,"","JAC 535","","Gurtler, J.; Dutra, S.C.",2018,2,23,"Brazil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P6).",-18.7825,-40.440556,,"Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","UEFS","HUEFS","242907","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.",,,"","2804","","Costa-Lima, J.L.",2017,3,17,"Brazil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental (APA) Pedra do Elefante, no caminho para a Pedra do Elefante.",-18.773889,-40.450556,,"Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","38426","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.","Déda, RM",,"","480","","Déda, RM; Santos, E; Silva, AS",2017,4,11,"Brazil","Sergipe","Laranjeiras","Área de reflorestamento misto da Fábrica CIMESA",-10.4923,-37.0939,"Arbusto com cerca de 1,7 m.; Mata Atlântica.","Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15565","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.","Geovane S. Siqueira",2016,"","1108","","Siqueira, G.S.",2016,1,28,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Epadú amarelo","Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","UEFS","HUEFS","226121","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.","J.L.Costa-Lima",2018,"","3","","Argôlo, B.F.S.",2016,1,6,"Brazil","Bahia","Una","BA-676, Estrada Una/Colonia de Una, Km 8, Sítio Esmeralda.",-15.263611,-39.146667,"Área de mata fechada.","Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153166","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.","R. Asprino & J.L. Costa-Lima",,"","57","","Schulte, T.F.",2016,2,19,"Brazil","Bahia","AMARGOSA","Conglomerado BA_899-1-10-8RN",-13.030278,-39.604722,"<ll>dwc_commonname:</ll>","Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","UFES","VIES","38854","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.",,,"","1812","","Alves-Araújo, A.; Pena, N.T.L.",2016,3,7,"Brazil","Espírito Santo","Nova Venécia","APA Pedra do Elefante.",,,,"Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","UEFS","HUEFS","222984","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.","Costa-Lima, J.L.",2018,"","2355","","Costa-Lima, J.L.",2016,6,15,"Brazil","Pernambuco","Vertentes","Serra da Taquara, Rampa do Pepê, ca. de 2,6 Km a E da sede municipal de Taquaritinga do Norte/PE, acesso pelo rua atrás da Igreja Matriz.",-7.907778,-36.019167,"Afloramento rochoso granito-gnáissico e floresta estacional semidecídua de terras altas no entorno (""brejo de altitude"").","Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","UEFS","HUEFS","242658","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.",,,"","2485","","Costa-Lima, J.L.",2016,8,26,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale, ao longo da Trilha do Flamengo.",-19.181389,-39.938889,,"Erythroxylum affine A.St.-Hil.","",,"GBIF"
"","UEFS","HUEFS","242660","Erythroxylum affine","","Erythroxylaceae","Erythroxylum","affine","","A.St.-Hil.",,,"","2487","","Costa-Lima, J.L.",2016,8,26,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale, ao longo da Trilha do Flamengo.",-19.181389,-39.938889,,"Erythroxylum affine A.St.-Hil.","",,"GBIF"
