"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","24942","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman",,,"","5090","","Aona, L.Y.S.; Costa, G.; E.H. Souza; Vitório, C.D.P.; Fonseca, W.O.",2019,2,23,"Brazil","Bahia","Ilhéus",,,,"PM 70","Erythroxylum andrei Plowman","",,"GBIF"
"","UEFS","HUEFS","244719","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","J.L.Costa-Lima",2019,"","1175","","Marinho, L.C.",2015,11,30,"Brazil","Bahia","Camamu","Estrada para Cajaíba, solo arenoso (restinga), ramal em direção à orla (em direção à casa abandonada).",-14.013611,-39.011944,"Restinga","Erythroxylum andrei Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","142551","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","Sem Informação",,"","91","","Fernandes, M.H.",2014,11,16,"Brazil","Bahia","TREMEDAL","Conglomerado BA_1308-1-10-R",-15.119722,-41.580278,"Duplicatas: NAO","Erythroxylum andrei Plowman","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","27857","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","Costa-Lima, JL",2013,"","298","","Farias, MCV; Santos, E; Souza, CAS; Melo, L; Fonseca, AR",2013,1,18,"Brazil","Sergipe","Japaratuba","Povoado São José, Margem direita da rodovia.",-10.3536,-36.5624,"Inflorescência com estames amarelos.&nf;UTM 730508; 8820380; Restinga. Formação Arbustiva Fechada. Solo arenoso.","Erythroxylum andrei Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","144105","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","J. L. Costa-Lima",,"","204","","T. Araújo",2013,4,15,"Brazil","Bahia","PRADO","PARNA do Descobrimento.",-17.085833,-39.321944,,"Erythroxylum andrei Plowman","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","58099","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","Costa-Lima, J.L.",2013,"","908","","Costa-Lima, J.L.",2013,4,3,"Brazil","Alagoas","Barra de São Miguel","restinga às margens da Al-101, ca. 10km ao S de Massaguera.",-9.808333,-35.874722,"Subarbusto, ca. 1m; folhas cartáceas, discolores, face superior e inferior verde-clara; material estéril, tratado com álcool 70% e cânfora.","Erythroxylum andrei Plowman","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","58000","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","Loiola, M.I.B.; Costa-Lima, J.L.",2015,"","902","","Costa-Lima, J.L.",2013,4,1,"Brazil","Alagoas","Murici","Estação Ecológica de Murici, Mata da Bananeira.",-9.223611,-35.879444,"Arbusto, ca. 2m; folhas cartáceas, lúcidas, levemente discolores in vivo, verde-claras; flores longistilas albas; material tratado com álcool 70% e cânfora.; Floresta estacional semidecídua de terras altas.","Erythroxylum andrei Plowman","",,"GBIF"
"","UEFS","HUEFS","218955","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman",,,"","902","","Costa-Lima, J.L.",2013,4,1,"Brazil","Alagoas","Murici","Estação Ecológica de Murici, Mata Da Bananeira.",-9.223611,-33.879444,"Floresta Estacional Semidecícua de Terras Altas.","Erythroxylum andrei Plowman","",,"GBIF"
"","IPA","IPA","90612","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","Loiola, M.I.B.; Costa-Lima, J.L.",2015,"","902","","Costa-Lima, J.L.; Pessoa, E.; Amorim, B.S.; Pessoa, E.; Amorim, B.S.",2013,4,1,"Brazil","Alagoas","Murici","Estação Ecológica de Murici",-9.223611,-35.879444,"Arbustivo ca. 2m de altura. Folha cartáceas, lúcidas, levemente discolores in vivo, verde-claras. Flores longístilas alvas.; Mata da bananeira. Floresta Estacional Semidecídua de Terras Altas.","Erythroxylum andrei Plowman","",,"GBIF"
"","F","Botany","V0365431F","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman",,,"","902","","J. L. Costa-Lima",2013,4,1,"Brazil","Alagoas",,"Murici, Estacao Ecologica de Murici, Mata da Bananeira.",-9.2236,-35.8794,,"Erythroxylum andrei Plowman","",,"GBIF"
"","JBRJ","RB","RB01013382","Erythroxylum andrei","","Erythroxylaceae","Erythroxylum","andrei","","Plowman","J.L. Costa-Lima et M.I.B. Loiola",2015,"","902","","J.L. Costa-Lima; E. Pessoa; B.S. Amorim",2013,4,1,"Brazil","Alagoas","Murici","Estação Ecológica de Murici, Mata da Bananeira.",-9.223611,-35.879444,"Arbustivo, ca. 2,0m alt. Folhas cartáceas, lúcidas, levemente discolores in vivo, verde-claras. Flores longistilas alvas","Erythroxylum andrei Plowman","",,"GBIF"
