"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNIVASF","HVASF","22162","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","J.L. Costa-Lima",2014,"","3243","","A.C.P. Oliveira",2014,2,3,"Brazil","Pernambuco","Arcoverde","Serra das Varas, ca. de 2 Km ao Sul da localidade Caraíbas de Cima. Brejo de altitude (Floresta Estacional Semidecídua de Terras Altas)",-8.44275,-36.96475,"Arbustivo, ca. de 2,0 m alt., no interior da mata. Folhas cartáceas, discolores, face superior verde-escura, inferior verde-clara. Flores passadas.","Erythroxylum columbinum Mart.","",,"GBIF"
"","UNIVASF","HVASF","22151","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","J.L. Costa-Lima",2014,"","3232","","A.C.P. Oliveira",2014,2,3,"Brazil","Pernambuco","Arcoverde","Serra das Varas, ca. de 2 Km ao Sul da localidade Caraíbas de Cima. Brejo de altitude (Floresta Estacional Semidecídua de Terras Altas)",-8.44275,-36.96475,"Arbustivo no interior da mata, ca. 2,0 m alt.. Folhas discolores, face superior verde-escura, lúcida, inferior verde-clara. Frutos imaturos verdes.","Erythroxylum columbinum Mart.","",,"GBIF"
"","UEFS","HUEFS","242580","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.",,,"","1969","","Costa-Lima, J.L.",2014,11,29,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica Estadual de Wenceslau Guimarães, acesso pela Comunidade Nova Esperança.",-13.59,-39.715556,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133202","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Gomes, FS",2013,"","1677","","Gomes, FS",2013,3,25,"Brazil","Bahia","Belmonte",,-15.818611,-39.243889,"Folhas cartáceas, catáfilos longos. Flores passadas. 171.1, parcela 04.","Erythroxylum columbinum Mart.","",,"GBIF"
"","UFES","VIES","36609","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Costa-Lima, J.L.",2016,"","778","","Ribeiro, M.; Silva, W.B.",2012,2,2,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 4 ao 13 da estrada interna.",,,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","UEFS","HUEFS","196303","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","J.L.Costa-Lima",2014,"","15351","","Queiroz, L.P.de",2012,3,13,"Brazil","Bahia","Itaberaba","Fazenda Leão dos Brejos. Localidade Gameleira, ca. 6 Km N do entroncamento com a BR-242, após a Fazenda Monte Verde e a Escola Ulysses Guimarães.",-12.4125,-40.526667,"Floresta Estacional Semi-decidual.","Erythroxylum columbinum Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","141031","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Sem Informação",,"","282","","Lopes, L.C.M.",2012,5,26,"Brazil","Bahia","UNA",,,,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","JBRJ","RB","RB00549378","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","J.L. Costa-Lima",,"","5124","","P.H. Labiak; P.B. Schwartsburd, A.P. Fontana & L.J.C. Kollmann",2009,1,15,"Brazil","Espírito Santo","Nova Venécia","Fazenda Neblina, trilha que margeia a montanha. . APA da Pedra do Elefante",-18.786944,-40.445555,"Árvore ca. 10 m altura. Frutos vináceo-escuros","Erythroxylum columbinum Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","81683","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","P. Fiaschi",,"","2578","","A. M. Amorim",2009,11,9,"Brazil","Bahia","JUSSARÍ","Rod. Jussari/Palmira. Entrada ca. 7,5Km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso.",-15.158056,-39.528611,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56746","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Costa-Lima, J.L.",2014,"","7135","","Lombardi, J.A.",2008,1,24,"Brazil","Espírito Santo","São Gabriel da Palha","sítio Lorenzoni, córrego Bely, divisa Vila Valério, borda de trilha; mata atlântica degradada.",,,"Arbusto, 2,1m; folhas cartáceas, lustrosas; flores brancas.; Mata atlântica.","Erythroxylum columbinum Mart.","",,"GBIF"
"","UFES","VIES","12672","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Costa-Lima, J.L.",2014,"","7135","","Lombardi, J.A.; Lorenzi, H.; Tsuji, R. & Lorenzoni, L.",2008,1,24,"Brazil","Espírito Santo","São Gabriel da Palha","Sítio Lorenzoni.",,,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","JBRJ","RB","RB00525431","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Maria Iracema Bezerra Loiola",,"","4875","","A.P. Fontana; L. Kollmann & C. N. Fraga",2008,2,19,"Brazil","Espírito Santo","Nova Venécia","Serra de Baixo, Pedra do Elefante. Inselbergue.",-18.766944,-40.4625,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","IPA","IPA","73114","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Costa-Lima, J.L.",2012,"","2572","","Rita Pereira; Bocage, A.; Albuquerque, N.A.; Maciel, J.R.; Marques, J.S.; Cano,; Bocage, A.; Albuquerque, N.A.; Maciel, J.R.; Marques, J.S.; Cano, O.; Costa e S",2006,2,21,"Brazil","Pernambuco","Arcoverde","Serra das Varas, Mata da Torre - no meio da subida da trilha principal.",-8.4285,-37.012056,,"Erythroxylum columbinum Mart.","",,"GBIF"
"","IPA","IPA","73115","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","Costa-Lima, J.L.",2012,"","2573","","Rita Pereira; Bocage, A.; Albuquerque, N.A.; Maciel, J.R.; Marques, J.S.; Cano,; Bocage, A.; Albuquerque, N.A.; Maciel, J.R.; Marques, J.S.; Cano, O.; Costa e S",2006,2,21,"Brazil","Pernambuco","Arcoverde","Serra das Varas, Mata da Torre - na subida da mata.",-8.4285,-37.012056,"Árvore.","Erythroxylum columbinum Mart.","",,"GBIF"
"","UEFS","HUEFS","137025","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","J.L.Costa-Lima",2012,"","2574","","Pereira, R.",2006,2,21,"Brazil","Pernambuco","Arcoverde","Serra das Varas. Mata da Torre - na descida da mata.",,,"Caatinga.","Erythroxylum columbinum Mart.","",,"GBIF"
"","UEFS","HUEFS","137026","Erythroxylum columbinum","","Erythroxylaceae","Erythroxylum","columbinum","","Mart.","J.L.Costa-Lima",2012,"","2572","","Pereira, R.",2006,2,21,"Brazil","Pernambuco","Arcoverde","Serra das Varas. Mata da Torre - no meio da subida da trilha principal.",,,"Caatinga.","Erythroxylum columbinum Mart.","",,"GBIF"
