"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01403546","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","D.N.S.Machado",2018,"","2350","","D.N.S.Machado; L.R.Caires",2018,8,10,"Brazil","Rio de Janeiro","Maricá","Itaipuaçu. Monumento Natural Municipal da Pedra de Itaocaia. Acesso pela Estrada de Itaipuaçu e pela Rua Cinco.",-22.938889,-42.963056,,"Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB01331595","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","D.N.S. Machado",2017,"","959","","D.N.S. Machado; G.A. de Queiroz",2016,7,17,"Brazil","Rio de Janeiro","Maricá","Pindobas, Pedra do Macaco, trilha principal",-22.926111,-42.894167,,"Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB01198232","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","D. N. S. Machado",,"","1108","","P. Rosa; C. Baez, A.A.M. de Barros, M. Moraes, E. Fernadez.",2016,11,11,"Brazil","Rio de Janeiro","Maricá","Subida para a Pedra do Elefante na trilha do Alto Mourão. Início da trilha. Mata secundária, lado esquerdo. Parque Estadual da Serra da Tiririca",-22.963889,-43.005278,"Terrícola, heliófila. Caule castanho, brácteas castanhas. Folhas membranáceas verdes discolores, sendo a face adaxial mais escura e apresenta as nervuras verde-claras. Frutos com pedúculo verde, restos do cálice castanhos e pericarpo variando segundo a maturação: verde, avermelhado e arroxeado brilhante. Frequente.","Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","UEFS","HUEFS","241551","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","D.N.S.Machado",2017,"","1108","","Rosa, P.",2016,11,11,"Brazil","Rio de Janeiro","Maricá","Parque Estadual da Serra da Tiririca. Subida para a Pedra do Elefante na trilha do Alto Mourão. Início da trilha.",-22.963889,-43.005278,"Mata secundária, lado esquerdo.","Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB01224831","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","A.A.M. de Barros",,"","365","","D.N.S. Machado; et al",2014,1,31,"Brazil","Rio de Janeiro","Rio de Janeiro","Bangu, Parque Municipal Natural do Mendanha, na sede do Parque, próximo ao portão principal",-22.835833,-43.508889,,"Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB01113725","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","Ana Angélica M. de Barros",2014,"","467","","D.N.S. Machado; A.A.M. de Barros; J.A.L. Pontes; T.S. Mendes; L.R. Caires; L.A.G. Motta; J.V. Maciel; C.P. Bijalba; D.M. Duarte; J.C. Batista; L.B. Oliveira",2014,12,12,"Brazil","Rio de Janeiro","Rio de Janeiro","Bangu, Parque Municipal Natural do Mendanha na sede do Parque margem do Rio Pecador.",-22.835833,-43.508889,"Arbusto com cerca de 4,0 cm de altura, heliófila, folhas cartáceas discolores verdes, frutos verdes e vermelhos.","Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","147612","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","J. L. Costa-Lima",,"","3840","","P. Fiaschi",2012,1,12,"Brazil","Rio de Janeiro","ITATIAIA","Parque Nacional do Itatiaia. Estrada de acesso ao centro de Visitantes.",-22.433333,-44.6,,"Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB01018972","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","J.L. Costa-Lima",,"","784","","J.L. Costa-Lima",2012,11,7,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, mata nas proximidades de uma trilha.",-22.426944,-44.617778,"Arbustivo, ca. 2,0m alt. Estípulas e catafilos membranácos, ferrugíneo-acastanhos. Folhas membranáceas, discolores, face superior verde-escura, inferior gluacescente. Botões verde-amarelados","Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","63357","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","Costa-Lima, J.L.",2012,"","784","","Costa-Lima, J.L.",2012,11,7,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional do Itatiaia, mata nas proximidades de uma trilha",-22.426944,-44.617778,"Arbustivo, ca. 2,0 m alt. Estípulas e catáfilos membranáceos, ferrugíneo-acastanhados. Folhas membranáceas, discolores, face superior verde-escura, inferior glaucescente. Botões verde-amarelados.","Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
"","MBML","MBML-HERBARIO","48244","Erythroxylum frangulifolium","","Erythroxylaceae","Erythroxylum","frangulifolium","","A.St.-Hil.","J.L. Costa-Lima/22-05-2015",,"","3338","","P.L.R. de Moraes; M.N. Saka, J.G. Rohwer & L.P. Poli",2011,9,3,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho. Trilha das Canelas",-23.882778,-47.997222,"Arvoreta ca 2m. Folhas papiráceas, tépalas e anteras brancas","Erythroxylum frangulifolium A.St.-Hil.","",,"GBIF"
