"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","151088","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","L. Daneu",,"","66","","Paulino, R.C.",2014,11,26,"Brazil","Bahia","POTIRAGUÁ","Conglomerado BA_1366-4-10-3 R",-15.840278,-39.779722,"<ll>dwc_commonname:</ll>","Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","140507","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","Sem Informação",,"","206","","T. Araújo",2013,4,17,"Brazil","Bahia","PORTO SEGURO","Reserva Indígena Pataxó, localizada na estrada entre Porto Seguro e Arraial d#?#ajuda",-16.4825,-39.119722,,"Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","UFES","VIES","22158","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","Costa-Lima, J.L.",2014,"","362","","Silva, L.A.",2013,6,12,"Brazil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema.",,,,"Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","UFES","VIES","22159","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","Costa-Lima, J.L.",2014,"","358","","Silva, L.A.",2013,6,12,"Brazil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema.",,,,"Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","56754","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","Costa-Lima, J.L.",2014,"","107","","Silva, L.A.",2012,2,8,"Brazil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema, afloramento rochoso ao norte do paque e trilha ao lado do posto da polícia.",,,,"Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","UFES","VIES","26430","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","Costa-Lima, J.L.",2014,"","107","","Silva, L.A.; Dutra, V.F.; Cardoso, W.C.; Iglesias, D.T. & Barros, P.H.D.",2012,2,8,"Brazil","Espírito Santo","Vila Velha","Parque Natural Municipal de Jacarenema.",,,,"Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","140510","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","Sem Informação",,"","83","","T. Araújo",2011,6,20,"Brazil","Bahia","arataca","Serra das Lontras",-15.178333,-39.335833,,"Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","MBML","MBML-HERBARIO","43864","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","J.L. Costa Lima/28-V-2014",,"","610","","L. Daneu; P. Leitman, J. Paixão, L.C. Gomes & M.Melito",2011,11,14,"Brazil","Bahia","Arataca","PARNA de Serra das Lontras. Trilha do mirante de seu Artur. Floresta Ombrófila Densa Montana",-15.201389,-39.380278,"Árvore ca 7m alt. Folhas verde escura com a face inferior mais clara. Flores creme","Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","JBRJ","RB","RB00756227","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","J.L. Costa-Lima",2015,"","610","","L. Daneu; P. Leitman; J. Paixão; L.C. Gomes; M. Melito",2011,11,14,"Brazil","Bahia","Arataca","PARNA de Serra das Lontras. Trilha do mirante do Seu Artur.",-15.201389,-39.380278,"Árvore, ca. 7m alt. Folhas verde-escura com a face inferior mais clara. Flores creme","Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
"","JBRJ","RB","RB00756250","Erythroxylum hamigerum","","Erythroxylaceae","Erythroxylum","hamigerum","","O.E.Schulz","J.L. Costa-Lima",2015,"","645","","L. Daneu; P. Leitman; J. Paixão; D. Monteiro; M.F. Santos",2011,11,26,"Brazil","Bahia","Arataca","Parna Serra das Lontras. (Novo Javi).",-15.161944,-39.343611,"Arbusto, ca. 4m alt. Folhas verde-escura com a face inferior mais clara. Flores creme","Erythroxylum hamigerum O.E.Schulz","",,"GBIF"
