"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNIVASF","HVASF","23685","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.","J.L. Costa-Lima",2018,"","192","","E.D.S. Almeida",2017,12,16,"Brazil","Bahia","Sento Sé","Brejo do Mocó, estrada de Sento Sé sentido Umburanas",-10.368527,-41.419222,"Arbusto ca. 3,5 m alt. Frutos diminutos, próximo aos pecíolos das folhas.","Erythroxylum macrocalyx Mart.","",,"GBIF"
"","JBRJ","RB","RB01358965","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.","J.L. Costa-Lima",2017,"","45","","Schulte, T. F.",2016,2,19,"Brazil","Bahia","Amargosa","Conglomerado BA_899-1-9-20",-13.030278,-39.604722,"Árvore","Erythroxylum macrocalyx Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153154","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.","J.L. Costa-Lima",,"","45","","Schulte, T.F.",2016,2,19,"Brazil","Bahia","AMARGOSA","Conglomerado BA_899-1-9-20",-13.030278,-39.604722,"<ll>dwc_commonname:</ll>","Erythroxylum macrocalyx Mart.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","123486","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.","Guedes, ML",2016,"","24486","","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS",2016,3,25,"Brazil","Bahia","Morro do Chapéu","Caminho de Volta Nova para o Ventura.",-11.216667,-41.15,"Folhas cartáceas, discolores. Flores axilares, cálice verde acrescente. Frutos imaturos.","Erythroxylum macrocalyx Mart.","",,"GBIF"
"","JBRJ","RB","RB01195198","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.","M.L. Guedes",,"","24486","","M.L. Guedes; E. Velloso; M. Casaes; F. Araújo; F. Costa",2016,3,25,"Brazil","Bahia","Morro do Chapéu","Chapada Diamantina, Caminho de Volta Nova para o Ventura.",-11.216667,-41.15,,"Erythroxylum macrocalyx Mart.","",,"GBIF"
"","UEFS","HUEFS","242662","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.",,,"","2489","","Costa-Lima, J.L.",2016,8,26,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale, ao longo da Trilha do Flamengo.",-19.181389,-39.938889,,"Erythroxylum macrocalyx Mart.","",,"GBIF"
"","UEFS","HUEFS","242673","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.",,,"","2500","","Costa-Lima, J.L.",2016,8,27,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale, ao longo da Trilha Cinco Folhas.",-19.145,-40.067222,,"Erythroxylum macrocalyx Mart.","",,"GBIF"
"","UEFS","HUEFS","242741","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.",,,"","2568","","Costa-Lima, J.L.",2016,10,26,"Brazil","Bahia","Jequié","Mata estacional no topo do Morro das Torres",-13.891111,-40.123611,,"Erythroxylum macrocalyx Mart.","",,"GBIF"
"","UEFS","HUEFS","242797","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.",,,"","2625","","Costa-Lima, J.L.",2016,10,30,"Brazil","Bahia","Licínio de Almeida","Serra do Jambreiro.",-14.561389,-42.531389,,"Erythroxylum macrocalyx Mart.","",,"GBIF"
"","UEFS","HUEFS","218347","Erythroxylum macrocalyx","","Erythroxylaceae","Erythroxylum","macrocalyx","","Mart.","J.L.Costa-Lima",2018,"","50","","Mascarenhas, A.A.S.",2015,1,20,"Brazil","Bahia","Arataca","Serra das Lontras, sentido vertente oposta à fazenda do Dr. Cáritas.",-15.202778,-39.408056,,"Erythroxylum macrocalyx Mart.","",,"GBIF"
