"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","24358","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","74","","Sousa, T.; Martins, M.L.L.",2019,4,15,"Brazil","Bahia","Sapeaçú","Mata de Simão e Rufino;",,,"arbusto","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","136394","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz","Guedes, ML",2019,"","31691","","Guedes, ML; Alunos de Botânica Econômica",2019,6,1,"Brazil","Bahia","Igrapiúna","Reserva Espinita..",-14.47,-39.266944,"Folhas grandes (10-20,6 (28) mm compr.), em geral elíptico-ovais, com ápice agudo e base aguda e arredondada e bractéolas paleáceas, largamente triangulares e estriadas, pecíolo relativamente longo (6-13 mm compr.) e as estípulas com","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","UEFS","HUEFS","247387","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz","J.L.Costa-Lima",2019,"","2208","","Martins, M.L.L.",2018,3,9,"Brazil","Bahia","Jiquiriçá","Arredores da Cachoeira dos Amores.",,,"Mata Estacional Semidecidual, próxima a um pastagem.","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","127895","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz","Guedes, ML",2017,"","25577","","Guedes, ML; Maia Neto, AL; Alunos de Botânica BIOC05",2017,4,2,"Brazil","Bahia","Igrapiúna","Litoral Sul, Reserva Espinita, Cacau da Baixa e Trilha do Carneiro.",-13.877222,-39.156111,"Folhas coriáceas, discolores. Inflorescência axilares, flores em botões. Frutos imaturos.","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","38569","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz","Nunes, SS",2017,"","240","","Nunes, SS; Santos, E; Farias, MCV",2017,5,4,"Brazil","Sergipe","Cristinápolis","Assentamento Sao Roque",-10.29143,-36.27417,"Arbusto ca. 2,5m. Frutos maduros vináceos. Inflorescência creme.; Mata Atlântica","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","UESB","HUESB","13262","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","240","","Nunes, C.; Santos, E.; Farias, M.C.V.; Santos, E.; Farias, M.C.V.",2017,5,4,"Brazil","Sergipe","Cristinápolis","Assentamento São Roque",-10.487222,-36.461667,"Arbusto ca 2,5 m de alt. Inflorescência creme. Fruto maduros vináceos.","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","UFRB","HURB","17277","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","259","","Moreira, D.M.; Vitório, C.D.P. & Simões, S.S.",2017,10,19,"Brazil","Bahia","São Felipe","Serra da Copioba;",,,,"Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","UEFS","HUEFS","247605","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","259","","Moreira, D.M.",2017,10,19,"Brazil","Bahia","São Felipe","Serra da Copioba.",,,,"Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","UNICAMP","UEC","201964","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","259","","Moreira, DM; et al.",2017,10,19,"Brazil","Bahia","São Felipe","Serra da Copioba.",,,"Arvoreta.; Mata Atlântica.","Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","135839","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","259","","Moreira, DM; Vitório, CDP; Simões, SS",2017,10,19,"Brazil","Bahia","São Filipe","Serra da Copioba.",,,,"Erythroxylum nobile O.E.Schulz","",,"GBIF"
"","MO","MO","100899667","Erythroxylum nobile","","Erythroxylaceae","Erythroxylum","nobile","","O.E.Schulz",,,"","Ratovoson 2278","","F. Ratovoson",2016,2,22,"Madagascar","Fianarantsoa",,"VANGAINDRANO – TSIANOFANA – 3 km sud de Tsianofana – AP Agnakatrika",-23.447778,47.505833,,"Erythroxylum nobile O.E.Schulz","",,"GBIF"
