"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IPA","IPA","92445","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","Cano, O.",2016,"","28","","Santos, E.G. dos",2016,3,,"Brazil","Pernambuco","São Lourenço da Mata","Refúgio de Vida Silvestre Mata do Toró., Trilha principal da Mata do Toró. Em pleno sol.",,,"Material Botânico em estudo para Tese de Doutorado. PPGB/ Ecologia de Ecossistemas Terrestres UFRPE. Título da Tese: ""Ecologia de lianas em fragmentos de Florestas Ombrófila e Estacional no domínio Atlântico de Pernambuco"", Orientado","Erythroxylum ochranthum Mart.","",,"GBIF"
"","UFPB","JPB","63823","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","Costa-Lima, JL",2016,"","290","","Luna, NK; Córdula, E; Silva, FP; Lucena, DS",2016,5,19,"Brazil","Pernambuco","Sirinhaém","Mata Gindaí, Barragem, borda",-8,-35,"Arvoreta 1,5 cm alt., frutos laranjas avermelhados; HABITAT: Mata Atlântica","Erythroxylum ochranthum Mart.","",,"GBIF"
"","UEFS","HUEFS","242597","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.",,,"","2424","","Costa-Lima, J.L.",2016,7,29,"Brazil","Bahia","Una","Reserva Biológica (Rebio) de Una, ao longo da trilha que acompanha o curso do Rio Maruim, no sentido a montante.",-15.165833,-39.069167,,"Erythroxylum ochranthum Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","136537","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","J. L. Costa-Lima",,"","3502","","P. Fiaschi",2011,1,21,"Brazil","Espírito Santo","SANTA TERESA","São João de Petrópolis. Instituto Federal do Espírito santo (antiga Escola Agrotécnica), margem da ES-080, Vale de São Brás.",-19.803889,-40.688333,,"Erythroxylum ochranthum Mart.","",,"GBIF"
"","JBRJ","RB","RB00682380","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","J.L. Costa-Lima",2015,"","3502","","P.Fiaschi; J.R. Pirani; J.H.L.E. Ottra & V. Augusto",2011,1,21,"Brazil","Espírito Santo","Santa Teresa","São João de Petrópolis. Instituto Federal do Espírito Santo ( antiga Escola Agrotécnica Federal de St. Teresa ), margem da ES-080; Vale de São Brás .",-19.803889,-40.688333,"Com pau d´alho ( Gallesia integrifolia ), Cnidosculus pubescens, Brasiliopuntia brasiliensis","Erythroxylum ochranthum Mart.","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","16632","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","J.L.Costa-Lima",2016,"","s.n.","","E.P.Vitória",2008,4,18,"Brazil","Pernambuco","Camutanga","Fazenda Engenho Guararema",,,"Arvoreta ca. 5 m alt.; caule com 19,5 cm de circunferência.","Erythroxylum ochranthum Mart.","",,"GBIF"
"","IMA","MAC","29792","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","J.L.Costa-Lima",2016,"","10088","","R.P.Lyra-Lemos; et al.",2007,3,29,"Brazil","Alagoas","Mar Vermelho","Fazenda Canadá, (RPPN com área de 828ha, altIitude regional 540m)",-9.480367,-36.382306,"Árvore ca. de 3m de altura. Frutos marrons.; Mata Serrana de Brejo de altitude.","Erythroxylum ochranthum Mart.","",,"GBIF"
"","MBML","MBML-HERBARIO","31470","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","J.L. Costa Lima/28-V-2014",,"","3347","","R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz",2007,8,29,"Brazil","Espírito Santo","Santa Leopoldina","Colina Verde, Morro do Agudo",-20.106111,-40.434861,"Arvore 4m, flores com sépalas de cor verde pétalas e estames de cor branca. Topo.","Erythroxylum ochranthum Mart.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","10074","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","Loiola, MIB; Cordeiro, LS",2010,"","304","","Izabel, A; Gomes, R",2005,4,27,"Brazil","Alagoas","São Miguel dos Milagres","Povoado Porto da Rua",-9.1557,-35.2222,"árvore. 3. m. Botões amarelos, frutos verdes.; árvore. 3. m. Botões amarelos, frutos verdes.; Mangue","Erythroxylum ochranthum Mart.","",,"GBIF"
"","IMA","MAC","22918","Erythroxylum ochranthum","","Erythroxylaceae","Erythroxylum","ochranthum","","Mart.","M.I.B.Loiola",2008,"","8612","","R.P.Lyra-Lemos; Cavalcante, F",2005,5,18,"Brazil","Alagoas","Matriz do Camaragibe","Santuário Ecológico da Serra D'água.",-9.09725,-35.587669,"Árvore ca. de 3m de altura. Botões florais esverdeados.; Mata Atlântica secundária.","Erythroxylum ochranthum Mart.","",,"GBIF"
