"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","124885","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","Costa-Lima, JL",2016,"","24786","","Guedes, ML; Alunos de Botânica Econômica",2016,3,27,"Brazil","Bahia","Boa Vista do Tupim","Fazenda Esperança.",-12.65,-40.6,"Folhas discolores, cartáceas. Frutos jovens.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113130","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","Guedes, ML",2014,"","21239","","Guedes, ML; Costa, TF; Alunos de Botânica III",2014,1,18,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Capão do Pinho, Vila Ecológica Catinguara.",-11.6,-41.016667,"Folhas cartáceas, discolores. Flores alvas. Frutos imaturos verdes.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","UFRB","HURB","8217","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","J.L.Costa-Lima",2016,"","21239","","Guedes, M.L.; et al.",2014,1,18,"Brazil","Bahia","Morro do Chapéu","Capão do Pinho; Vila Ecológica Catinguara",-11.6,-41.016667,,"Erythroxylum polygonoides Mart.","",,"GBIF"
"","UEFS","HUEFS","207165","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.",,,"","12837","","Melo, E.",2014,4,21,"Brazil","Bahia","Piatã","Estrada de terra para a Mineração.",-13.120556,-41.698889,"Cerrado.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","UEFS","HUEFS","224023","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.",,,"","1976","","Costa-Lima, J.L.",2014,12,22,"Brazil","Bahia","Jequié","Fazenda Brejo Novo, ca. de 10,5 Km ao S da sede municipal, acesso pela Av. Exupério Miranda.",-13.938889,-40.108056,,"Erythroxylum polygonoides Mart.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","108262","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","Costa-Lima, JL",2015,"","3985","","Roque, N; Alunos de Botânica III",2013,4,21,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Norte da UC. Monumento Natural Cachoeira do Ferro Doido de Gestão do INEMA-SEMA.",-11.608056,-40.998889,"ca. 1m alt. Sépalas verdes, corola alva, frutos verdes passando a amarelados.; semi decídua.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","UEFS","HUEFS","204501","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.",,,"","12383","","Melo, E.",2013,11,30,"Brazil","Bahia","Morro do Chapéu","Estrada de terra para Cachoeira Ferro Doido, Fazenda Matão.",,,"Cerradão.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","UEFS","HUEFS","182296","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","M.I.B.Loiola",2012,"","135","","Santos, J.S.",2012,1,10,"Brazil","Bahia","Lajedo do Tabocal","Mata da fazenda Mato Grosso, estrada para aterro sanitário de Lajedo do Tabocal.",,,"Mata Estacional/Mata de Cipó, solo arenoso, pederegoso.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","115791","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","Costa-Lima, JL",2015,"","62","","Ferreira, PA",2011,3,27,"Brazil","Bahia","Valença","Ponto 40",-13.342222,-39.195278,"Folhas discolores. Ramos apresentando flores e catáfilos ferrugíneos.; Floresta ombrófila densa.","Erythroxylum polygonoides Mart.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","98799","Erythroxylum polygonoides","","Erythroxylaceae","Erythroxylum","polygonoides","","Mart.","Sem Informação",,"","43","","L. J. Alves",2011,4,13,"Brazil","Bahia","ITAETÉ","Paraguaçu. Fazenda Baixão, Rio Uma.",,,,"Erythroxylum polygonoides Mart.","",,"GBIF"
