"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150378","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","L. Daneu",,"","7","","Rocha, F.O.",2014,7,19,"Brazil","Bahia","NOVA VIÇOSA","Conglomerado BA_1440-3-1-12",-17.820278,-39.780556,"<ll>dwc_commonname:</ll>","Erythroxylum splendidum Plowman","",,"GBIF"
"","UEFS","HUEFS","207205","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman",,,"","187","","Araujo, T.",2013,3,29,"Brazil","Bahia","Ituberá","Capão de mata à direita da estrada que leva à praia do Pratigi.",-13.763611,-39.025833,"Restinga arbórea.","Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","140497","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","Sem Informação",,"","187","","T. Araújo",2013,3,29,"Brazil","Bahia","ITUBERÁ","capão de mata à direita da estrada que leva à praia do Pratigi",-13.763611,-39.025833,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","UEFS","HUEFS","188688","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","M.I.B.Loiola",2012,"","2687","","Matos, E.N.de",2011,10,6,"Brazil","Bahia","Nilo Peçanha","Pratigi",-13.692778,-39.01,"Restinga. Floresta.","Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","123427","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","T. Araújo",,"","5271","","J. G. Jardim",2008,6,15,"Brazil","Bahia","ITACARÉ","Rodovia Itacaré/Maraú, 1,6Km após a balsa.",-14.228056,-39.015556,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","UEFS","HUEFS","172292","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","J.L.Costa-Lima",2012,"","5271","","Jardim, J.G.",2008,6,15,"Brazil","Bahia","Itacaré","Rodovia Itacaré/Maraú, 1,6km após a balsa.",-14.228056,-39.015556,"Restiga arbórea.","Erythroxylum splendidum Plowman","",,"GBIF"
"","USP","SPF","161839","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","Araújo, TF",2012,"","2876","","Jardim, JG",2000,2,24,"Brazil","Bahia","São Miguel das Matas",,-13.046944,-39.432222,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","38257","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","T. Plowman",,"","1953","","J. L. Hage",1996,6,29,"Brazil","Bahia","VALENÇA","Km 15 da Rod. Valença/Guaibim. Caminho para o acampamento STAL.",,,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","38255","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","T. Plowman",,"","1955","","J. L. Hage",1996,6,29,"Brazil","Bahia","VALENÇA","Km 15 da Rod. Valenca/Guaibim. Caminho p/ o acampamento STAL.",,,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","11352","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","T. Plowman",,"","17402","","R. M. Harley",1994,7,29,"Brazil","Bahia","BELMONTE","Ca. 26Km ao SW de Belmonte, Rod. p/ Itapebi, e 4Km ao longo Rod. em direção a praia.",-16.05,-39.033333,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","UEFS","HUEFS","6257","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","I.Loiola",2004,"","1955","","Hage, J.L.",1986,2,25,"Brazil","Bahia","Valença",,,,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","F","Botany","V0271379F","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","RRC ID Flag",1986,"","1955","","J. L. Hage et al.",1986,2,25,"Brazil","Bahia",,"Valenca, Km 15 da Rodovia Valenca a Guaibim",,,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","F","Botany","V0271386F","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman",,,"","1953","","J. L. Hage et al.",1986,2,25,"Brazil","Bahia",,"Valenca, Km 15 da Rodovia Valenca a Guaibim",,,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","UnB","UB","338","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","Plowman, TC",,"","12818","","Plowman, TC; Carvalho, AM",1983,2,6,"Brazil","Bahia","Valença","KM 9 Estrada Valença-Guaibim",-13.3,-39,"D5M# Bibliografia: Fieldiana Botany, New Series 19:1-41.1987. Escandente. Voucher químico.; Árvore 5m. Flor branco-creme. Fruto verde-laranja.; Restinga arbórea quase ao nível do mar. Solo: Areia branca.","Erythroxylum splendidum Plowman","",,"GBIF"
"","UnB","UB","1652","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","Incógnito",,"","12818","","Plowman, TC; Carvalho, AM",1983,2,6,"Brazil","Bahia","Valença","9 km na estrada Valença-Guaibim",-13.3,-39,"Tipo.; Árvore 5m. Flor branco-creme. Fruto vermelho-alaranjado.; Restinga arbórea. Solo: Arenoso.","Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","32438","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","T. Plowman",,"","12819","","T. Plowman",1983,2,6,"Brazil","Bahia","VALENÇA","Km 9 na estrada Valença/Guaibim.",-13.3,-39,,"Erythroxylum splendidum Plowman","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","32439","Erythroxylum splendidum","","Erythroxylaceae","Erythroxylum","splendidum","","Plowman","T. Plowman",,"","12818","","T. Plowman",1983,2,6,"Brazil","Bahia","VALENÇA","Km 9 na estrada Valença/Guaibim.",-13.3,-39,,"Erythroxylum splendidum Plowman","",,"GBIF"
