"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Regional de Blumenau, FURB","FURB","27551","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Oliveira, L.S.D.",2015,"","1629","","Stival-Santos, A.; Legal, E. & Silveira, S.",2010,2,1,"Brazil","Santa Catarina","Angelina","Rancho das Tábuas.",-27.630278,-49.049444,"Florística IFFSC 314 (Arvoreta) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; entorno do fragmento, beira de estrada Habito: arvoreta; Fruto verde;","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","376941","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2015,"","967","","Carmo, MRB",2004,9,17,"Brazil","Paraná","Tibagi","Parque Estadual do Guartelá, Capão próximo ao riacho do Pedregulho",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","376943","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2015,"","268","","Carmo, MRB",2003,8,21,"Brazil","Paraná","Tibagi","Parque Estadual do Guartelá, Próximo ao riacho do Pedregulho",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","376942","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2015,"","526","","Carmo, MRB",2003,12,5,"Brazil","Paraná","Tibagi","Parque Estadual do Guartelá",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","21289","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Rossetto, EFS",2017,"","s.n.","","Nakano, EM; Medri, IM",1997,9,12,"Brazil","Paraná","Tibagi","Canyon Guartelá-Margem do rio, Margem do rio",,,"Arbusto +- 3,5m alt; frutos verdes","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","327594","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2013,"","s.n.","","Nakano, EM; Medri, IM",1997,9,12,"Brazil","Paraná","Tibagi","Canyon Guartelá",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","327574","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2013,"","s.n.","","Barros, JC; Ito, ET",1997,9,12,"Brazil","Paraná","Tibagi","Canyon Guartelá",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","21203","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales",,,"","s.n.","","Giraldi, C",1996,9,12,"Brazil","Paraná","Tibagi","Canyon Guartelá",,,"Árvore 8,0m alt; inflorescencia verde-amareladas. Mata ciliar","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","21388","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Rossetto, EFS",2017,"","s.n.","","Hara, LN",1996,9,14,"Brazil","Paraná","Tibagi","Canyon Guartelá",,,"Árvore 7,0m alt; flor amarela esverdeada. Mata ciliar, abundante","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","K","Herbarium","K001096643","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Oliveira, L.",2015,"","21.203","","Giraldi, C.",1996,9,12,"Brazil",,,"Canyon Guartela, Tibagi",,,"Fuel: 21.203","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","UTFPR","DVPR","4566","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Rossetto, E.F.S.",2017,"","s.n.","","Hara, L.N.",1996,9,14,"Brazil","Paraná","Tibagi","Canyon Guartelá.",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","327595","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2013,"","s.n.","","Hara, LN",1996,9,14,"Brazil","Paraná","Tibagi","Canyon Guartelá",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Fundação Universidade Federal de Mato Grosso do Sul","CGMS","17765","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","L. Oliveira",,"","1817","","J.M. Silva; J. Cordeiro; C.B. Poliquesi",1996,12,13,"Brazil","Paraná","Tibagi","Cânion Guartelá.",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","334454","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2013,"","s.n.","","Cardoso, CMV; et al.",1994,11,4,"Brazil","Paraná","Tibagi","Canyon Guartelá",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","21958","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Oliveira, L.S.D. de",2015,"","5546","","Falkenberg, D.B.; Citadini-Zanette, V.",1991,9,12,"Brazil","Santa Catarina","Orleans","Rio Novo.",,,"heliófilo","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","285524","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2015,"","1698","","Zanette, VC; Aguiar, AJ",1991,11,28,"Brazil","Santa Catarina","Orleans","Rio Novo. Na beira do rio, em local mais aberto",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","19016","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Oliveira, L.S.D. de",2016,"","4868","","Falkenberg, D.B.; Albuquerque, J.L.B.",1989,11,28,"Brazil","Santa Catarina","Santo Amaro da Imperatriz","Trilha de turismo ecológico do Hotel Plaza Caldas da Imperatriz.",,,"arbusto, flor pistilada, 5m altura. glândulas externas na face inferior do limbo.","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","7829","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Rossetto, EFS",2017,"","s.n.","","Nakajima, JN; et al.",1989,12,12,"Brazil","Paraná","Tibagi","Sítio Estrela, Vale do Rio Iapó. Saltinho",,,"Arvore ca. 50m, frutos verdes","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","7821","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Rossetto, EFS",2017,"","s.n.","","Colli, S; et al.",1989,12,11,"Brazil","Paraná","Tibagi","Fazenda Charlote, margens do Rio Iapó",,,"Arvore 4,0m, frutos imaturos verdes, frequente em beira de mata","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Instituto de Botânica","SP","338834","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Cordeiro, I",2015,"","s.n.","","Colli, S; et al.",1989,12,11,"Brazil","Paraná","Tibagi","Fazenda Charlote. Margens do Rio Iapó",,,,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","19074","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Oliveira, L.S.D. de",2015,"","10736","","Klein, R.M.; Bresolin, A.",1973,1,16,"Brazil","Santa Catarina","Imaruí","Serraria Alcides Alves, Águas Mornas.",,,"arvoreta, Fruto Imaturo, verde, 4m altura","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","8634","Actinostemon roselii","","Euphorbiaceae","Actinostemon","roselii","","L. Oliveira, A.L. Melo & M.F. Sales","Oliveira, L.S.D. de",2016,"","856","","Bresolin, A.",1973,9,21,"Brazil","Santa Catarina","Imaruí","Alto Rio D#?#Una.",,,"arbusto, flor creme, 2 a 3m altura","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","",,"GBIF"
