"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01410434","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","J.Külkamp",2019,"","855","","J.Külkamp; E.L.Afonso; P.Lischinsky",2019,5,25,"Brazil","Rio de Janeiro","Rio de Janeiro","Cachoeira dos primatas. 50 metros depois do início da trilha. Parque Nacional da Floresta da Tijuca",-22.962778,-43.231389,,"Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01410983","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","J.Külkamp",2019,"","862","","J.Külkamp; V.Lino; E.L.Afonso; R.Andrade",2019,6,1,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico. Trilha que sobe do Parque Lage para o Cristo Redentor. Parque nacional da Tijuca",-22.957222,-43.211667,,"Algernonia brasiliensis Baill.","",,"GBIF"
"","UEFS","HUEFS","237392","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.",,,"","862","","Külkamp, J.",2019,6,1,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Jardim Botânico. Trilha que sobe do parque Lage para o Cristo Redentor.",-22.957222,-43.211667,"Floresta Ombrófila densa, subosque de mata de aprox. 20 m de altura.","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01416630","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","J.Külkamp",2019,"","1066","","J.Külkamp; Monge- Egea, M.; Torres, F.",2019,8,24,"Brazil","Rio de Janeiro","Rio de Janeiro",,,,"Nativa","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01416275","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","J.Külkamp",2019,"","1060","","J.Külkamp; D.Nunes",2019,8,15,"Brazil","Rio de Janeiro","Rio de Janeiro","Cachoeira dos primatas. 50 metros depois do início da trilha. Parque Nacional da Floresta da Tijuca",-22.962778,-43.231389,"Material para DNA","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01416999","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","J.Külkamp",,"","1080","","J.Külkamp; P.M.L. Santos",2019,8,29,"Brazil","Rio de Janeiro","Rio de Janeiro","Mata do Jardim Botânico, Trilha para a cachoeira dos primatas. Trilha para a cachoeira dos Primatas. Parque Nacional da Tijuca",-22.960278,-43.230278,"Nativa","Algernonia brasiliensis Baill.","",,"GBIF"
"","UNICAMP","UEC","205770","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","Külkamp, J",2019,"","1066","","Külkamp, J; Monge, M; Torres, F",2019,8,24,"Brazil","Rio de Janeiro","Rio de Janeiro","Brasil, Rio de Janeiro, Rio de Janeiro.Parque Nacional da Tijuca.",,,"Nativa.Altura:4m.Comum ao longo da trilha.Hábito/Forma de Vida:Arbusto com tronco ereto, branco, látex branco, ramos secundários formando um ângulo de 90 graus com o tronco, fruto verde com tons avermelhados, estigma branco com papil","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01345331","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","D.N.S. Machado",2017,"","2043","","D.N.S. Machado; G.A. de Queiroz; S.J.A. Barcellos; E. Simonato",2017,3,29,"Brazil","Rio de Janeiro","Maricá","Pindobas, Serra do Camburi, antes da Rampa de voo livre de Maricá, acesso pela Estrada do Camburi",-22.895833,-43.861944,,"Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01349934","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","D.N.S. Machado",2017,"","2028","","D.N.S. Machado; et al",2017,3,23,"Brazil","Rio de Janeiro","Maricá","Pindobas, Serra do Camburi, antes da Rampa de voo livre de Maricá, acesso pela Estrada do Camburi",-22.8925,-42.854167,,"Algernonia brasiliensis Baill.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","122923","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","Guedes, ML",2016,"","s.n.","","Alves, R",2016,2,24,"Brazil","Bahia","Cairú","Ilha de Boipeba.",-13.483333,-39.033333,"Folhas cartáceas, discolores. Fruto tricoca, imatura.","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01331589","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","D.N.S. Machado",2016,"","1103","","D.N.S. Machado; G.A. de Queiroz; L.R. Caires; J. Melo",2016,12,21,"Brazil","Rio de Janeiro","Niterói","São Francisco, Parque Natural Municipal de Niterói (PARNIT), Morro Santo Inácio",-22.92,-43.082778,,"Algernonia brasiliensis Baill.","",,"GBIF"
"","IF","SPSF","51849","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","I.Cordeiro",,"","16","","A.G. Aguirre & J. Teixeira",2014,2,15,"Brazil","Sp","Ilhabela","Sul da ilha",,,"COLETA: Árvore 5m, com látex, flor de coloração branca.; GEOGRAFIA: Floresta ombrófila densa;","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB01371794","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","R. Moura",2017,"",,"","Bello, D.; Resende, J.; Terra, G. & Ramos, M.",2014,8,7,"Brazil","Rio de Janeiro","Carapebus","Conglomerado 218-2-6-51. UTM do Ponto Central: E (229416m) N (7539368m) Fuso do GPS (24K)",,,"Árvore, com 9,5 m de altura. Base reta. Látex branco, muito abundante, viscoso, sem odor.  Casca interna vermelha e externa acinzentada, fina, estriada. Flor.  Nome Vulgar: Macarandubinha","Algernonia brasiliensis Baill.","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","8152","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","J.M.A. Braga",,"","666","","J.M. Freire; R.R. Oliveira; B.L. Rosendo",2010,6,10,"Brazil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 10.10",-22.681361,-42.825306,"Árvore com 12 m de altura, com 36 cm de CAP.","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB00518990","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","L.J.S. Pinto",2005,"","2528","","A.A.M. de Barros; N. Coqueiro",2005,11,14,"Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, trilha da Cumeeira. Indivíduo 21 do Transect TB1. CAP 12,0 cm. Folhas cartáceas discolores verdes.",-22.946389,-43.005,,"Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB00586483","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","Luiz José Soares Pinto",2003,"","2071","","A. A. M. de Barros ; M. C. Marques, A. L. Fernandes & M. Velasco",2003,9,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Niterói e Maricá, entre Engenho do Mato e Itaipuaçu, Parque Estadual da Serra da Tiririca, Cumeeira do Morro do Telégrafo.",,,"Arvoreta com ca. de 4,0 m de altura, ciófila, folhas cartáceas discolores verdes, inflorescência verde.","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB00485351","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.",,,"","1083","","L.F.T.Menezes",2003,10,18,"Brazil","Rio de Janeiro","Mangaratiba","Ilha de Marambaia, floresta de encosta, caminho da gruta.",,,"Arvoreta de 3m de altura, com látex e botões florais.","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB00080354","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","F. Pinheiro",1994,"","11","","F.Pinheiro; L.c.Giordano, R.Fuks, P.Botelho, A.Quinet & R.Matheus",1994,10,20,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, trilha para as torres.",,,"Ciófila em ambiente úmido com cerca de 1 m de alt. Tronco com casca lisa, lactescente com líquens. Fls cartáceas disc. verdes. Infl. ereta sendo as jovens verdes e as maturas brancass. O látex é branco.","Algernonia brasiliensis Baill.","",,"GBIF"
"","JBRJ","RB","RB00080372","Algernonia brasiliensis","","Euphorbiaceae","Algernonia","brasiliensis","","Baill.","N.Marquete F. de Silva",,"","702","","M.Nadruz",1991,9,24,"Brazil","Rio de Janeiro","Rio de Janeiro","Mata do Horto Florestal, picada para a torre.",,,"Árvore, 5m alt., fls verdes disc., infl. creme","Algernonia brasiliensis Baill.","",,"GBIF"
