"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNISANTA","HUSC","2395","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","Cordeiro, I.",2000,"","439","","Sampaio, P.S.P.; Lima, E.S.",2000,2,10,"Brazil","São Paulo","Bertioga","Guaratuba, Fazenda Três Marias, estrada da captação",,,"Arvoreta, 3m de alt., látex alvo, gineceu com estigma alvo, frutos verdes imaturos; Floresta de Restinga Seca Alta","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","UNISANTA","HUSC","2396","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","Cordeiro, I.",2000,"","440","","Sampaio, P.S.P.; Lima, E.S.",2000,2,10,"Brazil","São Paulo","Bertioga","Guaratuba, Fazenda Três Marias, estrada da captação",,,"Arvoreta, 3m de alt., gineceu com estigma alvo, látex alvo, flores masculinas verde-claro, frutos verdes imaturos; Floresta de Restinga Seca Alta","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","100263","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","Oliveira, L.S.D.",2009,"","440","","Sampaio, P.S.P.",2000,2,10,"Brazil","São Paulo","Bertioga",,,,,"Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","JBRJ","RB","RB00562639","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster",,,"","10441","","G.Martinelli; S.V.A.Pessoa",1998,12,4,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Centro de Primatológia do RJ, Mata secundária entre o Centro de Primatológia e a Represa.",,,"Árvore, 14cm DBA; 17m; 10m d. da copa; Folhas discolores; c/ látex. Quadrant IV, árvore nº 82.","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","27115","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","Oliveira, L.S.D.",2009,"","11087","","Souza, V.C.; Souza, J.P.; Ivanauskas, N.M.; Duarte, A.R.; Eterovic, A.; Marques, O.A.V.",1996,4,11,"Brazil","São Paulo","Itanhaém","Ilha da Queimada Grande",,,"Arvoreta, ca. 3 m alt.; flores pistiladas verdes. Mata.","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","33141","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","Oliveira, L.S.D.",2009,"","38","","Joaquim, G.O. et al.",1996,9,7,"Brazil","São Paulo","Itanhaém",,,,,"Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","JBRJ","RB","RB00417085","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","P. R. Farág e M. L. Vilela",,"","116","","P. R. Farág; H. C. de Lima e D. S. Farias",1995,10,28,"Brazil","Rio de Janeiro","Rio das Ostras","Fazenda União, lado sul da Br 101, próximo ao riacho purgatório.",,,"Árvore ca. 16 m de altura. Ritidoma verde - acinzentando, casca viva na 1´ lâmina vermelha e abaxial bege - clara. Folhas discolores e coríaceas; frutos imaturos verdes.","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","JBRJ","RB","RB00442487","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","Luciana dos Santos D. de Oliveira",,"","125","","D.S. Farias; et al",1994,1,24,"Brazil","Rio de Janeiro","Silva Jardim","Margens do Rio São João, entre a BR-101 e a ponte da linha férrea. Reserva Biológica de Poço das Antas",-22.5,-42.25,"Arvoreta com 4,0 metros de altura e 3,0 centímetrods de DAP. Látex branco. Fruto seco, tricoca.","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","JBRJ","RB","RB00558660","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster",,,"","785","","L.Sylvestre; et al.",1992,4,28,"Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Parcela 18 - Morro Queimado (entre Sobe-e-Desce e Bananal do Meio).",-22.433333,-42.833333,"Arvore. Latex branco, inflorescencia verde.","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
"","IF","SPSF","24088","Algernonia riedelii","","Euphorbiaceae","Algernonia","riedelii","","(Müll.Arg.) G.L.Webster","L.S.D.de Oliveira",2009,"","856","","I.Cordeiro & L.Rossi & M.P.Costa & E.A.Anunciação",1991,12,17,"Brazil","Sp","Iguape","Estação Ecológica Juréia-Itatins",,,"COLETA: XLS: SPSFAntigo&nf;Mata de Planície.&nf;Arvoreta 6m; latescente; GEOGRAFIA: mata de planicie&nf;;","Algernonia riedelii (Müll.Arg.) G.L.Webster","",,"GBIF"
