"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00991160","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","M.B.R.CARUZO",2016,"","514","","J.P.L. Braga; A.C. Betti; E.A. Williams; E.J. Godoy",2015,2,6,"Brazil","Minas Gerais","Caldas","Serra da Gineta, borda de mata.",-21.996667,-46.263056,"Arbusto ca. 2,0m. Folhas discolores. Flores creme. Borda de mata","Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","133565","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","Lima, L.R.",2015,"","55","","Orlandini, P.; Volet; Lima, K.; Mansur, A.L.; Santini-Jr., L.; Gios, B.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.",2015,6,29,"Brazil","São Paulo","Nova Odessa","Instituto de Zootecnia; Fragmento de Floresta Estacional Semidecidual degradada",,,"Presença de nectários extraflorais","Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","USP","SPF","230203","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","Anônimo",,"","3229","","Cordeiro, I",2009,11,25,"Brazil","Minas Gerais","Caldas",,,,,"Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","MO","MO","100413986","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","R. Riina",2009,"","Thomas 13720","","W. Wayt Thomas|André M. Amorim|Pedro Fiaschi|J. Lima da Paixão|Sérgio C. de Sant'Ana",2004,1,31,"Brazil","Minas Gerais",,"Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.",-16.028611,-39.921389,,"Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","NY","NY","01198290","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","R. Riina",2009,"","13720","","W. W. Thomas",2004,1,31,"Brazil","Minas Gerais",,"Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.",-16.0286,-39.9214,,"Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","IPA","IPA","59969","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","Cordeiro, I.",2002,"","473","","Nascimento, L.M.; Silva, A.G. da; Silva, A.G. da",2001,1,15,"Brazil","Pernambuco","Brejo da Madre de Deus","Mata do Buriti. Trilha da mata. Mata estacional.",-8.213056,-36.392222,"Árvore com cerca de 4m de altura. Dicolor. Com sépalas verdes clara e estames alvos. Freqüente.","Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","UFPB","JPB","27527","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","Caruzo, MBR",2006,"","473","","Nascimento, LM; Silva, AG da",2001,1,15,"Brazil","Pernambuco","Brejo da Madre de Deus","Fazenda Bituri, Mata do Buriti. Trilha da Mata. Mata Estacional.",,,"; DESC: Árvore com cerca de 4m de altura. Folhas discolor. Flores com sépalas verdes clara e estames alvos. Frequente.","Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB00598028","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","M.B.R. Caruzo & J. Cordeiro",,"","473","","L.M. Nascimento; A.G. da Silva",2001,1,15,"Brazil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri.",-8.2075,-36.586111,"Árvore com cerca de 4 m de altura. Folhas discolor. Flores com sépalas verdes clara e estames alvos. Frequente.","Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","UFRPE","PEUFR","33454","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","M.B.R. Caruzo",2015,"","362","","L.M. Nascimento; A.G. da Silva",2000,3,28,"Brazil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri",-8.2075,-36.3955,"Árvore com cerca de 8 m de altura. Folhas com face abaxial alva. Flores com botões verdes. Frutos imaturos verdes, cálice persistente. Ocasional","Croton hemiargyreus Müll.Arg.","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","47013","Croton hemiargyreus","","Euphorbiaceae","Croton","hemiargyreus","","Müll.Arg.","Caruzo, MB",2015,"","400","","Nascimento, LM; Silva, AG",2000,4,27,"Brazil","Pernambuco","Brejo da Madre de Deus","Mata do Bituri, margem da estrada",-8.2075,-36.392222,"Árvore com cerca de 8m de altura. Folhas com face abaxial alva. Flores com botões verdes. Frutos imaturos verdes, cálice persistente; Mata Estacional.","Croton hemiargyreus Müll.Arg.","",,"GBIF"
