"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MPEG","HERBMG","MG234284","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat","Talgatti, D.M.",,"",,"","Léda, P.H.O.; Pires, J.O.",2018,4,16,"Brazil","Pará",,"Bairro Perpétuo Socorro",-1.7667,-55.861008,,"Croton sacaquinha Croizat","",,"GBIF"
"","MPEG","HERBMG","MG237146","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat","Rodríguez, M.A.",,"",,"","Geertsma, I.P.; Rodríguez, M.A.; Van Andel, T.; Coelho-Ferreira, M.R.",2018,8,11,"Brazil","Pará",,"Mercado Ver-o-Peso",-1.756389,-48.843611,,"Croton sacaquinha Croizat","",,"GBIF"
"","UEPA","MFS","006019","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat","Mesquita, U de O",,"","16","","Mesquita, U de O",2015,9,13,"Brazil","Pará","Belém","Ilha do Mosqueiro, Comunidade de Caruarú. Quintal da dona Elis Regina.",-1.177556,-48.42,"Arbusto de 1 m de altura com botões florais e flores brancas.","Croton sacaquinha Croizat","",,"GBIF"
"","MPEG","HERBMG","MG204171","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat","Silva, C.A.S. da",,"",,"","Nascimento, F.C. do",2012,8,3,"Brazil","Pará",,"Icoaraci",,,,"Croton sacaquinha Croizat","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","237379","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat","Ramos, J.F.",2010,"","510","","Mike Hopkins",2010,11,19,"Brazil","Amazonas",,"Tapiira",-1.766667,-62.22,,"Croton sacaquinha Croizat","",,"GBIF"
"","MPEG","HERBMG","MG203401","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat","Trindade, M.J.S.",,"",,"","Trindade, M.J.S.; Félix-da-Silva, M.M.",2010,11,18,"Brazil","Pará",,"Embrapa Amazônia Oriental",,,,"Croton sacaquinha Croizat","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","52195","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,,"","3508","","Kinupp, VF; Ming, LC; Araújo, AA; Cardoso, AAS",2009,1,15,"Brazil","Amazonas","Novo Airão","Rua Rio Barbosa, Centro, Casa do seu Sebastião",,,"Arvoreta, 2,0 m.; botões florais e flores cremes, frutos imaturos, folhas discolores, face abaxial esbranquiçada com glândulas de óleo amarronzadas, ramos com lenticelas desenvolvidas, de uso medicinal( febre, inflamação no fígado causadas po","Croton sacaquinha Croizat","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","264","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,2009,"","3508","","Kinupp, VF; Ming, LC; Araújo, AA; Cardoso, AAS",2009,1,15,,,,"Casa do seu Sebastião.",,,"; DESC: Arvoreta; 2,0 m; botões florais e flores cremes; frutos imaturos; folhas discolores - face abaxial esbranquiçada com glândulas de óleo amarronzadas; ramos com lenticelas desenvolvidas; de uso medicinal (febre, inflamação no fígado causadas por ma","Croton sacaquinha Croizat","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","294","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,2009,"","3538","","Kinupp, VF; Ming, LC; Araújo, AA; Cardoso, AAS",2009,1,17,,,,"Quintal da Dona Aldaísa Rosa de Lima.",,,"; DESC: Arbusto; 2,0 m; botões florais cremes com pelos amaronzados; flores cremes; folhas discolores; (de uso medicinal para malária).","Croton sacaquinha Croizat","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","289","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,2009,"","3533","","Kinupp, VF; Ming, LC; Araújo, AA; Cardoso, AAS",2009,1,17,,,,"Velho quintal da Dona Gloria Bezerra.",,,"; HABITAT: Solo arenoso.; DESC: Arbusto; 2,0 m; botões florais cremes com pelos amarronzados; flores cremes; folhas discolores com face abaxial esbranquiçada; pecíolos amarronzados; ramos jovens recobertos por lenticelas desenvolvidas cremes; uso medicin","Croton sacaquinha Croizat","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","318","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,2009,"","3562","","Kinupp, VF; Ming, LC; Araújo, AA; Cardoso, AAS",2009,1,19,,,,,,,"; DESC: Arvoreta; 2,0 m; botões florais cremes; flores brancas; glândulas na face abaxial; lenticelas; pecíolo amarronzado; de uso medicinal (malária).","Croton sacaquinha Croizat","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","235448","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,,"","113","","Mike Hopkins",2009,4,23,"Brazil","Amazonas",,"Comunidade Nossa Senhora das Graças - Costa do Pesqueiro II",,,,"Croton sacaquinha Croizat","",,"GBIF"
"","UNITINS","HUTO","6305","Croton sacaquinha","","Euphorbiaceae","Croton","sacaquinha","","Croizat",,,"","277","","Rodrigues, S.T.",2009,7,3,"Brazil","Pará","Belém","Horto De Plantas medicinais, Embrapa Amazônia Oriental.",,,,"Croton sacaquinha Croizat","",,"GBIF"
