"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01416862","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","J.Külkamp",2019,"","1070","","J.Külkamp; V.Lino",2019,8,27,"Brazil","Rio de Janeiro","Rio de Janeiro","Final da Aleia Jhon Wiles, em frente a casa de pilões.",-22.968056,-43.226944,"Nativa da região Amazônica, provavelmente se trata de um descendente de um dos tipos vivos.","Joannesia heveoides Ducke","",,"GBIF"
"","UNEMAT","HERBAM","23902","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","Melo, JAM",2018,"","0239","","Melo, J A M; Piva, T.P.",2018,7,19,"Brazil","Pará","Jacareacanga","Estrada para o Rio São Benedito., Terra firme.",-9,-56,,"Joannesia heveoides Ducke","",,"GBIF"
"","JBRJ","RB","RB01392781","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","D.S. Costa",,"","2884","","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Obermuller, F.A.; Silva, L.S.",2017,10,22,"Brazil","Mato Grosso","Cotriguaçu","Parque Nacional do Juruena, Unidade amostral UA2_Escorpião (Ponto amostral norte). Parque Nacional do Juruena",-8.982222,-58.606944,"Árvore 13 m, Placa:#271. Estéril","Joannesia heveoides Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","224952","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","Formiga, K.",2007,"","186","","Mike Hopkins",2007,6,14,"Brazil","Pará",,"Estrada da Ferrovia (Km32)",-2.443944,-56.05,,"Joannesia heveoides Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","2499","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke",,2007,"","186","","Ramos, MB; Lima Filho, DA; Souza, S; Souza, AS de",2007,6,14,"Brazil",,,"Estrada da Ferrovia (Km32)",-2.443944,-56.046917,"; DESC: Árvore de 30m de altura, DAP 37 cm, resina vermelha. Frutos grandes marrons, exocarpo marron e mesocarpo branco macio, endocarpo marron persistente, semente tipo castanha. CARPOTECA","Joannesia heveoides Ducke","",,"GBIF"
"","MPEG","HERBMG","MG209231","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","Formiga, K.",,"",,"","Ramos, M.P.; Lima Filho, D de A; Souza, S.; Souza, A.S. da",2007,6,14,"Brazil","Pará",,"Juruti",-2.443889,-56.046944,,"Joannesia heveoides Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","224953","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","Albuquerque, D.C.",2007,"","3036","","Mike Hopkins",2006,12,12,"Brazil","Pará",,"Mata de terra firme, solos argilosos, KM 32 da ferrovia de escoamento de bauxita",,,,"Joannesia heveoides Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","2500","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke",,2007,"","3036","","Amaral, IL do; Ramos, MB; Oliveira, JG de; Souza, S",2006,12,12,,,,"Mata de terra firme, solos argilosos, KM 32 da ferrovia de escoamento de bauxita",,,"; DESC: Árvore de dossel, 20m de altura, DAP 44 cm, resina vermelha abundante. Inflorescência em panícula, flores de cor amarelo claro, botões florais na mesma cor, frutos jovens gigante, com 15 cm de diâmetro, com 1.5 kg de peso. CARPOTECA","Joannesia heveoides Ducke","",,"GBIF"
"","MPEG","HERBMG","MG209259","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","Albuquerque, D.C.",,"",,"","Amaral , I.L. do; Oliveira, J.G. de; Souza, S.; Ramos, M.P.",2006,12,12,"Brazil","Pará",,"Juruti",,,,"Joannesia heveoides Ducke","",,"GBIF"
"","Cenargen","CEN","52100","Joannesia heveoides","","Euphorbiaceae","Joannesia","heveoides","","Ducke","J. G. de Carvalho-Sobrinho",,"","164","","Leila de Paula Almeida - Pau Brasil",2002,10,8,"Brazil","Ba","PORTO SEGURO","Estação Pau Brasil - CEPLAC.",-16.391666,-39.181944,"Flores perfumadas. Doação do Banco Genético do Pau Brasil (registro: 1327) - Coleção de Referência. EMBRAPA, CEPLAC e VERACEL.","Joannesia heveoides Ducke","",,"GBIF"
