"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00903644","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","G.A.NOBREGA & M.GOMES",2015,"","8665","","A. Amorim; P. Labiak; R. Goldenberg; R.G. Barbosa-Silva; F. Obermiller; L. Freitas; R.C. Forzza",2014,4,25,"Brazil","Amazonas","Barcelos","Rio Negro. Matas de Igapó ao longo do rio.",-1.354444,-62.059167,"Árvore ca. 5 m alt. Folhas verdes, algo discolores, face superior escura e brilhante. Flores verdes, sem perianto Frutos imaturos verdes.verdes.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","UEFS","HUEFS","229342","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber",,,"","8665","","Amorim, A.",2014,4,25,"Brazil","Amazonas","Barcelos","Rio Negro, Matas de Igapó ao longo do rio.",-1.354444,-62.059167,"Floresta Ombrófila Densa, margem de igarapó.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","JBRJ","RB","RB00770814","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","W.CORDEIRO",2016,"","162","","Batista, T. A; Moraes, C & Boechat, C",2011,1,18,"Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina;Beira da cachoeira, próxima ao hotel.",-22.359444,-44.8075,"Arvoreta com 2,5 m de altura. Exsuda muito latex ao corte. Possui glandulas por toda folha. Folha com nervura e margem mais esbranquiçada. Frutos imaturos verdes.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","IMA","MAC","36018","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","E.C.O.Chagas",2009,"","545","","A.I.L.Pinheiro; E.C.O.Chagas; M.C.S.Mota",2009,2,13,"Brazil","Alagoas","Murici","Serra do Ouro",-9.309914,-35.941803,"Árvore ca. de 5m de altura. Flores amarelas.; Mata Atlântica.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","IMA","MAC","37994","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","E.C.O.Chagas",2009,"","2706","","Chagas-Mota; A.I.L.Pinheiro",2009,4,17,"Brazil","Alagoas","Murici","Serra do Ouro.",,,"Árvore ca. 4 m de altura. Estéril.; Mata Pluvial Atlântica.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","JBRJ","RB","RB00531024","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","W.CORDEIRO",2016,"","1174","","S.de V.A.Pessoa; et al.",2006,2,14,"Brazil","Rio de Janeiro","Casimiro de Abreu","Fazenda Carioca. Morrro da torre.",,,"Árvore, ca. 15m de altura, folhas discolores verdes, heliófila, folhas discolores verdes, inflorescências verde, latex branco, IND FC 110.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","JBRJ","RB","RB00531026","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","W.CORDEIRO",2016,"","1175","","S.de V.A.Pessoa; et al.",2006,2,14,"Brazil","Rio de Janeiro","Casimiro de Abreu","Fazenda Carioca. Morrro da torre.",,,"Arvoreta, ca. 10m de altura,hemi-umbrófila, folhas discolores verdes, botões amarelo-esverdeados, c/ latex branco. IND. FC 121.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","UEFS","HUEFS","140900","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","W.Cordeiro",2016,"","307","","Slusarski, S.R.",2003,10,6,"Brazil","Paraná","Londrina","Fazenda Figueira-Paiquerê.",-23.540833,-50.975556,,"Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","UESC","UESC","10671","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber",,,"","395","","Sambuichi, R.",2001,5,1,"Brazil","Bahia","Ilhéus",,-14.723333,-39.154444,"Plantação de cacau, cabruca.; Árvore, DAP 13,0. Com látex branco abundante.; Indivíduo 958.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
"","JBRJ","RB","RB00677321","Sapium sellowianum","","Euphorbiaceae","Sapium","sellowianum","","(Müll.Arg.) Huber","W.CORDEIRO",2016,"","26","","F.C.P. Tatagiba; P.R. Farág",1998,1,13,"Brazil","São Paulo","Bananal","Estrada do Sertão da Bocaina, próximo à Faz. Bocaina.",,,"Árvore com ca. de 8m; látex branco abundante; folhas membranáceas, discolores; frutos imaturos verdes.","Sapium sellowianum (Müll.Arg.) Huber","",,"GBIF"
