"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","123490","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Guedes, ML; Abreu, LS",2016,"","24490","","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS",2016,3,24,"Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido. Ind. nº18.",-11.627778,-41.000556,"de ca 1,60m de altura. Folhas concolores. Caule vináceo na extremidade. Estames amarelos.Látex leitoso.","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","123491","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Guedes, ML; Abreu, LS",2016,"","24491","","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS",2016,3,24,"Brazil","Bahia","Morro do Chapéu","Monumento do Ferro Doido.",-11.627778,-41.000556,"de ca 1,80 m. Látex leitoso.","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","UESB","HUESB","12451","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Guedes, M.L.; Abreu, L.S.",2016,"","24490","","Guedes, M.L.; Veloso, E.; Casaes, M.; Araujo, F.; Costa; Veloso, E.; Casaes, M.; Araujo, F.; Costa",2016,5,24,"Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido",-11.627778,-41.000556,"Arbusto ca de 1,60m de alt. Folha concolores. Caule vináceo na extremidade. Flor com estames amarelos. Látex leitoso.; Campo rupestre","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","118592","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Hurbath, F",2014,"","648","","Hurbath, F; Silva, OLM da; Seixas, FC",2014,8,23,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Rodovia Morro do Chapéu - Jacobina, Vale do Rio Ligeiro (Associação Vale do Rio ligeiro e Mangabinha)",-11.481667,-41.0775,"ca. 1,5m alt. ramos vináceos, folhas concolores, inflo. e frutos verdes passando a vináceos, flores masc. amarelas, látex alvo.","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","108435","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Hurbath, F",2015,"","470","","Hurbath, F; Roque, N; Borges, LM; Stadnik, A; Alves, M; Moura, L",2013,2,22,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Monumento da Cachoeira do Ferro Doido.",-11.627778,-41.000556,"ca. 1,5 m.. Folhas concolores. Caule vináceo na extremidade. Estames amarelos. Látex alvo.; Afloramento rochoso.","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","108442","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Hurbath, F",2015,"","477","","Hurbath, F; Roque, N; Borges, LM; Stadnik, A; Alves, M; Moura, L",2013,2,23,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina",-11.676389,-41.089722,"ca. 2,0 m. Folhas concolores. Estames amarelos. Fruto verde. látex alvo.","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","US","Botany","3679873","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax",,,"","477","","F. Hurbath, N. Roque, L. M. Borges, A. Stadnik & M. Alves",2013,2,23,"Brazil","Bahia",,"Chapada Diamantina, Morro do Chapeu.",-11.6764,-41.0897,,"Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","US","Botany","3679875","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax",,,"","470","","F. Hurbath, N. Roque, T. Vieira, A. Stadnik & M. Alves",2013,2,22,"Brazil","Bahia",,"Chapada Diamantina, Morro do Chapeu. Monumento da Cachoeira do Ferro Doido",-11.6278,-41.0006,,"Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","108466","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax","Hurbath, F",2015,"","538","","Hurbath, F; Roque, N; Vieira, TL; Stadnik, A; Alves, M; Ogasawara, HA",2013,4,20,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Lajedo próximo a mata semidecídua. Parte sul do monumento natural da Cachoeira do Ferro Doido. Unidade de Conservação.",-11.608056,-40.998889,"ca. 1,7m. Folhas concolores. Flores masculinas amarelas. Fruto verde com estigmas persistentes alaranjados. Látex alvos.","Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
"","US","Botany","3679897","Stillingia loranthacea","","Euphorbiaceae","Stillingia","loranthacea","","(Müll. Arg.) Pax",,,"","538","","F. Hurbath, N. Roque, T. Vieira, A. Stadnik & M. Alves",2013,4,20,"Brazil","Bahia",,"Chapada Diamantina, Morro do Chapeu.",-11.6081,-40.9989,,"Stillingia loranthacea (Müll. Arg.) Pax","",,"GBIF"
