"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UCS","HUCS","49687","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Gonzatti, F.",2019,"","5052","","Gonzatti, F.; Bordin, J.; Araujo, F.P. de",2019,3,23,"Brazil","Rio Grande do Sul","Canela","FLONA de Canela",-29.321389,-50.816667,"Arvoreta de interior da mata","Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","192562","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.",,,"","21","","Ferreira, VL; Stehmann, JR; Moreira, NC",2018,8,10,"Brazil","Minas Gerais","Lagoa Santa","Lapinha.",-19.560556,-43.959167,"Arbusto de cerca de 2 metros.Frutos imaturos verdes.; Afloramento de calcáreo, em fenda no maciço.","Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","192564","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.",,,"","58","","Ferreira, VL; Stehmann, JR",2018,9,18,"Brazil","Minas Gerais","Pedro Leopoldo","Lapa do Baú",-19.548611,-43.992222,"Arbusto de cerca de 1,5 metros. Flores estaminadas e pistiladas.; Afloramento de calcáreo, em fenda no maciço.","Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","UFRGS","ICN","197227","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Külkamp",,"","430","","Külkamp",2017,11,22,"Brazil","Rs","Riozinho","Parque do Conduto",-29.65,-50.444444,"Arvoreta de 4 metros.; Interior de mata próximo ao rio","Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","66850","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Külkamp, J.",,"","430","","Külkamp, J.",2017,11,22,"Brazil","Rio Grande do Sul","Riozinho","Parque do Conduto.",-29.65,-50.444444,"Arvoreta de 4 metros","Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","JBRJ","RB","RB01394568","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","J. Cordeiro",2015,"","440","","L. G. C. Rigon",2015,7,23,"Brazil","Paraná","Três Barras do Paraná","Conglomerado: 389. Subunidade: 4. Subparcela: 2. Árvore: 2RN.  UTM 22J 270600 E - 7191017 S",,,,"Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","61468","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Cordeiro, J.",2015,"","440","","Rigon, L.G.C.",2015,7,23,"Brazil","Paraná","Três Barras do Paraná",,-25.382778,-53.081389,,"Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Instituto de Botânica","SP","497610","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Cordeiro, J",2015,"","440","","Rigon, LGC",2015,7,23,"Brazil","Paraná","Três Barras do Paraná",,-25.38,-53.28,,"Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","50278","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Valduga, E.",,"","487","","Valduga, E.",2013,1,3,"Brazil","Rio Grande do Sul","São Marcos","Morro santana.",,,"árvore","Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","41623","Stillingia oppositifolia","","Euphorbiaceae","Stillingia","oppositifolia","","Baill. ex Müll.Arg.","Valduga, E",2013,"","487","","Valduga, E.",2013,1,3,"Brazil","Rio Grande do Sul","São Marcos","Morro Santana.",,,,"Stillingia oppositifolia Baill. ex Müll.Arg.","",,"GBIF"
