"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFOP","OUPR","21321","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","Oliveira Fo.; A.T.",2008,"","s.n.","","Pedreira, G.",2008,3,4,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi",,,"Árvore. Floresta paludosa de altitude","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","IF","SPSF","41186","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","G.A.D.C. Franco",2008,"","1109","","F.M.Souza & N.M.Ivanauskas & M.J.Robim & R.P.Sanches & H.Gallo & J.M. de Faria",2008,8,12,"Brazil","Sp","São Luis do Paraitinga","Estação Ecológica de Santa Virginia",-23.337778,-45.151389,,"Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","UNICAMP","UEC","166719","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","Tamashiro, JY",2009,"","937","","Padgurschi, MCG; Tamashiro, JY; Belinello, R",2008,,,"Brazil","São Paulo","São Luiz do Paraitinga","PESM- Núcleo Santa Virgínia - Parcela K.",-23.325556,-45.068056,"K1056 Árvore, ca. 6 m, sem flores ou frutos. Abundância: 1 ind ha(-1).; Floresta Ombrófila Densa Montana.","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","JBRJ","RB","RB00423713","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","J. Wesenberg",2005,"","534","","J. Wesenberg; C. Seele & R. Engelmann",2005,2,13,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, parte superior da trilha do Rancho Frio. Parque Nacional da Serra dos Órgãos",-22.463611,-43.013333,"Árvore, DAP 16,1 cm, altura ca. 8 m. Fruto inmaduro verde.","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","JBRJ","RB","RB00488582","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","I.CORDEIRO",,"","489","","César S. Pardon",2004,1,5,"Brazil","Rio de Janeiro","Teresópolis","Matas do Rio Paquequer próx. ao km 2,0 da estrada para Barragem.",,,"Árvore ca. 10,3 metros e CAP 41 cm com flores.","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","MBML","MBML-HERBARIO","20161","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","M. Sobral/2003",,"","2065","","R.R. Vervloet; et al",2003,3,26,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Árvore com rebroto, altura 8m, frutos imaturos de cor verde, maduros de cor vermelha, meia encosta, dossel 20m.","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","89499","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.",,,"","229","","Alves, TMA; Sobral, M",2003,10,28,"Brazil","Minas Gerais","Catas Altas","Serra do Caraça",,,,"Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","MBML","MBML-HERBARIO","15970","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","M. Sobral/2004",,"","5214","","L. Kollmann; et al",2002,1,8,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-19.9075,-40.553056,"Arvoreto 5m. Frutos verdes.","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","UEFS","HUEFS","79343","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.",,,"","1948","","Mota, R.C.",2002,10,8,"Brazil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo.",-19.073889,-43.615,,"Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
"","JBRJ","RB","RB00449039","Tetrorchidium parvulum","","Euphorbiaceae","Tetrorchidium","parvulum","","Müll. Arg.","C.M.Vieira",,"","488","","C.M.Vieira; L.C.Gurken",1994,1,8,"Brazil","Rio de Janeiro","Nova Friburgo","Fazenda Ouro Verde.",,,"Arvore com 4m de altura, folhas discolores verdes, frutos imaturos verdes","Tetrorchidium parvulum Müll. Arg.","",,"GBIF"
