"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","139334","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","R.B. Pinto",2017,"","362","","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza",2017,4,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador, final de trilha com vista para Baía de Guanabara, na área de degradação pelas fezes dos biguás",-22.780183,-43.159195,"Árvore ca. 9 m, frutos enegrecidos","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","141239","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","R.B. Pinto",2017,"","362","","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza",2017,4,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador, final de trilha com vista para Baía de Guanabara, na área de degradação pelas fezes dos biguás",-22.780183,-43.159195,"Árvore ca. 9 m, frutos enegrecidos","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","JBRJ","RB","RB01200135","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","H.C. de Lima",,"","8360","","Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,1,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Represa de Macuco. Mata de encosta. Reserva Biológica do Tinguá",-22.579444,-43.434444,"Árvore com 7-8 m alt. Tronco com casca fissurada e alvacenta, DAP ca. 30 cm. Inflorescência eréta, botões esverdeados, flores com cálice e corola esverdeados, estames passados alvo-acastanhados. Ocasional na margem do rio. Material banco DNA; fotos HCL e CC.","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","JBRJ","RB","RB01219095","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","Iganci",,"","19722","","G.Martinelli; T.Lima, D.Maurenza",2016,11,3,"Brazil","Minas Gerais","Diamantina","estrada para Taquaral, localidade de Inhacica. campos rupestres. Parque Nacional Sempre Vivas",-17.845833,-43.763333,"arbusto, 2m, semi-heliófila; folhas verdes, discolores; frutos passados castanho-avermelhado, sementes nigrescentes.","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","JBRJ","RB","RB01219145","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","M.P.Morim",,"","19769","","G.Martinelli; T.Lima, D.Maurenza",2016,11,4,"Brazil","Minas Gerais","Diamantina","trilha ntre a Pedra Redonda e Serra do Galho. campos rupestres. Parque Nacional Sempre Vivas",-17.96,-43.788333,"arbusto, 2m, heliófila; folhas verdes, discolores; flores com calice verde, estames alvacentos; frutos maduros castanhos.","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","126256","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","Lima, HC",2016,"","8360","","Lima, HC; Braga, JMA; Cardoso, LJT; Carvalho, C de; Silva, W da",2016,11,1,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Vera Cruz, Estrada para o ORBEL II, antes do Poção.",-22.412778,-43.444444,"com 7-8 m alt. Tronco com casca fissurada e alvacenta, DAP ca. 30 cm. Inflorescência ereta., botões esverdeados, flores com cálice e corola esverdeados, estames passados alvo-acastanhados. Ocasional na margem do rio.","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","7596","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","Haroldo C. de Lima",2016,"","8360","","Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva",2016,11,1,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Represa de Macuco.",-22.579444,-43.444444,"Árvore com 7-8m alt. Tronco com casca fissurada e alvacenta, DAP ca. 30 cm. Inflorescência erécta, botões esverdeados, flores com cálice e corola esverdeados, estames passados alvo-acastanhados. Ocasional na margem do rio. Material ba","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","5450","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","Moreira, SN",2015,"","2022","","Moreira, SN; Pereira, E",2015,9,6,"Brazil","Minas Gerais","Conceição do Mato Dentro","Cava Sul - Anglo American",-18.904844,-43.42766,,"Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","UEFS","HUEFS","213328","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim",,,"","1619","","Neves, D.M.",2014,1,15,"Brazil","Minas Gerais","Jequitinhonha","15 Km Norte de Jequitinhonha.",-16.126944,-41.064722,"Cerrado l.s. na borda de eucaliptal.","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
"","JBRJ","RB","RB00842973","Abarema villosa","","Fabaceae","Abarema","villosa","","Iganci & M.P.Morim","Iganci",,"","1605","","D.M. Neves; Hattori, E.K.O; Pezzini, F.; Taucce, P.",2014,1,7,"Brazil","Minas Gerais","Felício dos Santos","Prox. do morro Pedra Menina  .",-18.099444,-43.11,"Arbusto 1m. Flores passadas. Legumes em dispersao","Abarema villosa Iganci & M.P.Morim","",,"GBIF"
