"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","246074","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev","L.P.de Queiroz",2019,"","4547","","Cardoso, D.",2018,3,22,"Brazil","Bahia","Boa Vista do Tupim","Fazenda Esperança, plot #1 Projeto Nordeste.",-12.724444,-40.710278,"Floresta estacional decidual.","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","UEFS","HUEFS","243039","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev","L.P.de Queiroz",2018,"","6727","","Melo, P.H.A.",2017,4,8,"Brazil","Bahia","Lajedinho","Proximidade do povoado de Simpatia. Morro com afloramentos de calcário em vertentes com paredões.",-12.455278,-41.009167,"Caatinga arbóreo-arbustiva. Envolto por pastagens e caatinga alterada.","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","UEFS","HUEFS","238987","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev",,,"","3609","","Cardoso, D.",2015,1,21,"Brazil","Bahia","Itaité","Caatinga sobre afloramento calcário logo na descida para o Poço Encantado.",-12.944722,-41.104722,,"Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","UEFS","HUEFS","229038","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev",,,"","2049","","Neves, D.M.",2015,3,7,"Brazil","Mg","Manga","Parque Estadual da Mata Seca",-14.803056,-43.961111,"caatinga arbórea","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","UEFS","HUEFS","239067","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev",,,"","3689","","Cardoso, D.",2015,3,7,"Brazil","Minas Gerais","Manga","Parque Estadual da Mata Seca, área de caatinga arbórea a ca. 5.2 km a partir da entrada do parque na BR-135.",-14.849722,-44.007778,,"Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","UEFS","HUEFS","239098","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev",,,"","3720","","Cardoso, D.",2015,3,9,"Brazil","Minas Gerais","Januária","Parque Nacional Cavernas do Peruaçu.",-15.086944,-44.266389,,"Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150130","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev",,,"","245","","Nogueira, M.G.C.",2014,8,6,"Brazil","Bahia","ITAMARAJÚ","Conglomerado BA_1404-4-5-22",-17.099722,-40.499444,"<ll>dwc_commonname:</ll>","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150706","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev","D. Cardoso",,"","3","","Fernandes, M.H.",2014,10,19,"Brazil","Bahia","VITÓRIA DA CONQUISTA","Conglomerado BA_1271-1-3-9",-14.759444,-40.680278,"<ll>dwc_commonname:</ll>","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150834","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev","D. Cardoso",,"","382","","Nogueira, M.G.C.",2014,10,2,"Brazil","Bahia","SANTA CRUZ DA VITÓRIA","Conglomerado BA_1299-4-8-13",-14.940278,-39.780556,"<ll>dwc_commonname:</ll>","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150730","Acosmium diffusissimum","","Fabaceae","Acosmium","diffusissimum","","(Mohlenbr.) Yakovlev","D. Cardoso",,"","78","","Fernandes, M.H.",2014,11,13,"Brazil","Bahia","ENCRUZILHADA","Conglomerado BA_1351-1-10-5",-15.659722,-41.219722,"<ll>dwc_commonname:</ll>","Acosmium diffusissimum (Mohlenbr.) Yakovlev","",,"GBIF"
