"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MNHN","P","P02743963","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff, B.A.",1936,9,1,"Brazil","Amazonas",,,,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","MNHN","P","P01818116","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer","Barrier",,"",,"","Krukoff, B.A.",1936,10,26,"Brazil",,,,,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","S","VascularPlants","S-R-9755","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","Krukoff, B. A.",1936,10,26,"Brazil","Amazonas",,"basin of Rio Solimoes, Municipality São Paulo de Olivença, basin of creek Belem",,,"Ann. Missouri Bot. Gard. 44: 295, fig. 1. 1958.","Androcalymma glabrifolium Dwyer","",,"GBIF"
"","F","Botany","V0057343F","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","B. A. Krukoff",1936,10,26,"Brazil",,,,-10.8339,-52.8731,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","MO","MO","3311019","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer","R. Koeppen",1961,"","Krukoff 9005","","Boris A. Krukoff",1936,10,26,"Brazil","Amazonas",,"Municipality São Paulo de Olivença; basin of creek Belem. Basin of Rio Solimoes.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","US","Botany","2169863","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","B. A. Krukoff",1936,10,28,"Brazil","Amazonas",,"Basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","US","Botany","2248025","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","8827","","B. A. Krukoff",1936,10,26,"Brazil","Amazonas",,"Basin of creek belem",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","BR",,"BR0000005189595","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","Krukoff B.A.",1936,10,26,"Brazil",,,,,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","NY","NY","3402","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","B. A. Krukoff",1936,10,26,"Brazil","Amazonas",,"Basin of Rio Solimoes, basin of creek Belém",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","A","A","barcode-00058529","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","B. A. Krukoff",1936,10,26,"Brazil","Amazonas",,"Sao Paulo de Loivenca; basin of creek Belem",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","L.1061177","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",1936,10,26,"Brazil","Amazonas",,"State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","L.1061176","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",1936,10,26,"Brazil","Amazonas",,"State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","L.1061175","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",1936,10,26,"Brazil","Amazonas",,"State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","U  0050784","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",1936,10,26,"Brazil","Amazonas",,"State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","U  0271863","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",1936,10,26,"Brazil","Amazonas",,"State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","U  0099043","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",1936,10,26,"Brazil","Amazonas",,"State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","MNHN","P","P02743964","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff, B.A.",1936,10,26,"Brazil","Amazonas",,,,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","K","Herbarium","K000264638","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","Krukoff, B.A.",1936,10,26,"Brazil",,,"Basin of Rio Solimoes.  Municipality Sao Paulo de Olivenca; basin of creek Belem",,,"Specimens distributed throughout the New York Botanical Garden","Androcalymma glabrifolium Dwyer","",,"GBIF"
"","K","Herbarium","K000264637","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","Krukoff, B.A.",1936,10,26,"Brazil",,,"Basin of Rio Solimoes.  Municipality Sao Paulo de Olivenca; basin of creek Belem",,,"Specimens distributed through the New York Botanical Garden","Androcalymma glabrifolium Dwyer","",,"GBIF"
"","NHMUK","BOT","BM000797832","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","9005","","Boris Alexander Krukoff",1936,,,"Brazil",,,,-10.773109,-53.08982,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","G","Geneva Herbarium – General Collection (G)","G-G-265917/1","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff, B. A.",,,,"Brazil",,,"São Paulo de Olivença - Terra firma; high land. State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem",-3.47278,-68.96444,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"","NY","NY","1099451","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"","8827","","B. A. Krukoff",,,,"Brazil","Amazonas",,,,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
"",,"Botany","U.1252838","Androcalymma glabrifolium","","Fabaceae","Androcalymma","glabrifolium","","Dwyer",,,"",,"","Krukoff BA",,,,"Brazil","Amazonas",,,,,,"Androcalymma glabrifolium Dwyer","",,"GBIF"
