"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00721895","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","Angela Maria Studart da F. Vaz",2012,"","218","","Silveira, V.X.",2010,3,15,"Brazil","Rondônia","Porto Velho","BR 364 Sentido Acre, Rio Branco.",,,"Csca com lenticelas. Aparência lisa. Folhas membranáceas. Flores com cálice verde e corola branca. Frutos secos. Sem amostra da madeira.","Bauhinia aureopunctata Ducke","",,"GBIF"
"","USF","Herb","201439","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","R. P. Wunderlin",1993,"","34358","","M. Nee",1987,3,13,"Brazil","Rondonia",,"15 km N of Ariquemes on BR 364 and 1 km E on ""Linea 75"".",-9.78333,-63.0833,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","USF","Herb","197966","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","R. P. Wunderlin",1993,"","2084","","W. L. Balée",1986,4,1,"Brazil","Pará",,"Igarapé Ipixuna, affluent of Rio Xingu; 5 km S of settlement, Araweté Indian Reserve.",-4.81667,-52.5167,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00136079","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","Angela Maria Studart da F. Vaz",2003,"","5818","","C.A.Cid Ferreira",1985,4,24,"Brazil","Amazonas","Manicoré","Br 230. Rod. Transamazônica entre os Kms 275 e 300 de Humaitá.",-7.583333,-60.666667,"Arbusto escandente, flores vermelhas, frutos imaturos verdes.","Bauhinia aureopunctata Ducke","",,"GBIF"
"","USF","Herb","197917","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","R. P. Wunderlin",1993,"","5818","","C. A. Cid Ferreira",1985,4,24,"Brazil","Amazonas",,"BR 230; rod. Transamazonica entre os kms 275 e 300 de Humaitá.",-7.58333,-60.6667,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","USF","Herb","150231","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","R. P. Wunderlin",1983,"","2807","","P. B. Cavalcante, M. Silva",1971,7,26,"Brazil","Pará",,"Km 74 da estrada Transamazonica, no rumo de Itaituba.",,,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","S","VascularPlants","S-R-8739","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"","16959","","A. Ducke",1923,5,24,"Brazil","Pará",,"Rio Tapajoz, Villa Braga, prope cataractum infimam",,,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00539377","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"",,"","Ducke, A.",1923,5,24,"Brazil","Pará","Pará","Vila Braga, Rio Tapajós, capoeira, mata de terra firme, argilosa alta.",,,"Árvore pequena, flor verde-brancacenta.","Bauhinia aureopunctata Ducke","",,"GBIF"
"",,"Botany","U  0003143","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke","Ducke A",,"",,"","Ducke A",1923,5,24,"Brazil","Pará",,"Rio Tapajoz (civ. Pará) prope cataractam infimeur loco Villa Braga",,,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00539378","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"",,"","Ducke, A.",1919,12,20,"Brazil","Pará","Pará","Rio Tapajós, Francez.",,,"Árvore freqüente.","Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00585696","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"",,"","Ducke, A.",1919,12,20,"Brazil","Pará","Pará","Rio Tapajós, Francez.",,,"Árvore freqüente.","Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00585695","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"",,"","Ducke, A.",1919,12,20,"Brazil","Pará","Pará","Rio Tapajós, Francez.",,,"Árvore freqüente.","Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00539379","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"",,"","Ducke, A.",1916,12,6,"Brazil","Pará","Pará","Bela Vista, Rio Tapajós.",,,,"Bauhinia aureopunctata Ducke","",,"GBIF"
"","JBRJ","RB","RB00545292","Bauhinia aureopunctata","","Fabaceae","Bauhinia","aureopunctata","","Ducke",,,"",,"","Ducke, A.",1916,12,6,"Brazil","Pará","Pará","Bela Vista, Rio Tapajós.",,,,"Bauhinia aureopunctata Ducke","",,"GBIF"
