"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UnB","UB","203922","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Proença, CEB; Santos, RV",,"","3702","","Faria, JEQ; Moreira, ALC; Romão, DR",2013,5,31,"Brazil","Goiás","Paraúna","Estrada para os monumentos de pedra, para a Pedra da Tartaruga",-16.988611,-50.633056,"Arbusto 1,5m. Flor branca. Botão verde; Cerrado s.s.","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UNIVASF","HVASF","15604","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","R.T. Queiroz",2019,"","2805","","J.A. Siqueira Filho",2012,6,21,"Brazil","Mato Grosso do Sul","Porto Murtinho","Na margem da rodovia BR 267 depois do Km 668, cerca de 15,5km de Porto Murtinho, sentido Jardim",-21.709766,-57.728394,"Arbusto ca. de 2 m alt., flores alvas, estames vermelhos.","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UnB","UB","211232","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Harris, SA",2012,"","CDFCBD30","","Projeto Biodiversidade BP; Melo, MS; Concha, C; Arcela, V",2012,8,2,"Brazil","Goiás","Edéia","Fazenda Canadá (CDFCBD)",-17.4021,-50.0604,"Árvore, 1,3m; Cerrado denso. Solo argiloso, cinza escuro","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UnB","UB","211245","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Harris, SA",2012,"","CDFCBD43","","Projeto Biodiversidade BP; Melo, MS; Concha, C; Arcela, V",2012,8,2,"Brazil","Goiás","Edéia","Fazenda Canadá (CDFCBD)",-17.4021,-50.0604,"Arbusto, 3m; Cerrado denso. Solo argiloso, cinza escuro","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UnB","UB","211293","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Proença, CEB",2012,"","CDFCBE39","","Projeto Biodiversidade BP; Melo, MS; Concha, C; Arcela, V",2012,8,3,"Brazil","Goiás","Edéia","Fazenda Canadá (CDFCBE)",-17.4045,-50.0556,"Foto (exsicata); Arbusto, 1m; Cerrado denso. Solo argiloso, ferro, marrom","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","JBRJ","RB","RB01087132","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","S.A. Harris",2012,"","43","","Projeto Biodiversidade BP; M.S. Melo; C. Concha; V. Arcela",2012,8,2,"Brazil","Goiás","Edéia","Fazenda Canadá (CDFCBD).",-17.402222,-50.060278,"Arbusto, 3m","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UnB","UB","211098","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Harris, SA",2012,"","BP469","","Projeto Biodiversidade BP; Faria, JEQ; Zanatta, MRV; Castro, BM",2012,10,11,"Brazil","Goiás","Edéia","Fazenda Canadá (CSFCBA)",-17.663056,-50.100833,"Foto (exsicata); Arbusto, 1m; Cerrado sensu stricto. Solo areno argiloso vermelho com canga (pedras ricas em minério de ferro)","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UnB","UB","212642","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Harris, SA",2012,"","RE706","","Projeto Biodiversidade BP; Faria, JEQ; Zanatta, MRV; Castro, BM",2012,10,4,"Brazil","Goiás","Edéia","Fazenda Canadá (CSFCAB)",-17.6472,-50.0839,"Árvore, 3m; Cerrado sensu stricto. Latossolo vermelho","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UnB","UB","212673","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Harris, SA",2012,"","RE737","","Projeto Biodiversidade BP; Faria, JEQ; Zanatta, MRV; Castro, BM",2012,10,5,"Brazil","Goiás","Edéia","Fazenda Tropical (CSFTAA)",-17.6633,-50.1303,"Arbusto, 1,3m. Fruto seco marrom; Cerrado sensu stricto. Solo argiloso, marrom, com canga","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
"","UNICAMP","UEC","74483","Bauhinia bicolor","","Fabaceae","Bauhinia","bicolor","","(Bong.) Steud.","Matos-Alves, F",2011,"","626","","Matos-Alves, F; Lima, TE; Kochanovski, FJ",2011,5,12,"Brazil","Mato Grosso do Sul","Porto Murtinho","Coletada na entrada da Fazenda Retiro Conceição Km",,,"Arbusto, ca. 2m. altura, flores brancas","Bauhinia bicolor (Bong.) Steud.","",,"GBIF"
