"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","104792","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","E. B. A. Dias",,"","3344","","Luiz Aquino Silva Santos",2017,6,16,"Brazil","To","CASEARA","Conglomerado: TO-202. Subunidade 1, subparcela 1, indivíduo 1 RN.",-9.180278,-49.860277,"Projeto Inventário Florestal Nacional (IFN). Arbusto com 2 m de altura, base reta. Fruto imaturo, 15 cm de dimensão, forma de vagem , consitência externa seca , possui arilo.","Bauhinia bombaciflora Ducke","",,"GBIF"
"","JBRJ","RB","RB01412862","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","J.E.Q. Faria",2017,"","387","","R.M.G. Konopczyk",2017,7,20,"Brazil","Maranhão","Sítio Novo","Congl. MA_558. Coleta não registrada em formulários anteriores - extra.",-5.94,-46.62,,"Bauhinia bombaciflora Ducke","",,"GBIF"
"","Cenargen","CEN","107171","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","E. B. A. Dias",2018,"","404","","Rômullo Quirino de Souza Ferreira",2017,8,10,"Brazil","To","RIO SONO","Conglomerado: 274. Coleta Extra",,,"Inventário Florestal Nacional (IFN). Árvore com 7,8 m de altura e 10,4 cm de DAP, base reta. Fuste de casca externa fina, do tipo lisa, cor cinza, casca interna de cor amarela. Fruto imaturo, 10 cm de dimensão, forma elipsóide, co","Bauhinia bombaciflora Ducke","",,"GBIF"
"","Cenargen","CEN","97973","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","B. M. T. Walter",,"","5808","","Anderson Cássio Sevilha",2016,4,12,"Brazil","Ma","CAROLINA","Fazenda.",,,"Estames vináceos.","Bauhinia bombaciflora Ducke","",,"GBIF"
"","Cenargen","CEN","97924","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","B. M. T. Walter",2017,"","5762","","Anderson Cássio Sevilha",2016,4,10,"Brazil","Ma","CAROLINA","Santuário Ecológico Pedra Caída.",-7.051667,-47.442777,,"Bauhinia bombaciflora Ducke","",,"GBIF"
"","Cenargen","CEN","77383","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","B. M. T. Walter",,"","15318","","Glocimar Pereira-Silva",2010,5,24,"Brazil","To","BARRA DO OURO","Rodovia TO - 226 - Carolina, km 9.",-7.695833,-47.5975,"Área de influência indireta.","Bauhinia bombaciflora Ducke","",,"GBIF"
"","JBRJ","RB","RB00841420","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","M.L. Fonseca",,"","1360","","R.F. Haidar; S.S. Silva; R.P. Silva; Fonseca",2010,8,1,"Brazil","Tocantins","Ananás","Bacia do Tocantins, Sub-bacia Rio Piranhas.",-6.131389,-48.166944,"Árvore; flores e frutos em formação","Bauhinia bombaciflora Ducke","",,"GBIF"
"","UNITINS","HUTO","2620","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","Vaz, A.M.S.F.",2011,"","1526","","Oliveira, F.C.A.",2009,7,5,"Brazil","Tocantins","Almas","Bacia do Tocantins. Sub-bacia do rio Manuel Alves da Natividade. Solo argiloso claro com quartzo fino e afloramento rochoso. Relevo plano",-11.591944,-47.209722,"Arbusto 3,50 m de altura. Folhas cartáceas, discolores. Flor gigante com cálice e botões ferrugineos, pétalas e filetes branco, estilete verde r estames cremes. Filetes 17 cm. Rara; Mancha de cerradão","Bauhinia bombaciflora Ducke","",,"GBIF"
"","UNITINS","HUTO","2915","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","Vaz, A.M.S.F.",2011,"","6146","","Fonseca, M.L.",2009,7,8,"Brazil","Tocantins","Natividade","Bacia do Tocantins. Sub-bacia do rio Manuel Alves da Natividade. Solo argiloso cinza e quartzo leitoso. Relevo íngreme (morro)",-11.970833,-47.631667,"Arbusto 2 m de altura. Folhas cartáceas, discolores. Botões florais ferrugíneos. Flor com pétala branca, filetes brancos de 15 cm, estilete verde de 17 cm, estames cremes. Ocasional; Cerrado","Bauhinia bombaciflora Ducke","",,"GBIF"
"","JBRJ","RB","RB00610051","Bauhinia bombaciflora","","Fabaceae","Bauhinia","bombaciflora","","Ducke","Angela M.S. da F. Vaz",,"","1526","","Oliveira, F.C.S; Fonseca, M.L; Silva Filho, A.P & Oliveira, V.C",2009,7,5,"Brazil","Tocantins","Almas","Bacia do Tocantins, Sub-bacia: Manuel Alves da Natividade.( T-5, área 4 b, ponto 23).",-11.591944,-47.209722,"Arbusto heliófito, ca. 3,5 m altura. Folhas cartáceas, discolores. Flor gigante com cálice e botões ferrugineos, peátas e filetes brancos, estilete verde e estames cremes. Filetes ca. 17 cm. Rara.","Bauhinia bombaciflora Ducke","",,"GBIF"
