"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01369790","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","A.M.S. da F. Vaz",2017,"","1675a","","N.C. Bigio; D. Daly; A.S. Lima; F.C.P.S. Justiniano",2015,6,4,"Brazil","Rondônia","Ouro Preto do Oeste","Torre da Embratel",-10.734444,-62.220556,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","UNICAMP","UEC","112073","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","Souza, VC",1997,"","18724","","Souza, VC; Souza, JP; Scalon, VR; Duarte, AR",1997,6,10,"Brazil","Mato Grosso","Juruena","Estrada entre a cidade de Juruena e o Ri, ca. 2Km do Rio Juruena.",-10.3,-58.383333,"flor e fruto, Árvore, ca. 7m alt.; frutos imaturos verdes.","Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","42351","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.",,,"","18724","","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.",1997,7,10,"Brazil","Mato Grosso","Juruena","Estrada entre a cidade de Juruena e o Rio Juruena, ca 2km do Rio Juruena. Contato Floresta Ombrófila-Floresta Estacional",-10.18,-58.23,"Árvore, ca. 7 m alt.; frutos imaturos verdes.","Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","112746","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","Wunderlin, R.P.",1986,"","1355","","Mike Hopkins",1983,5,20,"Brazil","Pará",,"Estrada Santarém-Cuiabá, BR 163, Km 1227, penetração de +/- 7 Km dentro da mata.",-5.916667,-55.67,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","12993","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","Vaz, A.M.S.F. de F.",1999,"","4493","","Mike Hopkins",1962,7,6,"Brazil","Amazonas",,"Estrada do igarapé do Tabatinga., Estrada do igarapé do Tabatinga",,,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","3763","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","Vaz, A.M.S.F. de F.",2005,"","INPA3763","","Mike Hopkins",1956,4,18,"Brazil","Amazonas",,"Estrada do Paredão.",,,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","3767","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","Silva, M. da",1961,"","INPA3767","","Mike Hopkins",1956,4,23,"Brazil","Amazonas",,"Paredão.",,,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","MO","MO","3229345","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.","R. P. Wunderlin",,"","Ducke 938","","A. Ducke",1942,5,12,"Brazil",,,"Manáos, Picada Velha de Paredão ad ripas rivuli terris altis.",,,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","MPEG","HERBMG","MG018003","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.",,,"",,"","Ducke, A.",1942,5,12,"Brazil","Amazonas",,"Manaus",,,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
"","MNHN","P","P03450190","Bauhinia grandifolia","","Fabaceae","Bauhinia","grandifolia","","(Bong.) Steud.",,,"",,"","Ducke, A.",1925,8,2,"Brazil","Pará",,,,,,"Bauhinia grandifolia (Bong.) Steud.","",,"GBIF"
