"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01414920","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel","H.C. de Lima",,"","8901","","Haroldo C. de Lima; Marcelo T. Nascimento, Davi N.S. Machado, Herick B.M. Viana, Patrícia M. Santos",2019,7,17,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Santa Luzia, Mata do Mico. Fragmento de Floresta Estacional Semidecidual de Tabuleiro.",-21.338889,-41.234167,"Arvoreta com 3 m alt. Ramos espinescentes. Estéril. Ocasional no sub-bosque.","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","JBRJ","RB","RB01401465","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel","E.A. Fortes",,"","87","","Elenice A. Fortes; Herick B. M. Viana, Mel de C. Camelo, Nilson B. Neves Neto",2018,12,12,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Na borda do pasto, estrada da Cobiça antes da entrada da sede.  Floresta estacional semidecidual.",-21.371389,-41.115278,"Arvoreta perfilhada na base. Armada. Folha discolor. Frutos verdes.","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","JBRJ","RB","RB01377566","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel","A. Vaz",2018,"","8586","","Haroldo C. de Lima; D.N. Machado & A.N. Lima",2017,11,27,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Ibitioca, Morro do Itaóca, estrada para a torre.",-21.788055,-41.436944,"Arvoreta  com 5 m alt. Ramos com acúleos. Botões esverdeados. Flores com cálice esverdeado, corola alva, estames alvo-esverdeados e gineceu esverdeado. Frutos jovens esverdeados. Ocasional.  Flores abrindo no final da tarde (antese). Flores em alcool 70. Fotos ANL.","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","UEFS","HUEFS","245610","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel",,,"","8586","","Lima, H.C.de",2017,11,27,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Ibitioca, Morro do Itaóca, estrada para a torre.",-21.788056,-41.436944,,"Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","JBRJ","RB","RB01153310","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel","Angela Maria Studart da Fonseca Vaz",,"","8290","","Haroldo C. de Lima; M.T. Nascimento, M.A. Faitanin, I.S. Broggio e W.H. Macedo",2016,7,12,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Imburi, Fazenda Imburi. Fragmento de mata de tabuleiro.",-21.327222,-41.100278,"Arvoreta com 2-3 m alt. Ramos com acúleos. Frutos passados acastanhados. Ocasional. Material Banco DNA. RBcarpo 937","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","JBRJ","RB","RB00982368","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel","H.C. de Lima & E.A. Fortes",,"","7945","","Haroldo C. de Lima; Toby Pennington & Tatiane P. Souza",2015,3,17,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Morro do Itaóca, estrada para as torres. Fragmento de mata seca. (Pt 156).",-21.794167,-41.4475,"Arvoreta com 7 m alt. Frutos esverdeados. Ocasional. Amostra banco DNA.","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","JBRJ","RB","RB00842946","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel",,,"","1602","","D.M. Neves; Hattori, E.K.O; Pezzini, F.; Taucce, P.",2014,1,6,"Brazil","Minas Gerais","João Monlevade","Floresta Clube Joao Monlevade  .",-19.836111,-43.123611,"Arbusto 2m","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","JBRJ","RB","RB00842938","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel",,,"","1623","","D.M. Neves; Hattori, E.K.O; Pezzini, F.; Taucce, P.",2014,1,16,"Brazil","Minas Gerais","Mantena","Norte de Mantena pela BR 311  .",-18.734722,-41.038611,"Arvore 3 m","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","UEFS","HUEFS","229579","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel",,,"","1602","","Neves, D.M.",2014,1,6,"Brazil","Minas Gerais","João Monlevade","Floresta Clube João Monlevade.",-19.836111,-43.123611,"Mata semidecídua.","Bauhinia ovata (Bong.) Vogel","",,"GBIF"
"","UEFS","HUEFS","211044","Bauhinia ovata","","Fabaceae","Bauhinia","ovata","","(Bong.) Vogel",,,"","1794","","Neves, D.M.",2014,3,17,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada do Flamengo.",-19.163056,-39.9875,,"Bauhinia ovata (Bong.) Vogel","",,"GBIF"
